smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1757364545.5,2142517.55739,-1757527060.46,-1754958303.66,-1759445757.42,-1759359111.75,-1755142458.3,4.0,4590381483730.0,0.249546279492,78,0.00779742807743,1.7334191682000001e-13,0.124994709051,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1762403532.06,3870172.583,-1761214371.83,-1759257489.71,-1767927894.86,-1767058765.96,-1759413122.48,4.0,14978235822200.0,0.249546279492,93,0.0155957225633,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1789773408.23,3090867.30685,-1790414517.33,-1785515723.82,-1792748874.44,-1792496914.45,-1786152349.27,4.0,9553460708530.0,0.249546279492,98,0.00779788191041,1.7334191682000001e-13,0.125001984106,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1848386412.62,1421046.76902,-1847807174.26,-1847430502.23,-1850500799.74,-1850102257.07,-1847481501.88,4.0,2019373919750.0,0.249546279492,82,0.0155953099878,1.7334191682000001e-13,0.249996693157,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1875493150.28,3009473.65348,-1875244682.44,-1872090074.04,-1879393162.21,-1878824587.47,-1872509568.07,4.0,9056931670990.0,0.125226860254,110,0.00391300505149,1.7334191682000001e-13,0.249996693157,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1876084942.17,3766386.90904,-1876160145.73,-1871801618.11,-1880217859.1,-1879892178.45,-1872172420.9,4.0,14185670348600.0,0.125226860254,105,0.00195644559034,1.7334191682000001e-13,0.124994709051,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1876391488.35,3752956.68396,-1875770849.01,-1872526832.8,-1881497422.57,-1880711732.56,-1872940139.2,4.0,14084683871700.0,0.249546279492,87,0.0155957225633,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1897675439.92,2017632.63334,-1897671056.62,-1895618558.06,-1899741088.38,-1899635013.84,-1895722002.62,4.0,4070841443130.0,0.249546279492,77,0.00779742807743,1.7334191682000001e-13,0.124994709051,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1900425097.99,2143479.12243,-1901433963.67,-1897213368.92,-1901619095.7,-1901600234.28,-1897837549.75,4.0,4594502748290.0,0.249546279492,92,0.0155957225633,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1901613869.37,4138563.5304,-1900334001.95,-1898180445.55,-1907607028.05,-1906583210.9,-1898436342.24,4.0,17127708095200.0,0.125226860254,115,0.00391310857042,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1922654762.13,4985732.23896,-1921607646.1,-1917784966.67,-1929618789.66,-1928460473.92,-1918315012.79,4.0,24857525958600.0,0.125226860254,120,0.00391310857042,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1927054556.62,3095027.39559,-1927521938.63,-1923245643.28,-1929928705.95,-1929817163.37,-1923637615.06,4.0,9579194579480.0,0.249546279492,97,0.00779788191041,1.7334191682000001e-13,0.125001984106,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1954478253.77,7764190.89527,-1952298401.85,-1948263476.87,-1965052734.5,-1963624497.48,-1948383802.74,4.0,60282660258200.0,0.125226860254,125,0.00195655946116,1.7334191682000001e-13,0.125001984106,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1984570033.21,5106447.8486,-1983919279.64,-1979468600.82,-1990972972.75,-1990256283.68,-1979794837.75,4.0,26075809630500.0,0.125226860254,81,0.00782601010299,1.7334191682000001e-13,0.249996693157,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2007005211.06,4108286.99715,-2007185202.42,-2001898094.61,-2011752344.78,-2011215438.03,-2002542996.19,4.0,16878022051000.0,0.125226860254,86,0.00782621714084,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2013955089.96,3879854.3537,-2015109620.05,-2008416582.12,-2017184537.64,-2016998328.78,-2009295509.03,4.0,15053269805900.0,0.250453720508,109,0.00782601010299,1.7334191682000001e-13,0.249996693157,0.124990974078
