npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
894.0,-894.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1505896613.16,1554500.0753,1505896613.16,1506995810.7,1504797415.61,1504907335.37,1506885890.95,2.0,2416470484110.0,102,0.25,0.124645892351,0.00389522216651,0.125001220434,9.0090706851e-14
894.0,-365.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1500458422.51,3590780.511,1500458422.51,1502997487.76,1497919357.26,1498173263.78,1502743581.23,2.0,12893704678200.0,70,0.125,0.25,0.00781259322762,0.250002983284,9.0090706851e-14
894.0,-718.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1497640955.58,18905189.7417,1497640955.58,1511008943.45,1484272967.71,1485609766.5,1509672144.66,2.0,357406199169000.0,34,0.25,0.25,0.0156248474457,0.249997559131,9.0090706851e-14
894.0,-894.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1486618442.48,5440387.05807,1486618442.48,1490465377.06,1482771507.9,1483156201.36,1490080683.6,2.0,29597811341600.0,53,0.25,0.124645892351,0.00779046123547,0.250002983284,9.0090706851e-14
894.0,-365.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1484768862.77,2145610.15454,1484768862.77,1486286038.26,1483251687.28,1483403404.82,1486134320.71,2.0,4603642935280.0,119,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-541.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1463696680.26,7439539.12121,1463696680.26,1468957228.82,1458436131.69,1458962186.55,1468431173.96,2.0,55346742336000.0,89,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-718.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1461865607.02,6309981.11409,1461865607.02,1466327437.45,1457403776.58,1457849959.62,1465881254.41,2.0,39815861660100.0,9,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-188.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1461389444.47,6073023.82142,1461389444.47,1465683720.8,1457095168.14,1457524595.78,1465254293.16,2.0,36881618335500.0,125,0.125,0.125354107649,0.00195867705532,0.125001220434,9.0090706851e-14
894.0,-718.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1437342692.51,5072313.57106,1437342692.51,1440929359.83,1433756025.19,1434114691.92,1440570693.1,2.0,25728364963100.0,108,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-541.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1434751747.0,3933642.32918,1434751747.0,1437533252.17,1431970241.83,1432248392.35,1437255101.65,2.0,15473541973900.0,15,0.125,0.25,0.00390611863381,0.124995796282,9.0090706851e-14
