smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2319824289.83,3786777.01156,-2321002345.56,-2314073085.72,-2324411617.21,-2323935099.88,-2314124567.34,10.0,14339680135200.0,11,0.125226860254,0.250000519641,2.4762864257000002e-14,0.124990974078,0.0039130649445
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2346756143.21,20465139.5567,-2341891039.17,-2306472841.06,-2383979225.35,-2375613480.1,-2319649449.9,10.0,418821937074000.0,94,0.250453720508,0.250000425161,2.4762864257000002e-14,0.249981948155,0.0156522538627
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2470746952.15,35855334.5975,-2453993399.54,-2439482844.43,-2526267172.44,-2522735835.4,-2439572988.93,10.0,1285605019100000.0,93,0.249546279492,0.250000425161,2.4762864257000002e-14,0.249981948155,0.015595542798
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2494720204.28,42633633.7483,-2494101956.99,-2421147593.09,-2574686718.95,-2554397316.58,-2436572189.97,10.0,1817626726580000.0,118,0.249546279492,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00779777139899
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2530092551.75,14140750.0667,-2530298784.41,-2500007283.51,-2552352849.12,-2549787318.34,-2509312669.55,10.0,199960812448000.0,68,0.249546279492,0.250000425161,2.4762864257000002e-14,0.250018051845,0.0155977951872
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2598602403.44,18736624.4239,-2598366210.37,-2559552433.7,-2622086045.64,-2620051719.84,-2570481269.36,10.0,351061094801000.0,92,0.249546279492,0.250000425161,2.4762864257000002e-14,0.249981948155,0.015595542798
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2629126865.01,20645544.6453,-2628546424.74,-2604958083.31,-2680361459.17,-2660011803.42,-2606466204.66,10.0,426238513700000.0,67,0.249546279492,0.250000425161,2.4762864257000002e-14,0.250018051845,0.0155977951872
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2641187400.62,18563961.5283,-2648054912.87,-2597332234.81,-2657217826.63,-2656812897.64,-2611391526.45,10.0,344620667624000.0,117,0.249546279492,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00779777139899
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2689212138.5,14732547.5869,-2683193118.22,-2668559804.53,-2710527628.4,-2709927445.23,-2673866001.45,10.0,217047958400000.0,42,0.249546279492,0.250000425161,2.4762864257000002e-14,0.250018051845,0.0155977951872
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2751690112.88,18057621.2128,-2750729111.13,-2718368809.1,-2780462153.65,-2777408215.46,-2727141972.93,10.0,326077683865000.0,66,0.125226860254,0.250000425161,2.4762864257000002e-14,0.250018051845,0.0078272572212
