smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1165646107.11,19068291.2671,-1165646107.11,-1152162789.05,-1179129425.17,-1177781093.37,-1153511120.86,2.0,363599731845000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.25,0.0078266944,54
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1218482822.41,17443144.1923,-1218482822.41,-1206148656.86,-1230816987.95,-1229583571.39,-1207382073.42,2.0,304263279312000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.249963898917,0.0156511283828,83
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1225021446.42,2185246.11983,-1225021446.42,-1223476244.07,-1226566648.77,-1226412128.53,-1223630764.3,2.0,4775300604250.0,0.125000249693,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00195695615214,101
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1288801717.61,59406294.5633,-1288801717.61,-1246795123.88,-1330808311.34,-1326607651.96,-1250995783.25,2.0,3529107833750000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779946292521,65
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1321559649.45,64513179.4462,-1321559649.45,-1275941942.79,-1367177356.12,-1362615585.45,-1280503713.46,2.0,4161950322250000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.25,0.0155966736232,94
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1350267865.04,3185291.90367,-1350267865.04,-1348015523.53,-1352520206.54,-1352294972.39,-1348240757.68,2.0,10146084511600.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.249963898917,0.00782556419142,78
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1394436062.23,12041656.688,-1394436062.23,-1385921325.12,-1402950799.33,-1402099325.62,-1386772798.83,2.0,145001495792000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.125018050542,0.00782782460857,60
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1423872776.45,6370401.09845,-1423872776.45,-1419368222.63,-1428377330.26,-1427926874.88,-1419818678.01,2.0,40582010155100.0,0.125000249693,2.6175466018599997e-14,0.250453720508,0.25,0.0078266944,107
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1433568199.04,19888529.4712,-1433568199.04,-1419504884.99,-1447631513.1,-1446225181.69,-1420911216.39,2.0,395553604528000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.25,0.0155966736232,89
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1487712916.7,31843469.2838,-1487712916.7,-1465196183.63,-1510229649.77,-1507977976.46,-1467447856.94,2.0,1014006536030000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391391230429,100
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1516971807.58,10088079.5814,-1516971807.58,-1509838458.1,-1524105157.06,-1523391822.11,-1510551793.05,2.0,101769349640000.0,0.125000249693,2.6175466018599997e-14,0.125226860254,0.25,0.0039133472,102
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1571472927.67,17919629.5497,-1571472927.67,-1558801836.1,-1584144019.24,-1582876910.08,-1560068945.25,2.0,321113123199000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.25,0.0156533888,84
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1613273532.85,36015781.0028,-1613273532.85,-1587806529.88,-1638740535.83,-1636193835.53,-1590353230.17,2.0,1297136481240000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391391230429,55
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1625084943.13,19124968.9955,-1625084943.13,-1611561547.86,-1638608338.39,-1637255998.87,-1612913887.39,2.0,365764439078000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779946292521,95
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1642209460.31,13211783.0733,-1642209460.31,-1632867318.91,-1651551601.72,-1650617387.58,-1633801533.05,2.0,174551211977000.0,0.125000249693,2.6175466018599997e-14,0.249546279492,0.249963898917,0.00779721069797,113
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1692598779.25,60786824.2413,-1692598779.25,-1649616003.62,-1735581554.87,-1731283277.31,-1653914281.18,2.0,3695038001340000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.25,0.0078266944,79
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1737345727.73,13620405.1661,-1737345727.73,-1727714646.88,-1746976808.59,-1746013700.5,-1728677754.96,2.0,185515436888000.0,0.125000249693,2.6175466018599997e-14,0.250453720508,0.249963898917,0.00782556419142,108
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1840389342.39,44858040.8525,-1840389342.39,-1808669917.51,-1872108767.26,-1868936824.78,-1811841860.0,2.0,2012243829120000.0,0.125000249693,2.6175466018599997e-14,0.249546279492,0.25,0.00779833681159,119
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1852821379.87,6375202.05517,-1852821379.87,-1848313431.27,-1857329328.48,-1856878533.62,-1848764226.13,2.0,40643201244200.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779946292521,90
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1883849830.08,11552750.2296,-1883849830.08,-1875680802.05,-1892018858.11,-1891201955.31,-1876497704.85,2.0,133466037868000.0,0.125000249693,2.6175466018599997e-14,0.125226860254,0.249963898917,0.00391278209571,103
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1954333751.19,51257963.7463,-1954333751.19,-1918088897.44,-1990578604.95,-1986954119.57,-1921713382.81,2.0,2627378847410000.0,0.125000249693,2.6175466018599997e-14,0.249546279492,0.25,0.00779833681159,114
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1982754704.48,20055495.1477,-1982754704.48,-1968573327.86,-1996936081.1,-1995517943.44,-1969991465.52,2.0,402222885618000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.125018050542,0.00782782460857,85
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2064327180.0,14702949.4323,-2064327180.0,-2053930624.75,-2074723735.24,-2073684079.72,-2054970280.28,2.0,216176722008000.0,0.125000249693,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00195695615214,125
