smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-485.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1383061396.41,45360899.9,-1376537839.87,-1313173807.18,-1448274178.02,-1446014879.19,-1317888558.44,10.0,2057611239740000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,126
1200.0,-685.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1383840097.6,44383466.5924,-1387825381.18,-1322979979.24,-1462591371.51,-1447227517.39,-1323867696.26,10.0,1969892106750000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,114
1200.0,-185.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1389502015.77,58653636.2619,-1381402737.74,-1297521638.71,-1488007658.7,-1481156214.41,-1315518178.34,10.0,3440249046740000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,179
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1395863770.32,67143276.2979,-1393510204.33,-1267703577.97,-1479248943.27,-1478764246.18,-1301108793.7,10.0,4508219552020000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,72
1200.0,-85.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1399849903.63,84366876.4617,-1400408945.7,-1282337476.34,-1548984959.93,-1523470820.09,-1284256802.22,10.0,7117769843900000.0,6.6445189699799995e-15,0.00154321175503,0.0555555555556,0.111111111111,0.250000304315,140
1200.0,-885.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1404413769.21,60433630.2748,-1410181200.3,-1277238929.79,-1512655804.82,-1479657186.96,-1309842350.38,10.0,3652223668190000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,32
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1415054672.72,23966134.2295,-1415159511.11,-1379337206.69,-1453925280.55,-1450978194.27,-1385243017.65,10.0,574375589907000.0,6.6445189699799995e-15,0.000771601703097,0.0555555555556,0.111111111111,0.124999475902,51
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1424200541.53,36474705.4791,-1415692397.28,-1356216840.22,-1476852504.27,-1471119405.93,-1376975909.77,10.0,1330404139780000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,113
1200.0,-585.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1454841360.87,60217086.873,-1463384290.91,-1358815047.71,-1536678504.74,-1535033596.44,-1375167162.3,10.0,3626097551470000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,85
1200.0,-285.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1459487670.04,61318256.4643,-1455897883.89,-1359095827.18,-1554476767.44,-1554398742.52,-1374365276.05,10.0,3759928575820000.0,6.6445189699799995e-15,0.000771605877516,0.111111111111,0.0555555555556,0.125000152158,48
1200.0,-585.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1478256914.26,28577290.7417,-1478319888.81,-1427826047.14,-1521750368.52,-1516529104.42,-1437290658.04,10.0,816661546135000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,125
1200.0,-285.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1490889940.39,69490311.2152,-1500042939.38,-1386788567.14,-1603319378.79,-1588757185.69,-1406008803.7,10.0,4828903352790000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,178
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1510692476.46,42113957.2435,-1516327023.76,-1437391189.26,-1559116383.83,-1555257610.32,-1439051780.52,10.0,1773585394710000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,112
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1520852047.74,36375164.1539,-1516046649.3,-1471622536.93,-1590116200.44,-1573384402.81,-1474928337.05,10.0,1323152567220000.0,6.6445189699799995e-15,0.00154321217247,0.0555555555556,0.111111111111,0.250000371941,71
