,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
44,49,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,795928433.5830001,211633.992944,795899522.013,796179778.9089999,795734911.397,795740608.65,796156734.715,4.0,44788946969.3,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,272,0.11113727336899999,0.111374407583
45,52,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,793922463.838,176620.313373,793912949.4760001,794129667.746,793734288.655,793748071.5289999,794110176.255,4.0,31194735095.9,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,282,0.11113727336899999,0.111374407583
46,55,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,791599021.21,143131.783861,791645242.405,791710523.597,791395076.435,791426637.9380001,791706694.8110001,4.0,20486707551.3,0.111137306677,4.3848457759400005e-12,0.000687820343581,292,0.055568636684699996,0.111374407583
47,33,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,756253883.704,285355.967906,756268740.296,756585206.4530001,755892847.772,755942761.675,756544206.505,4.0,81428028419.3,0.111137306677,4.3848457759400005e-12,0.000687759624978,221,0.111127462523,0.0556872037915
48,36,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,756005511.9760001,181436.938349,756052654.273,756168302.5760001,755748436.782,755789664.3310001,756155360.405,4.0,32919362597.3,0.111137306677,4.3848457759400005e-12,0.000687820343581,231,0.11113727336899999,0.0556872037915
49,30,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,755165262.5419999,119171.67916700001,755128825.6960001,755334440.8989999,755068957.877,755073130.468,755308406.2,4.0,14201889115.5,0.111137306677,4.3848457759400005e-12,0.00068715243894,211,0.11102935405400001,0.0556872037915
50,39,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,753828157.546,248581.93552199999,753892151.358,754052221.582,753476105.885,753532661.3069999,754034062.4480001,4.0,61792978667.7,0.111137306677,4.3848457759400005e-12,0.000687820343581,241,0.11113727336899999,0.0556872037915
51,42,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,751734266.3989999,163679.899824,751808113.839,751831447.8239999,751489390.093,751536392.2360001,751828754.145,4.0,26791109606.3,0.111137306677,4.3848457759400005e-12,0.000687759624978,251,0.111127462523,0.0556872037915
52,63,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,751394049.343,142667.14483399998,751332533.393,751606843.5739999,751304287.01,751307204.918,751567016.097,4.0,20353914215.1,0.111137306677,4.3848457759400005e-12,0.0013596846132200003,314,0.11102935405400001,0.11018957346
53,45,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,749446840.258,453614.61100200005,749399689.9330001,750020455.145,748967526.021,749007685.717,749952005.254,4.0,205766215315.0,0.111137306677,4.3848457759400005e-12,0.000687759624978,261,0.111127462523,0.0556872037915
54,66,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,749183955.776,93855.04395,749147375.864,749321979.613,749119091.7639999,749120981.223,749298142.207,4.0,8808769274.87,0.111137306677,4.3848457759400005e-12,0.00136088606645,324,0.111127462523,0.11018957346
55,28,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,747326449.25,82654.2495276,747347829.493,747393942.123,747216195.892,747230258.867,747392707.2939999,4.0,6831724964.96,0.111137306677,4.3848457759400005e-12,0.00034330298575300003,201,0.055470528216,0.0556872037915
56,48,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,747291565.589,268209.708492,747310069.964,747576966.902,746969155.525,747002006.725,747555218.327,4.0,71936447729.2,0.111137306677,4.3848457759400005e-12,0.000687820343581,271,0.11113727336899999,0.0556872037915
57,71,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,747169792.8239999,258618.504493,747226382.3119999,747412647.3189999,746813759.352,746865869.5569999,747394490.8069999,4.0,66883530866.3,0.111137306677,4.3848457759400005e-12,0.0013610062117699999,334,0.11113727336899999,0.11018957346
58,75,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,744858239.4380001,138573.084788,744829888.717,745051297.1839999,744721883.136,744736848.6880001,745019321.2,4.0,19202499827.7,0.111137306677,4.3848457759400005e-12,0.0013610062117699999,344,0.11113727336899999,0.11018957346
59,51,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,744814251.491,254073.996084,744701088.113,745192885.39,744661944.348,744663724.746,745123206.965,4.0,64553595486.2,0.111137306677,4.3848457759400005e-12,0.000687820343581,281,0.11113727336899999,0.0556872037915
60,79,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,742732225.09,215000.63714299997,742715958.0610001,742997986.673,742498997.565,742519391.504,742967832.516,4.0,46225273971.9,0.111137306677,4.3848457759400005e-12,0.00136088606645,354,0.111127462523,0.11018957346
61,54,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,742636958.41,355136.59966999997,742731188.395,742933423.359,742152033.489,742218349.6669999,742923645.1719999,4.0,126122004425.0,0.111137306677,4.3848457759400005e-12,0.00034391017179100005,291,0.055568636684699996,0.0556872037915
62,82,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,740635382.266,52497.3783273,740642655.6689999,740685333.3239999,740570884.4039999,740577532.55,740683049.219,4.0,2755974731.24,0.111137306677,4.3848457759400005e-12,0.00136088606645,364,0.111127462523,0.11018957346
63,86,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,738314280.3169999,156498.756067,738319646.477,738474696.1939999,738143132.119,738155224.503,738465823.506,4.0,24491860650.4,0.111137306677,4.3848457759400005e-12,0.0013610062117699999,374,0.11113727336899999,0.11018957346
