npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,211623780.32700002,461198.669904,211455165.252,212301332.507,211283458.3,211300759.26900002,212182862.493,4.0,212704213121.0,82,0.25,1.04066742269e-12,0.249990803752,0.24933333333299998,0.0155827601005
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,193865440.48900002,169974.605375,193920242.02,193994204.033,193627073.884,193662006.085,193992152.75,4.0,28891366472.4,115,0.125026522385,1.04066742269e-12,0.250009196248,0.125333333333,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,183218879.729,293703.577834,183144684.583,183627299.785,182958849.967,182974468.628,183567164.03599998,4.0,86261791632.6,87,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,166285660.872,669078.410495,166371312.022,166963407.716,165436611.728,165535998.538,166915411.59600002,4.0,447665919390.0,120,0.125026522385,1.04066742269e-12,0.250009196248,0.125333333333,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,153874014.99,186859.97305,153821263.074,154132329.754,153721204.059,153726091.122,154095791.541,4.0,34916649528.4,92,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,138200066.712,392326.272276,138150531.16,138713934.299,137785270.228,137824785.806,138644697.39,4.0,153919903918.0,125,0.125026522385,1.04066742269e-12,0.125004598124,0.125333333333,0.0019588209032600002
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,130329760.89899999,460796.385338,130459953.543,130711664.37799999,129687472.129,129780915.81799999,130696336.27600001,4.0,212333308741.0,104,0.125026522385,1.04066742269e-12,0.12498620562799999,0.250666666667,0.00391706538603
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,124689297.412,335916.67690799996,124654859.935,125132120.255,124315349.52299999,124364706.20899999,125062101.08299999,4.0,112840013825.0,97,0.25,1.04066742269e-12,0.125004598124,0.24933333333299998,0.007791953283060001
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,113570972.089,635210.971436,113589577.045,114165788.269,112938945.995,112964875.543,114151021.695,4.0,403492978233.0,109,0.125026522385,1.04066742269e-12,0.249990803752,0.250666666667,0.00783470719255
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,106274186.778,195963.22708699998,106243185.528,106523006.67899999,106087369.377,106097129.55,106494645.756,4.0,38401586370.4,76,0.25,1.04066742269e-12,0.12498620562799999,0.125333333333,0.00391623444301
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,105154964.55,675552.059254,105379272.817,105647557.73799999,104213754.829,104348901.98799999,105646995.53799999,4.0,456370584762.0,81,0.25,1.04066742269e-12,0.249990803752,0.125333333333,0.00783304518423
