npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,137497313.37,917453.187261,137497313.37,138146050.741,136848576.0,136913449.737,138081177.004,2.0,841720350815.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.249333333333,90,0.00779026143228
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,108957271.417,160495.34065,108957271.417,109070758.761,108843784.073,108855132.808,109059410.026,2.0,25758754370.5,1.0563053673200001e-12,0.12500456621,0.124972890913,0.249333333333,115,0.00389513071614
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,99285348.8759,630151.786194,99285348.8759,99730933.4771,98839764.2747,98884322.7348,99686375.017,2.0,397091273643.0,1.0563053673200001e-12,0.24999086758,0.124972890913,0.250666666667,35,0.00783134841011
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,96132200.7412,438697.23148,96132200.7412,96442406.5285,95821994.9539,95853015.5327,96411385.9497,2.0,192455260908.0,1.0563053673200001e-12,0.12498630137,0.124972890913,0.250666666667,10,0.00391538811795
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,72869105.9127,777029.005973,72869105.9127,73418548.392,72319663.4334,72374607.6814,73363604.1441,2.0,603774076124.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.250666666667,60,0.00783192058432
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,43680082.5678,89089.1978909,43680082.5678,43743078.1438,43617086.9918,43623386.5494,43736778.5862,2.0,7936885180.85,1.0563053673200001e-12,0.25000913242,0.124972890913,0.250666666667,85,0.00783192058432
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,16384031.7582,166109.573564,16384031.7582,16501488.9641,16266574.5523,16278320.2729,16489743.2435,2.0,27592390429.4,1.0563053673200001e-12,0.12500456621,0.124972890913,0.250666666667,110,0.00391596029216
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,5068072.39073,726798.567654,5068072.39073,5581996.58648,4554148.19499,4605540.61456,5530604.1669,2.0,528236157944.0,1.0563053673200001e-12,0.24999086758,0.124972890913,0.125333333333,30,0.00391567420506
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-3127433.93371,117912.429179,-3127433.93371,-3044057.25545,-3210810.61197,-3202472.94414,-3052394.92328,2.0,13903340954.9,1.0563053673200001e-12,0.12498630137,0.124972890913,0.125333333333,5,0.00195769405898
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-23812544.3902,337013.986051,-23812544.3902,-23574239.5153,-24050849.2651,-24027018.7776,-23598070.0028,2.0,113578426794.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.125333333333,55,0.00391596029216
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-51894555.5302,539276.2944,-51894555.5302,-51513229.6055,-52275881.4549,-52237748.8624,-51551362.1979,2.0,290818921702.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.125333333333,80,0.00391596029216
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-79854970.3507,1703886.39538,-79854970.3507,-78650140.7261,-81059799.9752,-80939317.0128,-78770623.6886,2.0,2903228848370.0,1.0563053673200001e-12,0.12500456621,0.124972890913,0.125333333333,105,0.00195798014608
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-104648893812000.0,34064.5819215,-104648893812000.0,-104648893788000.0,-104648893836000.0,-104648893833000.0,-104648893790000.0,2.0,1160395741.49,1.0563053673200001e-12,0.12500456621,0.125027109087,0.250666666667,106,0.00391765919034
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-106086607312000.0,184870.04064,-106086607312000.0,-106086607181000.0,-106086607443000.0,-106086607429000.0,-106086607194000.0,2.0,34176931926.4,1.0563053673200001e-12,0.25000913242,0.125027109087,0.250666666667,81,0.00783531838067
