smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-303828621.513,1515787.22746,-303887842.596,-302107689.863,-305431110.997,-305323142.808,-302251190.702,4.0,2297610918930.0,0.125,125,0.00195321401935,0.125,0.125005697238,1.06825089311e-11
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-308043107.565,896002.545717,-308111736.737,-306891428.51,-309057528.274,-308937813.822,-307052320.465,4.0,802820561932.0,0.25,113,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-308345107.72,647378.913109,-308384105.907,-307609409.503,-309002809.561,-308966172.261,-307669445.715,4.0,419099457138.0,0.25,97,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-313201323.647,1393413.66485,-313352408.83,-311405728.957,-314694747.972,-314553833.788,-311637294.25,4.0,1941601641400.0,0.125,91,0.00781279133605,0.25,0.250009322754,1.06825089311e-11
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-314144607.351,1149875.96498,-314108300.506,-312978561.438,-315383266.955,-315301740.971,-313038303.315,4.0,1322214734850.0,0.25,107,0.00781220866395,0.125,0.249990677246,1.06825089311e-11
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-319290028.229,845585.993418,-319081423.879,-318506126.295,-320491138.862,-320282767.521,-318589335.027,4.0,715015672265.0,0.25,102,0.00390578062525,0.125,0.124984980008,1.06825089311e-11
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-329945682.379,1207546.79599,-329985087.975,-328794983.52,-331017570.047,-331008836.2,-328827360.725,4.0,1458169264510.0,0.25,124,0.0039064280387,0.125,0.125005697238,1.06825089311e-11
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-334478278.48,1142275.34839,-334553254.574,-333125487.54,-335681117.231,-335595875.646,-333255714.782,4.0,1304792971550.0,0.25,118,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-340160484.508,1206745.6949,-340490760.699,-338428581.703,-341231834.93,-341126731.399,-338731850.948,4.0,1456235172150.0,0.125,96,0.0039064280387,0.25,0.125005697238,1.06825089311e-11
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-341121584.566,1594392.4593,-341595754.091,-338815692.015,-342479138.068,-342360253.453,-339219078.345,4.0,2542087314260.0,0.25,112,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-348141664.436,890446.271642,-348452990.399,-346834914.648,-348825762.299,-348780048.214,-347067424.311,4.0,792894562682.0,0.125,106,0.00390610433197,0.125,0.249990677246,1.06825089311e-11
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-357435105.436,1958945.86186,-357605770.08,-355082055.051,-359446826.531,-359315722.25,-355315558.119,4.0,3837468889680.0,0.125,101,0.00195289031262,0.125,0.124984980008,1.06825089311e-11
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-360872158.628,873714.279381,-360836111.316,-360022356.656,-361794055.223,-361740080.34,-360054703.152,4.0,763376641994.0,0.25,123,0.0039064280387,0.125,0.125005697238,1.06825089311e-11
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-367315197.306,370498.538502,-367377340.2,-366834872.645,-367671236.178,-367650050.392,-366893344.168,4.0,137269167032.0,0.25,117,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-374868070.38,1822334.43835,-375457093.244,-372314512.184,-376243582.846,-376223748.764,-372687759.985,4.0,3320902805200.0,0.125,111,0.00390639566803,0.125,0.250009322754,1.06825089311e-11
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-393934313.778,1380600.53668,-393707057.257,-392643245.729,-395679894.87,-395484646.632,-392702140.054,4.0,1906057841890.0,0.25,122,0.0039064280387,0.125,0.125005697238,1.06825089311e-11
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-400213385.911,1556838.64821,-400289865.177,-398233279.215,-402040534.074,-401779606.22,-398540094.629,4.0,2423746576560.0,0.125,116,0.00390639566803,0.125,0.250009322754,1.06825089311e-11
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-426924418.275,1189258.83754,-426477142.858,-426067443.412,-428675943.97,-428367508.926,-426107513.207,4.0,1414336582660.0,0.125,121,0.00195321401935,0.125,0.125005697238,1.06825089311e-11
