npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1169333551.7,98735.6166042,1169333551.7,1169403368.32,1169263735.07,1169270716.74,1169396386.66,2.0,9748721986.22,1.69457067906e-13,0.00781235080557,0.25,108,0.249995225778,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1167609388.8,5433641.26064,1167609388.8,1171451553.38,1163767224.22,1164151440.68,1171067336.92,2.0,29524457349300.0,1.69457067906e-13,0.00781261604011,0.25,97,0.125001856642,0.25
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1160588277.56,2112312.33342,1160588277.56,1162081907.93,1159094647.18,1159244010.22,1161932544.9,2.0,4461863393910.0,1.69457067906e-13,0.00779021950017,0.124645892351,81,0.249995225778,0.25
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1158077495.68,1918199.30368,1158077495.68,1159433867.42,1156721123.95,1156856761.12,1159298230.25,2.0,3679488568650.0,1.69457067906e-13,0.0039060096312,0.25,103,0.124992308198,0.125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1128962756.53,10705160.7396,1128962756.53,1136532448.29,1121393064.78,1122150033.96,1135775479.11,2.0,114600466462000.0,1.69457067906e-13,0.00781268234875,0.25,113,0.25000583516,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1105561802.83,177885.516335,1105561802.83,1105687586.89,1105436018.78,1105448597.18,1105675008.48,2.0,31643256921.8,1.69457067906e-13,0.00779055010413,0.124645892351,86,0.25000583516,0.25
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1089925169.39,3795150.86631,1089925169.39,1092608746.31,1087241592.48,1087509950.17,1092340388.62,2.0,14403170098100.0,1.69457067906e-13,0.00389494444811,0.124645892351,76,0.124992308198,0.25
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1071244686.79,5391134.12628,1071244686.79,1075056794.29,1067432579.29,1067813790.04,1074675583.54,2.0,29064327167500.0,1.69457067906e-13,0.00781264919443,0.25,118,0.250004774222,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1056124618.17,234336.759609,1056124618.17,1056290319.28,1055958917.06,1055975487.17,1056273749.17,2.0,54913716904.0,1.69457067906e-13,0.00779051704374,0.124645892351,91,0.250004774222,0.25
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1018406390.7,13109470.9189,1018406390.7,1027676186.48,1009136594.91,1010063574.49,1026749206.9,2.0,171858227775000.0,1.69457067906e-13,0.00390630802006,0.25,123,0.125001856642,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,995062650.677,1965558.20478,995062650.677,996452510.212,993672791.141,993811777.095,996313524.259,2.0,3863419056390.0,1.69457067906e-13,0.00389524199167,0.124645892351,96,0.125001856642,0.25
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,992354707.512,2986259.99651,992354707.512,994466312.206,990243102.818,990454263.287,994255151.736,2.0,8917748766740.0,1.69457067906e-13,0.00781235080557,0.25,107,0.249995225778,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,980807364.534,12521397.4179,980807364.534,989661329.558,971953399.51,972838796.013,988775933.056,2.0,156785393298000.0,1.69457067906e-13,0.0039060096312,0.25,102,0.124992308198,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,951324602.416,3198133.12751,951324602.416,953586024.037,949063180.794,949289322.956,953359881.875,2.0,10228055501300.0,1.69457067906e-13,0.00781268234875,0.25,112,0.25000583516,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,894183846.125,391702.337913,894183846.125,894460821.504,893906870.746,893934568.284,894433123.967,2.0,153430721526.0,1.69457067906e-13,0.00781264919443,0.25,117,0.250004774222,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,835362843.992,2782877.00806,835362843.992,837330635.195,833395052.788,833591831.909,837133856.075,2.0,7744404441970.0,1.69457067906e-13,0.00390630802006,0.25,122,0.125001856642,0.125
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,809467300.032,2217001.74859,809467300.032,811034957.003,807899643.062,808056408.759,810878191.306,2.0,4915096753240.0,1.69457067906e-13,0.00389510975009,0.124645892351,106,0.249995225778,0.125
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,791780485.838,5196098.1197,791780485.838,795454682.054,788106289.621,788473709.243,795087262.432,2.0,26999435669500.0,1.69457067906e-13,0.00194747222405,0.124645892351,101,0.124992308198,0.125
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,765696139.425,6406269.66341,765696139.425,770226056.146,761166222.704,761619214.376,769773064.474,2.0,41040291000400.0,1.69457067906e-13,0.00389527505207,0.124645892351,111,0.25000583516,0.125
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,716352976.879,1871728.98716,716352976.879,717676489.138,715029464.62,715161815.845,717544137.912,2.0,3503369401390.0,1.69457067906e-13,0.00389525852187,0.124645892351,116,0.250004774222,0.125
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,670323307.894,7212209.94947,670323307.894,675423110.456,665223505.331,665733485.587,674913130.2,2.0,52015972355200.0,1.69457067906e-13,0.00194762099584,0.124645892351,121,0.125001856642,0.125
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-158805214620.0,639.511727585,-158805214620.0,-158805214168.0,-158805215072.0,-158805215027.0,-158805214213.0,2.0,408975.249719,1.69457067906e-13,0.00194747222405,0.124645892351,1,0.124992308198,0.125
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-158858480960.0,383.678280127,-158858480960.0,-158858480689.0,-158858481231.0,-158858481204.0,-158858480716.0,2.0,147209.022641,1.69457067906e-13,0.00389510975009,0.124645892351,6,0.249995225778,0.125
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-158911753186.0,322.41499141,-158911753186.0,-158911752958.0,-158911753414.0,-158911753391.0,-158911752980.0,2.0,103951.426686,1.69457067906e-13,0.00389527505207,0.124645892351,11,0.25000583516,0.125
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-158965024839.0,854.217230978,-158965024839.0,-158965024235.0,-158965025443.0,-158965025382.0,-158965024295.0,2.0,729687.0777,1.69457067906e-13,0.00389525852187,0.124645892351,16,0.250004774222,0.125
