npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1713639091.46,11179419.4037,1713639091.46,1721544134.73,1705734048.19,1706524552.52,1720753630.41,2.0,124979418205000.0,0.25,102,0.125,0.124993135887,1.17734560967e-13,0.00390603549646
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1701088773.13,56892566.9797,1701088773.13,1741317893.04,1660859653.21,1664882565.21,1737294981.04,2.0,3236764177540000.0,0.25,117,0.125,0.250005207258,1.17734560967e-13,0.00781266272682
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1686044996.3,18150240.5648,1686044996.3,1698879154.48,1673210838.11,1674494253.93,1697595738.66,2.0,329431232560000.0,0.25,112,0.125,0.250004260484,1.17734560967e-13,0.00781263314013
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1670498453.32,117710858.929,1670498453.32,1753732599.89,1587264306.75,1595587721.41,1745409185.23,2.0,1.38558463098e+16,0.25,122,0.125,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1658323248.73,78021147.2951,1658323248.73,1713492531.06,1603153966.4,1608670894.63,1707975602.82,2.0,6087299425240000.0,0.125,91,0.25,0.250005207258,1.17734560967e-13,0.00781266272682
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1644011893.8,42560286.5503,1644011893.8,1674106561.03,1613917226.57,1616926693.29,1671097094.31,2.0,1811377991250000.0,0.125,76,0.25,0.124993135887,1.17734560967e-13,0.00390603549646
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1642303300.49,47528693.3577,1642303300.49,1675911161.86,1608695439.11,1612056225.25,1672550375.72,2.0,2258976692290000.0,0.125,96,0.25,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1526529586.45,21859668.1388,1526529586.45,1541986706.02,1511072466.87,1512618178.83,1540440994.07,2.0,477845091138000.0,0.125,111,0.125,0.250004260484,1.17734560967e-13,0.00390631657006
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1499635278.96,33147777.3629,1499635278.96,1523074297.11,1476196260.8,1478540162.62,1520730395.3,2.0,1098775144100000.0,0.125,101,0.125,0.124993135887,1.17734560967e-13,0.00195301774823
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1423032961.8,37542445.8181,1423032961.8,1449579479.82,1396486443.78,1399141095.58,1446924828.01,2.0,1409435238000000.0,0.125,106,0.125,0.249994792742,1.17734560967e-13,0.00390616863659
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1405614189.51,44013055.0266,1405614189.51,1436736119.18,1374492259.84,1377604452.81,1433623926.21,2.0,1937149012770000.0,0.125,116,0.125,0.250005207258,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1399075927.82,33256180.2802,1399075927.82,1422591598.41,1375560257.22,1377911824.28,1420240031.35,2.0,1105973526830000.0,0.125,121,0.125,0.125002603629,1.17734560967e-13,0.00195316568171
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171374178806.0,45010704.8524,-171374178806.0,-171342351431.0,-171406006181.0,-171402823443.0,-171345534169.0,2.0,2025963551310000.0,0.125,105,0.125,0.124993135887,1.17734560967e-13,0.00195301774823
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171480417804.0,96238487.5475,-171480417804.0,-171412366916.0,-171548468691.0,-171541663602.0,-171419172005.0,2.0,9261846485440000.0,0.125,110,0.125,0.249994792742,1.17734560967e-13,0.00390616863659
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171523818907.0,39565515.5917,-171523818907.0,-171495841863.0,-171551795952.0,-171548998247.0,-171498639567.0,2.0,1565430024040000.0,0.25,79,0.25,0.124993135887,1.17734560967e-13,0.00781207099292
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171530257658.0,44661376.4116,-171530257658.0,-171498677296.0,-171561838020.0,-171558679984.0,-171501835332.0,2.0,1994638542980000.0,0.25,53,0.25,0.124993135887,1.17734560967e-13,0.00781207099292
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171557781596.0,18796013.1677,-171557781596.0,-171544490808.0,-171571072384.0,-171569743306.0,-171545819886.0,2.0,353290111002000.0,0.25,27,0.25,0.124993135887,1.17734560967e-13,0.00781207099292
