npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1777006172.55,6433924.59238,1778958301.27,1782147779.52,1767960308.15,1769304419.92,1781974944.99,4.0,41395385660500.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,83
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1756136344.53,3022330.33915,1755273601.13,1760470068.26,1753528107.61,1753728934.13,1759751595.7,4.0,9134480678970.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,88
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1727411455.72,5224108.47324,1728205498.61,1732408048.49,1720826777.16,1721561764.02,1732149487.36,4.0,27291309340200.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,93
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1720225529.98,4044261.56,1721881796.57,1722876012.44,1714262514.37,1715299388.2,1722832898.56,4.0,16356051565700.0,8.47275451554e-14,0.25,0.007812259634,0.25,0.124996154144,78
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1701650906.36,2512968.4656599998,1701730114.54,1704597918.8,1698545477.54,1698940747.22,1704250174.03,4.0,6315010509420.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,98
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1674053356.0,3134986.03516,1672902439.31,1678668705.34,1671739840.05,1671869056.74,1677848938.64,4.0,9828137440670.0,8.47275451554e-14,0.125354107649,0.00391727014823,0.125,0.249997082454,110
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1660617146.16,7113289.238810001,1660312919.31,1668682808.3,1653159937.73,1653642842.47,1668017367.45,4.0,50598883795000.0,8.47275451554e-14,0.125354107649,0.00391735326786,0.125,0.250002387083,115
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1632199624.99,2451943.1088400004,1631306666.32,1635733863.36,1630451303.95,1630479329.22,1635170062.89,4.0,6012025008970.0,8.47275451554e-14,0.125354107649,0.0039173615798200005,0.125,0.250002917546,120
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1609224027.66,2750820.00008,1608719539.71,1612841370.54,1606615660.67,1606770271.21,1612384067.24,4.0,7567010672830.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,82
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1588335078.98,3777629.72549,1589183007.93,1591920328.09,1583053971.99,1583889180.87,1591593876.58,4.0,14270486342900.0,8.47275451554e-14,0.125354107649,0.0019586807899100002,0.125,0.125001458773,125
