smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix,PointProbability
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1619208144.77,44227772.0379,-1619208144.77,-1587934387.24,-1650481902.29,-1647354526.54,-1591061762.99,2.0,1956095819440000.0,0.125,0.250000633118,0.00390625989247,0.125,100,1.7495628323699997e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1722138050.65,73992475.0033,-1722138050.65,-1669817469.81,-1774458631.48,-1769226573.39,-1675049527.9,2.0,5474886357120000.0,0.25,0.250000633118,0.00781251978493,0.125,65,1.7495628323699997e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1759557044.21,99312973.7182,-1759557044.21,-1689332167.04,-1829781921.39,-1822759433.67,-1696354654.76,2.0,9863066748750000.0,0.125,0.249999366882,0.00390624010753,0.125,30,1.7495628323699997e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1760584062.2,5553379.22789,-1760584062.2,-1756657230.09,-1764510894.31,-1764118211.1,-1757049913.3,2.0,30840020848700.0,0.25,0.125000386905,0.00781252418158,0.25,114,1.7495628323699997e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1818049190.49,27269053.0103,-1818049190.49,-1798767058.19,-1837331322.79,-1835403109.56,-1800695271.42,2.0,743601252078000.0,0.125,0.250000633118,0.00781251978493,0.25,79,1.7495628323699997e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1824431992.06,9277066.89441,-1824431992.06,-1817872115.15,-1830991868.97,-1830335881.28,-1818528102.84,2.0,86063970163300.0,0.25,0.250000633118,0.00781251978493,0.125,95,1.7495628323699997e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1904697320.0,21099196.5095,-1904697320.0,-1889777935.07,-1919616704.93,-1918124766.44,-1891269873.57,2.0,445176093347000.0,0.25,0.250000633118,0.00781251978493,0.125,60,1.7495628323699997e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1973876758.42,20962359.621,-1973876758.42,-1959054131.78,-1988699385.06,-1987217122.39,-1960536394.45,2.0,439420520879000.0,0.25,0.125000386905,0.00781252418158,0.25,109,1.7495628323699997e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1985301048.41,8335167.46334,-1985301048.41,-1979407194.98,-1991194901.85,-1990605516.51,-1979996580.32,2.0,69475016642000.0,0.125,0.125000386905,0.0019531310454,0.125,125,1.7495628323699997e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2040193565.99,5856548.78541,-2040193565.99,-2036052360.63,-2044334771.35,-2043920650.81,-2036466481.16,2.0,34299163675900.0,0.25,0.250000633118,0.00781251978493,0.125,90,1.7495628323699997e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2152040755.74,28626340.7875,-2152040755.74,-2131798876.05,-2172282635.44,-2170258447.47,-2133823064.02,2.0,819467386885000.0,0.125,0.250000633118,0.00390625989247,0.125,55,1.7495628323699997e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2232971349.77,25657649.5145,-2232971349.77,-2214828651.81,-2251114047.73,-2249299777.94,-2216642921.61,2.0,658314978610000.0,0.125,0.125000386905,0.00390626209079,0.25,104,1.7495628323699997e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2245089269.89,17406350.5985,-2245089269.89,-2232781121.35,-2257397418.43,-2256166603.58,-2234011936.2,2.0,302981041159000.0,0.25,0.125000386905,0.00390626209079,0.125,120,1.7495628323699997e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2285040317.65,21668109.5972,-2285040317.65,-2269718650.42,-2300361984.89,-2298829818.16,-2271250817.15,2.0,469506973517000.0,0.25,0.250000633118,0.00781251978493,0.125,85,1.7495628323699997e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2468655143.7,36146232.088,-2468655143.7,-2443095897.87,-2494214389.52,-2491658464.94,-2445651822.46,2.0,1306550094160000.0,0.25,0.125000386905,0.00390626209079,0.125,115,1.7495628323699997e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2589363370.11,107997085.544,-2589363370.11,-2512997898.57,-2665728841.64,-2658092294.49,-2520634445.72,2.0,1.16633704861e+16,0.125,0.250000633118,0.00390625989247,0.125,80,1.7495628323699997e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2680420056.19,3886203.77042,-2680420056.19,-2677672095.15,-2683168017.23,-2682893221.12,-2677946891.25,2.0,15102579745200.0,0.25,0.125000386905,0.00390626209079,0.125,110,1.7495628323699997e-14
