npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,624965450.344,5198103.72939,626523265.47,629069820.236,617745450.2,618776865.693,628973093.818,4.0,27020282381500.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,67
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,596074764.274,6435439.1543,597959071.495,601538668.917,586842245.189,588357915.291,601153583.147,4.0,41414877108700.0,0.25,0.00391282618726,0.125210084034,0.125000353365,3.9741070500699994e-14,46
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,548409791.816,13146343.2731,547877326.461,562068605.496,535815908.845,536231077.839,561333957.29,4.0,172826341454000.0,0.125,0.00779934218767,0.249579831933,0.249999116588,3.9741070500699994e-14,108
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,528512642.767,9030219.61062,530936324.13,536250818.945,515927103.862,517773056.91,535859074.714,4.0,81544866216000.0,0.125,0.00391282895256,0.125210084034,0.250000883412,3.9741070500699994e-14,115
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,528215514.083,9672561.4782,527875359.673,540374931.854,516736405.132,518311052.59,538596191.75,4.0,93558445549600.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,87
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,499301037.651,5206642.38939,499821362.799,504799365.548,492762059.458,493524803.654,504348816.44,4.0,27109124971000.0,0.25,0.00782565790513,0.125210084034,0.250000883412,3.9741070500699994e-14,66
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,491573348.067,20130005.6498,494303993.027,513192472.514,464492933.698,468958635.541,510365157.647,4.0,405217127459000.0,0.125,0.0019563882059,0.125210084034,0.124998763223,3.9741070500699994e-14,101
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,450993756.396,26805034.3818,457890972.504,473781071.62,414412008.956,419423015.975,472908394.266,4.0,718509868212000.0,0.25,0.0156513158103,0.250420168067,0.250000883412,3.9741070500699994e-14,94
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,431734847.883,5180987.05263,433296462.859,436118860.698,424227605.114,425559407.045,435724027.753,4.0,26842626839600.0,0.25,0.00779939179609,0.249579831933,0.125000353365,3.9741070500699994e-14,73
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,408138058.854,12405417.1523,407476797.076,423961733.484,393636907.78,395673700.014,421528184.183,4.0,153894374721000.0,0.125,0.00779934218767,0.249579831933,0.249999116588,3.9741070500699994e-14,107
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,390898225.152,18654913.1692,393908273.699,410250649.571,365525703.638,369490389.357,408091992.981,4.0,348005785349000.0,0.25,0.00782565790513,0.125210084034,0.250000883412,3.9741070500699994e-14,86
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,362516971.562,23219136.9525,367337893.064,384231749.85,331160350.269,335443960.531,382840692.489,4.0,539128320818000.0,0.125,0.00782565790513,0.250420168067,0.250000883412,3.9741070500699994e-14,114
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,349547498.893,24402734.3311,358264253.729,366938064.34,314723423.775,320095713.444,366795827.572,4.0,595493442835000.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,93
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,333471725.476,7909451.06836,334152712.889,342102363.381,323479112.744,324706497.06,341283571.514,4.0,62559416202800.0,0.25,0.00779939179609,0.249579831933,0.125000353365,3.9741070500699994e-14,72
