smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1514095608.47,26413602.9661,-1508945540.24,-1476728865.26,-1564474640.56,-1552691497.08,-1483652869.61,10.0,697678421651000.0,0.250018051845,2.4762864257000002e-14,0.00782723059849,56,0.249999574839,0.125226860254
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1518394583.4,36049536.5385,-1525153435.4,-1452745532.54,-1563251006.09,-1556256274.72,-1456200020.41,10.0,1299569084640000.0,0.124990974078,2.4762864257000002e-14,0.00195653099342,21,0.12500016534,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1526246603.82,16170716.1694,-1524312580.34,-1505326322.71,-1555301304.61,-1553384080.61,-1507866628.1,10.0,261492061431000.0,0.250018051845,2.4762864257000002e-14,0.00391360050885,51,0.124999315018,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1565537415.11,42156721.7226,-1557757018.64,-1513602189.08,-1634022517.23,-1626324202.87,-1516525589.35,10.0,1777189186400000.0,0.249981948155,2.4762864257000002e-14,0.015652200625,84,0.249999574839,0.250453720508
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1637106007.98,38653290.7179,-1634221748.96,-1578135860.52,-1688140264.69,-1685033037.87,-1579682609.81,10.0,1494076883330000.0,0.250018051845,2.4762864257000002e-14,0.0155978010819,62,0.250000519641,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1643000127.54,13812662.5554,-1643482057.28,-1616813988.33,-1671637211.4,-1662384352.6,-1624962879.63,10.0,190789646870000.0,0.249981948155,2.4762864257000002e-14,0.00779771540721,78,0.124999315018,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1645746406.44,38489319.624,-1645271356.22,-1586713633.32,-1719558570.99,-1702634103.93,-1593214090.96,10.0,1481427725120000.0,0.250018051845,2.4762864257000002e-14,0.0078272572212,41,0.250000425161,0.125226860254
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1685455452.82,31957260.9017,-1694606272.82,-1619471905.15,-1724465698.99,-1720803153.12,-1635398782.6,10.0,1021266524340000.0,0.250018051845,2.4762864257000002e-14,0.00391362713156,50,0.12500016534,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1695359141.29,31943573.9592,-1703859084.17,-1646929469.27,-1750623026.18,-1733659913.09,-1648421151.87,10.0,1020391917290000.0,0.249981948155,2.4762864257000002e-14,0.0155954897531,83,0.249999574839,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1718575480.04,21844710.9756,-1718355642.29,-1675338344.16,-1753034490.71,-1746632527.35,-1685507731.62,10.0,477191397608000.0,0.124990974078,2.4762864257000002e-14,0.00195651768399,105,0.124999315018,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1747531862.02,40864875.0328,-1735492957.08,-1702824802.18,-1812455646.65,-1807585332.33,-1707053348.96,10.0,1669938011450000.0,0.250018051845,2.4762864257000002e-14,0.00782726017928,61,0.250000519641,0.125226860254
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1786111562.76,47321779.1869,-1784874179.28,-1687534947.56,-1847513615.69,-1845065648.67,-1711093994.61,10.0,2239350785420000.0,0.250018051845,2.4762864257000002e-14,0.0078272572212,70,0.250000425161,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1791373083.68,19165723.1964,-1789038396.77,-1759782674.84,-1817204037.15,-1816183627.02,-1765075581.87,10.0,367324945641000.0,0.249981948155,2.4762864257000002e-14,0.00779771540721,77,0.124999315018,0.249546279492
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1836107122.04,45862790.0108,-1834039026.36,-1766157693.74,-1911686398.89,-1908220210.33,-1772808218.64,10.0,2103395507580000.0,0.250018051845,2.4762864257000002e-14,0.00782725426312,49,0.12500016534,0.250453720508
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1863352529.5,21398211.1607,-1865995809.27,-1822912035.62,-1893882337.99,-1891225133.05,-1829817287.15,10.0,457883440879000.0,0.249981948155,2.4762864257000002e-14,0.0155954897531,82,0.249999574839,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1868558558.85,31034725.1742,-1864806888.36,-1828608902.7,-1914949696.29,-1909745230.87,-1829423107.1,10.0,963154166637000.0,0.124990974078,2.4762864257000002e-14,0.00391303536798,104,0.124999315018,0.250453720508
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1904807819.33,42569756.8488,-1905579314.45,-1828296511.37,-1973554512.18,-1960782340.87,-1842866922.1,10.0,1812184198170000.0,0.249981948155,2.4762864257000002e-14,0.007826129889,90,0.250000519641,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1908226605.36,31196749.0059,-1912681683.32,-1862544420.6,-1949876984.42,-1945837564.35,-1866336143.07,10.0,973237148538000.0,0.249981948155,2.4762864257000002e-14,0.00391303536798,76,0.124999315018,0.125226860254
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1964342709.42,43660458.4672,-1959994055.61,-1893349531.88,-2012705658.75,-2011985455.85,-1896681968.88,10.0,1906235633570000.0,0.250018051845,2.4762864257000002e-14,0.0156545144424,69,0.250000425161,0.250453720508
