npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,365669049.596,2161304.91065,365669049.596,367197322.955,364140776.238,364293603.574,367044495.619,2.0,4671238916790.0,20,0.00389456158541,0.12498630137,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,362856288.221,453167.211063,362856288.221,363176725.829,362535850.613,362567894.374,363144682.068,2.0,205360521183.0,45,0.00778969230155,0.24999086758,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,358706211.377,595852.0693,358706211.377,359127542.415,358284880.338,358327013.442,359085409.311,2.0,355039688489.0,125,0.00195798014608,0.12500456621,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,352856019.094,868054.102999,352856019.094,353469826.037,352242212.152,352303592.846,353408445.343,2.0,753517925733.0,9,0.00783247488584,0.12498630137,0.250666666667,1.0563053673200001e-12,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,345359660.539,169958.251474,345359660.539,345479839.171,345239481.907,345251499.77,345467821.308,2.0,28885807244.2,59,0.015667238965,0.25000913242,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,334288295.503,420926.508388,334288295.503,334585935.491,333990655.515,334020419.513,334556171.493,2.0,177179125463.0,70,0.00779026143228,0.25000913242,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,317283401.494,786803.920167,317283401.494,317839755.881,316727047.107,316782682.545,317784120.443,2.0,619060408790.0,84,0.015667238965,0.25000913242,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,305319508.546,10780.2791262,305319508.546,305327131.354,305311885.737,305312648.018,305326369.073,2.0,116214418.039,95,0.00779026143228,0.25000913242,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,290358567.617,627745.747178,290358567.617,290802450.892,289914684.342,289959072.67,290758062.564,2.0,394064723100.0,109,0.0078336194825,0.12500456621,0.250666666667,1.0563053673200001e-12,0.25
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,283969988.526,1817116.4337,283969988.526,285254883.879,282685093.174,282813582.709,285126394.344,2.0,3301912133620.0,29,0.00783304718417,0.24999086758,0.125333333333,1.0563053673200001e-12,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,278213086.784,505849.364714,278213086.784,278570776.3,277855397.268,277891166.219,278535007.348,2.0,255883579781.0,120,0.00389513071614,0.12500456621,0.249333333333,1.0563053673200001e-12,0.124972890913
