npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1383404263.33,11344451.9011,1383404263.33,1391426002.19,1375382524.46,1376184698.34,1390623828.31,2.0,128696588937000.0,0.125,0.00390633136341,1.17734560967e-13,123,0.125002603629,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1358252906.11,263801.837927,1358252906.11,1358439442.18,1358066370.04,1358085023.65,1358420788.57,2.0,69591409693.9,0.125,0.00781233727318,1.17734560967e-13,107,0.249994792742,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1341248460.31,3142899.52688,1341248460.31,1343470825.88,1339026094.75,1339248331.3,1343248589.32,2.0,9877817436090.0,0.125,0.00390603549646,1.17734560967e-13,102,0.124993135887,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1297086542.28,15818387.5496,1297086542.28,1308271831.38,1285901253.18,1287019782.09,1307153302.47,2.0,250221384670000.0,0.125,0.00781263314013,1.17734560967e-13,112,0.250004260484,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1236781129.05,11730469.2754,1236781129.05,1245075823.42,1228486434.67,1229315904.11,1244246353.98,2.0,137603909420000.0,0.125,0.00781266272682,1.17734560967e-13,117,0.250005207258,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1175955200.94,2998480.14914,1175955200.94,1178075446.59,1173834955.3,1174046979.86,1177863422.03,2.0,8990883204790.0,0.125,0.00390633136341,1.17734560967e-13,122,0.125002603629,0.25
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1160855836.85,9238934.37,1160855836.85,1167388749.99,1154322923.7,1154976215.02,1166735458.67,2.0,85357908293100.0,0.125,0.00390616863659,1.17734560967e-13,106,0.249994792742,0.125
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1126509664.09,3278349.04674,1126509664.09,1128827806.93,1124191521.25,1124423335.53,1128595992.65,2.0,10747572472200.0,0.125,0.00195301774823,1.17734560967e-13,101,0.124993135887,0.125
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1084059540.34,23419.6174977,1084059540.34,1084076100.51,1084042980.17,1084044636.19,1084074444.49,2.0,548478483.739,0.125,0.00390631657006,1.17734560967e-13,111,0.250004260484,0.125
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1032413069.35,10272307.1401,1032413069.35,1039676687.38,1025149451.31,1025875813.11,1038950325.58,2.0,105520293980000.0,0.125,0.00390633136341,1.17734560967e-13,116,0.250005207258,0.125
