npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-680.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1615234944.34,7332105.91673,1617323228.35,1621583846.94,1604709473.71,1606473228.8,1621073062.26,4.0,5.37597771742e+13,322,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1665682307.0,7403478.58566,1668753710.65,1670567840.08,1654653966.61,1656739935.21,1670324713.66,4.0,5.48114951684e+13,323,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-531.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1698118166.92,11430698.6834,1700146623.55,1708001650.18,1684177770.39,1685557212.65,1707839281.9,4.0,1.30660872391e+14,324,1.17308946207e-12,0.110612855007,0.00136577998748,0.111126504117,0.111111111111
769.0,-754.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1575223539.57,5855296.54312,1576139051.92,1580962714.41,1567653340.01,1568575518.78,1580589843.06,4.0,3.42844976079e+13,331,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1617826177.43,10093663.0897,1615457815.55,1630792261.97,1609596816.67,1609664120.68,1629303940.82,4.0,1.01882034568e+14,332,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1672715533.43,3224079.27703,1672905608.06,1676462005.81,1668588911.76,1669213484.58,1675951477.78,4.0,1.03946871846e+13,333,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-531.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1708742593.64,1691895.97547,1709024308.38,1710479087.32,1706442670.48,1706792603.72,1710298182.92,4.0,2.86251199182e+12,334,1.17308946207e-12,0.110612855007,0.00136577998748,0.111126504117,0.111111111111
769.0,-754.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1570732727.87,13155191.8883,1572253009.46,1583735845.92,1554689046.64,1556328235.81,1583008825.71,4.0,1.73059073618e+14,341,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1617145697.47,14913314.6709,1617096381.69,1630538590.64,1603851435.89,1603967355.35,1630393081.7,4.0,2.22406954473e+14,342,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1666539116.1,11129955.4257,1669722528.64,1675143848.83,1651567558.29,1653517390.38,1675104064.27,4.0,1.23875907779e+14,343,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
