smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-476908430.972,5407281.97675,-476908430.972,-473084905.219,-480731956.726,-480349604.151,-473467257.794,2.0,29238698376100.0,70,1.83230531396e-13,0.250003495741,0.00779955640487,0.249546279492,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-485862064.745,2354084.993,-485862064.745,-484197475.283,-487526654.207,-487360195.261,-484363934.229,2.0,5541716154260.0,125,1.83230531396e-13,0.125001398296,0.00195697413424,0.125226860254,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-493036583.404,1824661.03106,-493036583.404,-491746353.215,-494326813.592,-494197790.573,-491875376.234,2.0,3329387878260.0,29,1.83230531396e-13,0.249996504259,0.00782656932572,0.125226860254,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-498400660.683,5625671.21553,-498400660.683,-494422710.418,-502378610.948,-501980815.922,-494820505.444,2.0,31648176625300.0,84,1.83230531396e-13,0.250003495741,0.0156535764121,0.250453720508,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-512039503.771,3204658.64581,-512039503.771,-509773467.911,-514305539.631,-514078936.045,-510000071.497,2.0,10269837036200.0,4,1.83230531396e-13,0.124995105963,0.00391318616671,0.125226860254,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-526852226.231,3306025.85901,-526852226.231,-524514512.927,-529189939.535,-528956168.204,-524748284.258,2.0,10929806980500.0,15,1.83230531396e-13,0.124995105963,0.00389957098961,0.249546279492,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-547818880.403,5584699.11065,-547818880.403,-543869901.791,-551767859.015,-551372961.154,-544264799.652,2.0,31188864156500.0,95,1.83230531396e-13,0.250003495741,0.00779955640487,0.249546279492,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-552913960.874,5242529.40926,-552913960.874,-549206932.778,-556620988.97,-556250286.16,-549577635.588,2.0,27484114607000.0,40,1.83230531396e-13,0.249996504259,0.0077993382861,0.249546279492,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-567638430.352,572608.895299,-567638430.352,-567233534.72,-568043325.985,-568002836.422,-567274024.283,2.0,327880946976.0,54,1.83230531396e-13,0.250003495741,0.00782678820604,0.125226860254,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-574391460.139,4290613.18545,-574391460.139,-571357538.46,-577425381.818,-577121989.65,-571660930.628,2.0,18409361507200.0,109,1.83230531396e-13,0.125001398296,0.00782676631801,0.250453720508,0.25
