smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-395202245.076,5009907.51388,-395202245.076,-391659705.5,-398744784.652,-398390530.695,-392013959.458,2.0,25099173297600.0,0.250003495741,90,0.125018050542,0.249546279492,1.83230531396e-13,0.00779955640487
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-396145213.137,8282113.06188,-396145213.137,-390288874.828,-402001551.445,-401415917.615,-390874508.659,2.0,68593396769700.0,0.124995105963,10,0.125018050542,0.250453720508,1.83230531396e-13,0.00391375124775
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-404218232.52,1772083.47657,-404218232.52,-402965180.277,-405471284.763,-405345979.539,-403090485.501,2.0,3140279847940.0,0.249996504259,35,0.125018050542,0.250453720508,1.83230531396e-13,0.00782769951624
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-423062702.514,249348.431979,-423062702.514,-422886386.547,-423239018.482,-423221386.885,-422904018.144,2.0,62174640530.3,0.250003495741,79,0.25,0.125226860254,1.83230531396e-13,0.00782678820604
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-470162017.912,4819684.17532,-470162017.912,-466753986.548,-473570049.275,-473229246.139,-467094789.685,2.0,23229355549900.0,0.125001398296,115,0.125018050542,0.249546279492,1.83230531396e-13,0.0038997672965
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-484240223.813,1235894.51696,-484240223.813,-483366314.419,-485114133.207,-485026742.267,-483453705.359,2.0,1527435257040.0,0.250003495741,60,0.125018050542,0.250453720508,1.83230531396e-13,0.00782791842816
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-500575144.124,423630.973095,-500575144.124,-500275591.791,-500874696.458,-500844741.225,-500305547.024,2.0,179463201366.0,0.125001398296,104,0.25,0.125226860254,1.83230531396e-13,0.003913383159
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-550818067.331,11691409.1701,-550818067.331,-542550992.625,-559085142.036,-558258434.566,-543377700.095,2.0,136689048383000.0,0.250003495741,85,0.125018050542,0.250453720508,1.83230531396e-13,0.00782791842816
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-553525649.953,4580678.21283,-553525649.953,-550286621.327,-556764678.58,-556440775.717,-550610524.189,2.0,20982612889500.0,0.249996504259,30,0.125018050542,0.125226860254,1.83230531396e-13,0.00391384975812
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-554737662.641,3782199.38896,-554737662.641,-552063243.805,-557412081.476,-557144639.593,-552330685.688,2.0,14305032217800.0,0.124995105963,5,0.125018050542,0.125226860254,1.83230531396e-13,0.00195687562387
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-629053025.26,2772353.4635,-629053025.26,-627092675.326,-631013375.193,-630817340.2,-627288710.319,2.0,7685943726560.0,0.125001398296,110,0.125018050542,0.250453720508,1.83230531396e-13,0.00391394826849
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-631990102.462,4225224.15656,-631990102.462,-629002417.809,-634977787.115,-634679018.65,-629301186.274,2.0,17852519173200.0,0.250003495741,55,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-703870255.794,4124334.0629,-703870255.794,-700953911.211,-706786600.378,-706494965.92,-701245545.669,2.0,17010131462400.0,0.250003495741,80,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-793797697.655,799025.579433,-793797697.655,-793232701.25,-794362694.061,-794306194.42,-793289200.89,2.0,638441876589.0,0.125001398296,105,0.125018050542,0.125226860254,1.83230531396e-13,0.00195697413424
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-17095814013.4,722553.26183,-17095814013.4,-17095303091.1,-17096324935.7,-17096273843.5,-17095354183.3,2.0,522083216182.0,0.124995105963,1,0.125018050542,0.125226860254,1.83230531396e-13,0.00195687562387
