npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,770608287.825,40059948.2094,770608287.825,798934948.858,742281626.792,745114292.895,796102282.754,2.0,1604799450540000.0,87,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,681380625.293,40022897.1092,681380625.293,709681087.242,653080163.345,655910209.54,706851041.047,2.0,1601832293010000.0,42,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,651769012.443,3734073.9885,651769012.443,654409401.482,649128623.404,649392662.308,654145362.578,2.0,13943308551600.0,113,0.00781251162315,0.125,0.25,8.40946932138e-15,0.250000371941
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,574451565.66,31762843.5645,574451565.66,596911287.735,551991843.586,554237815.794,594665315.527,2.0,1008878231300000.0,86,0.00781251162315,0.25,0.125,8.40946932138e-15,0.250000371941
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,573631311.513,57787828.6347,573631311.513,614493477.011,532769146.015,536855362.565,610407260.461,2.0,3339433138310000.0,41,0.00781250950985,0.25,0.125,8.40946932138e-15,0.250000304315
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,500577864.685,68711687.0507,500577864.685,549164364.545,451991364.825,456850014.811,544305714.559,2.0,4721295937350000.0,68,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,421705057.98,42008576.5376,421705057.98,451409607.318,392000508.642,394970963.576,448439152.384,2.0,1764720502710000.0,67,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,360453613.667,115709901.615,360453613.667,442272869.75,278634357.585,286816283.193,434090944.142,2.0,1.33887813318e+16,94,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,354936170.218,42162496.9375,354936170.218,384749557.714,325122782.721,328104121.471,381768218.964,2.0,1777676148000000.0,112,0.00781251162315,0.125,0.25,8.40946932138e-15,0.250000371941
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,271313856.173,61666499.1408,271313856.173,314918655.887,227709056.458,232069536.43,310558175.916,2.0,3802757116290000.0,120,0.00390625475492,0.125,0.125,8.40946932138e-15,0.250000304315
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,270852807.969,97513894.0887,270852807.969,339805543.739,201900072.199,208795345.776,332910270.162,2.0,9508959540340000.0,93,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,222848423.423,47122406.2128,222848423.423,256168996.402,189527850.444,192859907.742,252836939.104,2.0,2220521167290000.0,66,0.00781250950985,0.25,0.125,8.40946932138e-15,0.250000304315
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,170847975.898,61646136.6184,170847975.898,214438377.135,127257574.661,131616614.785,210079337.011,2.0,3800246159980000.0,111,0.00390625581157,0.125,0.125,8.40946932138e-15,0.250000371941
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,93096269.024,74545168.8854,93096269.024,145807663.448,40384874.6004,45656014.0428,140536524.005,2.0,5556982204150000.0,119,0.00781250950985,0.125,0.25,8.40946932138e-15,0.250000304315
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,48441466.5953,1354286.56087,48441466.5953,49399091.8061,47483841.3844,47579603.9055,49303329.2851,2.0,1834092088960.0,21,0.00195312737746,0.125,0.125,8.40946932138e-15,0.125000152158
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-11884162.8421,61246260.9753,-11884162.8421,31423483.6158,-55191809.3,-50861044.6542,27092718.97,2.0,3751104483450000.0,92,0.0156250190197,0.25,0.25,8.40946932138e-15,0.250000304315
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-77846377.7503,3859583.37002,-77846377.7503,-75117240.1768,-80575515.3238,-80302601.5664,-75390153.9341,2.0,14896383790100.0,47,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-111971845.685,95506906.5576,-111971845.685,-44438264.4076,-179505426.962,-172752068.834,-51191622.5353,2.0,9121569200210000.0,91,0.00781250950985,0.25,0.125,8.40946932138e-15,0.250000304315
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-178945528.31,57565288.076,-178945528.31,-138240722.75,-219650333.869,-215579853.313,-142311203.306,2.0,3313762391280000.0,118,0.00781250950985,0.125,0.25,8.40946932138e-15,0.250000304315
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-202946048.894,9122919.33006,-202946048.894,-196495170.772,-209396927.017,-208751839.205,-197140258.584,2.0,83227657102700.0,46,0.00390625475492,0.25,0.125,8.40946932138e-15,0.125000152158
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-204246428.793,6316387.0706,-204246428.793,-199780068.663,-208712788.923,-208266152.91,-200226704.676,2.0,39896745625600.0,73,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-331006561.45,26891440.2014,-331006561.45,-311991441.727,-350021681.172,-348120169.2,-313892953.699,2.0,723149556108000.0,117,0.00781250950985,0.125,0.25,8.40946932138e-15,0.250000304315
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-397769774.52,91374528.1624,-397769774.52,-333158226.029,-462381323.011,-455920168.162,-339619380.878,2.0,8349304396890000.0,99,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
