smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,211488267.323,3882683.73263,209860244.579,217240602.899,208991977.236,209039788.685,216215977.803,4.0,15075232967600.0,93,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,207131725.536,7903734.71805,206781760.223,215417674.893,199545706.804,199803001.516,214950400.994,4.0,62469022493300.0,115,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,181312184.39,2823249.75433,181057527.188,184640155.63,178493527.553,178646662.917,184334225.946,4.0,7970739175320.0,104,0.00391289118068,0.124994709051,1.7334191682000001e-13,0.250453720508,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,146753542.703,5458046.97269,144702736.361,154719742.019,142888956.07,142991189.739,153387024.545,4.0,29790276756100.0,109,0.00782601010299,0.249996693157,1.7334191682000001e-13,0.250453720508,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,144631033.506,2598366.91753,144033892.407,148270834.843,142185514.366,142403463.256,147694601.294,4.0,6751510638110.0,87,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,131470270.784,1548233.63625,131693738.358,132934134.465,129559471.954,129758810.329,132868876.635,4.0,2397027392420.0,98,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,124995303.98,7281325.13863,124846155.231,133861419.824,116427485.633,117409800.607,132789615.601,4.0,53017695774500.0,120,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,74992700.4547,4255321.7747,74122781.3375,80495467.8488,71229771.2949,71356869.454,79846418.2194,4.0,18107763406300.0,81,0.00782601010299,0.249996693157,1.7334191682000001e-13,0.125226860254,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,68172782.1702,4975992.59432,68675106.1217,72904947.6604,62435968.7771,62915972.2511,72726338.5573,4.0,24760502298700.0,114,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.250453720508,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,63387000.0338,4775381.54427,63610957.7782,68576043.7502,57750040.8285,58300356.4608,68160102.7646,4.0,22804268893300.0,92,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155
