smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-293894825.861,7540580.21291,-293894825.861,-288562830.459,-299226821.264,-298693621.724,-289096029.999,2.0,56860349947400.0,0.0714277977778,6,0.0714516129032,1.83809210519e-14,0.000729090193908,0.142857142857
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-301366493.788,4969893.24524,-301366493.788,-297852248.572,-304880739.003,-304529314.482,-298203673.094,2.0,24699838869000.0,0.142856483352,69,0.0714516129032,1.83809210519e-14,0.00145818944988,0.142857142857
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-305055844.664,47459337.0539,-305055844.664,-271497025.603,-338614663.725,-335258781.819,-274852907.509,2.0,2252388673590000.0,0.142857371148,156,0.142903225806,1.83809210519e-14,0.00291639702389,0.142857142857
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,2413686.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-321968382.004,1654889.66509,-321968382.004,-320798198.299,-323138565.708,-323021547.337,-320915216.67,2.0,2738659803630.0,0.142857371148,193,0.0714516129032,1.83809210519e-14,0.000729099255972,0.0714285714286
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-329489042.742,21566475.1008,-329489042.742,-314239241.952,-344738843.532,-343213863.453,-315764222.031,2.0,465112848276000.0,0.142857371148,148,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-489.9,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-339762609.955,38213566.6435,-339762609.955,-312741537.848,-366783682.062,-364081574.851,-315443645.059,2.0,1460276675620000.0,0.0714277977778,23,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-378487322.278,6259120.01446,-378487322.278,-374061456.072,-382913188.485,-382470601.864,-374504042.693,2.0,39176583355400.0,0.142856483352,120,0.142822580645,0.0,0.00145736654387,0.0714285714286
720.0,-578.4,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-391131822.81,9889468.41687,-391131822.81,-384138912.63,-398124732.99,-397425441.972,-384838203.648,2.0,97801585568300.0,0.0714277977778,15,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-401.3,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-397111615.319,54412343.1363,-397111615.319,-358636278.508,-435586952.131,-431739418.45,-362483812.189,2.0,2960703085590000.0,0.0714277977778,32,0.142903225806,0.0,0.000729090193908,0.0714285714286
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-406398683.193,20605857.8261,-406398683.193,-391828141.392,-420969224.994,-419512170.814,-393285195.572,2.0,424601376749000.0,0.142857371148,140,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-409196837.533,15887592.8191,-409196837.533,-397962612.914,-420431062.152,-419307639.69,-399086035.376,2.0,252415605586000.0,0.142856483352,86,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-439613032.326,49979156.8117,-439613032.326,-404272431.627,-474953633.026,-471419572.956,-407806491.697,2.0,2497916115610000.0,0.142856483352,103,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-441069617.965,25893492.7968,-441069617.965,-422760153.62,-459379082.31,-457548135.876,-424591100.054,2.0,670472969218000.0,0.142856483352,78,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-224.1,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460443109.432,26939385.8639,-460443109.432,-441394087.007,-479492131.857,-477587229.615,-443298989.249,2.0,725730510724000.0,0.142856483352,112,0.142822580645,0.0,0.00145736654387,0.0714285714286
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,2413686.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-471234774.051,2693118.33068,-471234774.051,-469330451.817,-473139096.285,-472948664.061,-469520884.04,2.0,7252886343040.0,0.142857371148,194,0.0714516129032,1.83809210519e-14,0.00145819851194,0.142857142857
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-475544103.68,5050707.20826,-475544103.68,-471972714.363,-479115492.997,-478758354.065,-472329853.295,2.0,25509643303600.0,0.142857371148,157,0.142903225806,1.83809210519e-14,0.00291639702389,0.142857142857
720.0,-489.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-476800929.995,6361615.83549,-476800929.995,-472302588.299,-481299271.692,-480849437.522,-472752422.468,2.0,40470156038300.0,0.0714277977778,24,0.142822580645,0.0,0.000728678743459,0.0714285714286
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-480097905.283,39525971.5943,-480097905.283,-452148822.736,-508046987.831,-505252079.576,-454943730.991,2.0,1562302430470000.0,0.142856483352,95,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-482267170.917,301100.341803,-482267170.917,-482054260.823,-482480081.01,-482458790.001,-482075551.832,2.0,90661415833.8,0.142857371148,132,0.0714516129032,1.83809210519e-14,0.00145819851194,0.142857142857
720.0,-667.0,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-521145853.848,27170444.9472,-521145853.848,-501933447.978,-540358259.719,-538437019.132,-503854688.565,2.0,738233078630000.0,0.0714277977778,7,0.0714516129032,1.83809210519e-14,0.000729090193908,0.142857142857
720.0,-578.4,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-537333852.088,47291104.2142,-537333852.088,-503893991.608,-570773712.568,-567429726.52,-507237977.656,2.0,2236448537800000.0,0.0714277977778,16,0.142822580645,0.0,0.000728678743459,0.0714285714286
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-539780103.046,26678824.551,-539780103.046,-520915325.292,-558644880.8,-556758403.024,-522801803.067,2.0,711759679423000.0,0.142857371148,149,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-575368873.412,28972398.0619,-575368873.412,-554882294.275,-595855452.549,-593806794.635,-556930952.189,2.0,839399849455000.0,0.142856483352,70,0.0714516129032,1.83809210519e-14,0.00145818944988,0.142857142857
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,2413686.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-582318161.531,14240114.1187,-582318161.531,-572248880.273,-592387442.789,-591380514.664,-573255808.399,2.0,202780850114000.0,0.142857371148,211,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-312.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-589028670.884,22883523.7289,-589028670.884,-572847576.078,-605209765.69,-603591656.209,-574465685.558,2.0,523655658250000.0,0.142856483352,104,0.142903225806,0.0,0.00145818944988,0.0714285714286
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-591143622.954,24218756.5158,-591143622.954,-574018375.99,-608268869.918,-606556345.222,-575730900.686,2.0,586548167174000.0,0.142857371148,166,0.142903225806,1.83809210519e-14,0.00291639702389,0.142857142857
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,2413686.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-596638430.464,181602.466742,-596638430.464,-596510018.128,-596766842.8,-596754001.566,-596522859.362,2.0,32979455926.8,0.142857371148,203,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
