smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1526467304.03,1407068.12751,-1526467304.03,-1525472356.62,-1527462251.45,-1527362756.71,-1525571851.36,2.0,1979840715440.0,140,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1529228714.35,420628.478046,-1529228714.35,-1528931285.1,-1529526143.6,-1529496400.68,-1528961028.03,2.0,176928316543.0,340,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1530386649.83,224381.230533,-1530386649.83,-1530227988.34,-1530545311.32,-1530529445.17,-1530243854.49,2.0,50346936615.5,229,0.142857142857,1.07010398565e-12,0.00291362434441,0.142861580758,0.142763157895
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1536757474.8,22498.318203,-1536757474.8,-1536741566.08,-1536773383.51,-1536771792.64,-1536743156.96,2.0,506174321.963,12,0.142857142857,1.07010398565e-12,0.0014577585108,0.0714113745622,0.142894736842
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1537513646.85,2391505.63119,-1537513646.85,-1535822597.0,-1539204696.7,-1539035591.72,-1535991701.99,2.0,5719299184010.0,93,0.142857142857,1.07010398565e-12,0.00291326796198,0.142844106523,0.142763157895
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1542040005.47,2503567.78326,-1542040005.47,-1540269715.71,-1543810295.23,-1543633266.25,-1540446744.69,2.0,6267851645360.0,46,0.142857142857,1.07010398565e-12,0.0014577585108,0.0714113745622,0.142894736842
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1542621325.14,1823944.28121,-1542621325.14,-1541331601.77,-1543911048.51,-1543782076.17,-1541460574.11,2.0,3326772740970.0,29,0.142857142857,1.07010398565e-12,0.00145641619173,0.0714113745622,0.142763157895
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1543154690.26,269697.241892,-1543154690.26,-1542963985.51,-1543345395.0,-1543326324.53,-1542983055.98,2.0,72736602284.0,204,0.142857142857,1.07010398565e-12,0.00291630971247,0.142861580758,0.142894736842
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1547690988.04,878256.481828,-1547690988.04,-1547069966.92,-1548312009.15,-1548249907.04,-1547132069.04,2.0,771334447873.0,293,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1552646280.87,1355837.63447,-1552646280.87,-1551687558.88,-1553605002.85,-1553509130.65,-1551783431.08,2.0,1838295691040.0,157,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1556545500.76,1038014.06919,-1556545500.76,-1555811513.97,-1557279487.55,-1557206088.87,-1555884912.65,2.0,1077473207850.0,68,0.142857142857,1.07010398565e-12,0.00145797650079,0.142844106523,0.0714473684211
