smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-146580159.275,3904432.52097,-146580159.275,-143819308.563,-149341009.987,-149064924.916,-144095393.634,2.0,15244593310800.0,0.25,0.0156535764121,0.250453720508,0.250003495741,59,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-150684387.986,2106140.18415,-150684387.986,-149195121.98,-152173653.993,-152024727.392,-149344048.581,2.0,4435826475280.0,0.125018050542,0.00389957098961,0.249546279492,0.124995105963,20,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-162088041.442,5054278.13213,-162088041.442,-158514127.101,-165661955.783,-165304564.349,-158871518.535,2.0,25545727437000.0,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,100,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-169469627.788,1946437.50677,-169469627.788,-168093288.628,-170845966.948,-170708333.032,-168230922.544,2.0,3788618967780.0,0.125018050542,0.0077993382861,0.249546279492,0.249996504259,45,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-196860962.687,3113973.99784,-196860962.687,-194659050.556,-199062874.817,-198842683.604,-194879241.769,2.0,9696834059210.0,0.25,0.0156535764121,0.250453720508,0.250003495741,84,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-215784885.489,750588.602496,-215784885.489,-215254139.198,-216315631.78,-216262557.151,-215307213.827,2.0,563383250197.0,0.25,0.00782656932572,0.125226860254,0.249996504259,29,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-218537748.768,8333127.42468,-218537748.768,-212645337.857,-224430159.678,-223840918.587,-213234578.948,2.0,69441012675900.0,0.125018050542,0.00779955640487,0.249546279492,0.250003495741,70,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-223968621.357,622665.71415,-223968621.357,-223528330.208,-224408912.506,-224364883.391,-223572359.323,2.0,387712591578.0,0.125018050542,0.00195697413424,0.125226860254,0.125001398296,125,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-251911012.724,2202508.81303,-251911012.724,-250353603.807,-253468421.641,-253312680.75,-250509344.699,2.0,4851045071490.0,0.25,0.00782676631801,0.250453720508,0.125001398296,109,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-262079200.89,2977983.0003,-262079200.89,-259973448.916,-264184952.864,-263974377.666,-260184024.113,2.0,8868382750090.0,0.25,0.00391318616671,0.125226860254,0.124995105963,4,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-274689924.874,11280338.0729,-274689924.874,-266713521.328,-282666328.419,-281868688.064,-267511161.683,2.0,127246027039000.0,0.25,0.00782678820604,0.125226860254,0.250003495741,54,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-282458467.023,6929952.89119,-282458467.023,-277558250.341,-287358683.706,-286868662.038,-278048272.009,2.0,48024247074200.0,0.125018050542,0.00779955640487,0.249546279492,0.250003495741,95,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-290495274.385,8654336.33333,-290495274.385,-284375734.477,-296614814.293,-296002860.302,-284987688.468,2.0,74897537370400.0,0.125018050542,0.0077993382861,0.249546279492,0.249996504259,40,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-299073268.055,7440387.57421,-299073268.055,-293812119.546,-304334416.563,-303808301.712,-294338234.397,2.0,55359367254500.0,0.125018050542,0.00389957098961,0.249546279492,0.124995105963,15,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-327506096.116,9655755.13194,-327506096.116,-320678446.185,-334333746.047,-333650981.054,-321361211.178,2.0,93233607168000.0,0.25,0.00782678820604,0.125226860254,0.250003495741,79,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-339865209.584,5002016.06302,-339865209.584,-336328250.106,-343402169.061,-343048473.114,-336681946.054,2.0,25020164694700.0,0.125018050542,0.0038997672965,0.249546279492,0.125001398296,120,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-353207865.152,8987291.71953,-353207865.152,-346852890.233,-359562840.072,-358927342.58,-347488387.725,2.0,80771412451900.0,0.125018050542,0.00779955640487,0.249546279492,0.250003495741,65,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-388853579.343,6892077.04919,-388853579.343,-383980144.925,-393727013.761,-393239670.319,-384467488.367,2.0,47500726052000.0,0.25,0.003913383159,0.125226860254,0.125001398296,104,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-413884081.832,2484288.86855,-413884081.832,-412127424.327,-415640739.338,-415465073.587,-412303090.077,2.0,6171691182390.0,0.125018050542,0.00779955640487,0.249546279492,0.250003495741,90,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-435863308.573,2002625.11986,-435863308.573,-434447238.77,-437279378.375,-437137771.395,-434588845.751,2.0,4010507370690.0,0.125018050542,0.00391375124775,0.250453720508,0.124995105963,10,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-439163299.769,4245355.409,-439163299.769,-436161380.171,-442165219.368,-441865027.408,-436461572.131,2.0,18023042548700.0,0.125018050542,0.00782769951624,0.250453720508,0.249996504259,35,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-467901362.757,4281342.79421,-467901362.757,-464873996.234,-470928729.279,-470625992.627,-465176732.886,2.0,18329896121600.0,0.125018050542,0.0038997672965,0.249546279492,0.125001398296,115,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-494082702.817,7859603.33601,-494082702.817,-488525124.001,-499640281.634,-499084523.752,-489080881.882,2.0,61773364599300.0,0.125018050542,0.00782791842816,0.250453720508,0.250003495741,60,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-552381248.736,1372791.85722,-552381248.736,-551410538.305,-553351959.168,-553254888.124,-551507609.348,2.0,1884557483250.0,0.125018050542,0.00782791842816,0.250453720508,0.250003495741,85,1.83230531396e-13
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-574472732.608,8711802.88242,-574472732.608,-568312557.713,-580632907.502,-580016890.013,-568928575.203,2.0,75895509462100.0,0.125018050542,0.00391384975812,0.125226860254,0.249996504259,30,1.83230531396e-13
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-584995321.614,7107084.81872,-584995321.614,-579969853.745,-590020789.484,-589518242.697,-580472400.532,2.0,50510654620400.0,0.125018050542,0.00195687562387,0.125226860254,0.124995105963,5,1.83230531396e-13
