smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2568215910.75,8524397.67216,-2568215910.75,-2562188251.35,-2574243570.15,-2573640804.21,-2562791017.29,2.0,72665355673100.0,5,0.0714516129032,0.0714270494897,0.000729082555852,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2581049702.73,4887607.42933,-2581049702.73,-2577593642.37,-2584505763.08,-2584160157.05,-2577939248.41,2.0,23888706383200.0,157,0.142903225806,0.14285765017,0.00291640272006,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2593471981.53,14084548.1861,-2593471981.53,-2583512702.0,-2603431261.06,-2602435333.11,-2584508629.95,2.0,198374497607000.0,102,0.142903225806,0.142855874575,0.00291636647173,0.142857142857,3.6761913905299995e-14
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2620075589.83,7043792.15366,-2620075589.83,-2615094876.64,-2625056303.03,-2624558231.71,-2615592947.96,2.0,49615007904000.0,47,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2625098359.23,3516023.84494,-2625098359.23,-2622612154.92,-2627584563.53,-2627335943.1,-2622860775.35,2.0,12362423678200.0,64,0.0714516129032,0.0714270494897,0.000364541277926,0.0714285714286,0.0
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2639397032.81,10474758.9238,-2639397032.81,-2631990259.74,-2646803805.88,-2646063128.57,-2632730937.05,2.0,109720574512000.0,22,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2659101711.89,23689016.8508,-2659101711.89,-2642351047.43,-2675852376.34,-2674177309.9,-2644026113.88,2.0,561169519356000.0,69,0.0714516129032,0.142855874575,0.00145818323587,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2659301281.89,7060205.62476,-2659301281.89,-2654308962.61,-2664293601.16,-2663794369.23,-2654808194.54,2.0,49846503463900.0,149,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2683010867.99,40891228.7008,-2683010867.99,-2654096402.89,-2711925333.1,-2709033886.59,-2656987849.4,2.0,1672092584660000.0,94,0.142903225806,0.142855874575,0.00291636647173,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2693792158.91,7675608.99475,-2693792158.91,-2688364683.74,-2699219634.08,-2698676886.57,-2688907431.26,2.0,58914973440300.0,39,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
