npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-614768910.0,3136710.44741,-615368754.595,-610963142.247,-617374988.563,-617364947.454,-611333090.113,4.0,9838952430920.0,0.250002387083,0.00779044265698,0.124645892351,0.25,8.47275451554e-14,61
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-665599961.17,2264556.55223,-665819655.221,-662647348.925,-668113185.313,-667822601.235,-663069749.434,4.0,5128216378270.0,0.125001458773,0.00781259117331,0.25,0.25,8.47275451554e-14,72
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-691679658.033,1251409.30827,-691576804.457,-690268348.76,-693296674.456,-693066832.868,-690436478.202,4.0,1566025256830.0,0.124996154144,0.007812259634,0.25,0.25,8.47275451554e-14,27
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-709504848.292,2892252.31583,-709296580.163,-706913958.074,-712512274.768,-712352530.32,-706948741.644,4.0,8365123458440.0,0.250002917546,0.00779045918698,0.124645892351,0.25,8.47275451554e-14,66
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-785580556.838,1775278.55117,-786220086.462,-782971361.662,-786910692.766,-786833014.178,-783432758.024,4.0,3151613934240.0,0.249997082454,0.0156248176534,0.25,0.25,8.47275451554e-14,32
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-806856451.604,2161440.55202,-807031982.839,-804076222.605,-809285618.131,-809007884.221,-804459275.256,4.0,4671825259920.0,0.125001458773,0.00389522959349,0.124645892351,0.25,8.47275451554e-14,71
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-874898989.555,1108581.97047,-874945043.912,-873503426.261,-876202444.135,-876033966.873,-873699536.138,4.0,1228953985240.0,0.124996154144,0.00389506429344,0.124645892351,0.25,8.47275451554e-14,26
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-879428296.085,801391.593139,-879243333.565,-878672860.57,-880553656.64,-880372531.211,-878743008.487,4.0,642228485554.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,37
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-889786370.72,2906094.13343,-890157127.061,-885903310.753,-892927918.006,-892548072.831,-886505609.732,4.0,8445383112340.0,0.249997082454,0.00779027735693,0.124645892351,0.25,8.47275451554e-14,31
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-975518693.133,954453.152754,-975378490.689,-974509231.005,-976808560.149,-976605102.148,-974628567.541,4.0,910980820802.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,42
