smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1407362779.71,457356.00245,-1407487990.64,-1406706289.35,-1407768848.21,-1407728546.74,-1406821717.38,4.0,209174512977.0,125,0.124990974078,0.125002976198,0.00195657498961,0.125226860254,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1407753294.1,181315.597301,-1407722059.11,-1407567216.97,-1408001841.2,-1407961630.96,-1407588686.22,4.0,32875345824.6,72,0.250018051845,0.125002976198,0.00779907001867,0.249546279492,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1421667386.91,266458.738935,-1421701938.42,-1421334776.24,-1421930894.57,-1421915089.05,-1421371312.66,4.0,71000259554.7,51,0.250018051845,0.12498974865,0.00391330099566,0.125226860254,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1424555798.11,269547.024322,-1424507581.13,-1424309571.29,-1424898458.91,-1424859747.61,-1424319352.4,4.0,72655598321.0,56,0.250018051845,0.249992724848,0.0078270161323,0.125226860254,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1431472658.79,643407.924494,-1431367540.07,-1430872201.71,-1432283353.32,-1432193657.63,-1430898826.17,4.0,413973757302.0,109,0.124990974078,0.249992724848,0.00782588587727,0.250453720508,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1444380067.98,323589.335813,-1444442207.59,-1443953870.66,-1444681986.08,-1444665464.08,-1444007676.43,4.0,104710058252.0,93,0.249981948155,0.250007275152,0.0155959701145,0.249546279492,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1466965675.46,1652081.12409,-1467278165.51,-1464727063.22,-1468579307.62,-1468449314.93,-1465044549.93,4.0,2729372040570.0,61,0.250018051845,0.250007275152,0.00782747168739,0.125226860254,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1473878183.86,267935.197541,-1473909061.61,-1473522511.97,-1474172100.26,-1474135180.3,-1473577958.58,4.0,71789270081.1,114,0.124990974078,0.250007275152,0.00782634136657,0.250453720508,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1486043093.9,204192.049597,-1486066265.38,-1485818117.12,-1486221727.72,-1486220011.69,-1485833736.03,4.0,41694393118.7,98,0.249981948155,0.125002976198,0.00779794379918,0.249546279492,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1499067018.12,532346.259778,-1499250579.54,-1498318577.61,-1499448335.78,-1499448146.81,-1498428903.44,4.0,283392540299.0,77,0.249981948155,0.12498974865,0.0077971186374,0.249546279492,3.46688419418e-13
