smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-149990798.876,2353883.84088,-149990798.876,-148326351.65,-151655246.102,-151488801.379,-148492796.372,2.0,5540769136350.0,0.25,0.250453720508,1.83230531396e-13,9,0.00782637233343,0.124995105963
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-155942374.977,5715638.42907,-155942374.977,-151900808.285,-159983941.669,-159579784.999,-152304964.954,2.0,32668522651900.0,0.25,0.249546279492,1.83230531396e-13,89,0.0155968605555,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-172267550.632,12853391.716,-172267550.632,-163178830.189,-181356271.076,-180447399.031,-164087702.233,2.0,165209678604000.0,0.125018050542,0.249546279492,1.83230531396e-13,20,0.00389957098961,0.124995105963
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-208494713.62,8429032.87786,-208494713.62,-202534487.313,-214454939.927,-213858917.296,-203130509.944,2.0,71048595256100.0,0.125018050542,0.249546279492,1.83230531396e-13,45,0.0077993382861,0.249996504259
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-217428708.984,741098.128651,-217428708.984,-216904673.472,-217952744.497,-217900340.945,-216957077.023,2.0,549226436290.0,0.25,0.250453720508,1.83230531396e-13,59,0.0156535764121,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-221212877.672,3893142.627,-221212877.672,-218460010.121,-223965745.224,-223690458.469,-218735296.876,2.0,15156559514200.0,0.125018050542,0.125226860254,1.83230531396e-13,100,0.00391395921408,0.250003495741
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-238791469.942,9070.94407122,-238791469.942,-238785055.816,-238797884.068,-238797242.655,-238785697.228,2.0,82282026.3432,0.25,0.249546279492,1.83230531396e-13,114,0.00779840846903,0.125001398296
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-288357946.372,2981067.44839,-288357946.372,-286250013.364,-290465879.38,-290255086.079,-286460806.665,2.0,8886763131870.0,0.25,0.125226860254,1.83230531396e-13,29,0.00782656932572,0.249996504259
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-289054904.005,1204445.32072,-289054904.005,-288203232.552,-289906575.459,-289821408.314,-288288399.697,2.0,1450688530610.0,0.125018050542,0.249546279492,1.83230531396e-13,70,0.00779955640487,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-296771059.104,3227576.02336,-296771059.104,-294488818.211,-299053299.997,-298825075.907,-294717042.3,2.0,10417246986500.0,0.125018050542,0.125226860254,1.83230531396e-13,125,0.00195697413424,0.125001398296
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-300850144.378,10251291.0375,-300850144.378,-293601386.969,-308098901.786,-307374026.045,-294326262.71,2.0,105088967935000.0,0.25,0.250453720508,1.83230531396e-13,84,0.0156535764121,0.250003495741
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-315041998.779,151695.232313,-315041998.779,-314934734.051,-315149263.506,-315138537.034,-314945460.524,2.0,23011443506.4,0.25,0.125226860254,1.83230531396e-13,4,0.00391318616671,0.124995105963
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-338192799.438,1630821.49737,-338192799.438,-337039634.499,-339345964.378,-339230647.884,-337154950.993,2.0,2659578756280.0,0.125018050542,0.249546279492,1.83230531396e-13,15,0.00389957098961,0.124995105963
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-361098509.184,6898077.50843,-361098509.184,-356220831.801,-365976186.567,-365488418.829,-356708599.539,2.0,47583473312300.0,0.125018050542,0.249546279492,1.83230531396e-13,40,0.0077993382861,0.249996504259
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-363504289.991,2322347.64246,-363504289.991,-361862142.225,-365146437.758,-364982222.981,-362026357.002,2.0,5393298572440.0,0.25,0.125226860254,1.83230531396e-13,54,0.00782678820604,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-366038288.006,6262173.29591,-366038288.006,-361610262.803,-370466313.208,-370023510.688,-362053065.324,2.0,39214814388000.0,0.125018050542,0.249546279492,1.83230531396e-13,95,0.00779955640487,0.250003495741
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-381796852.338,786747.662123,-381796852.338,-381240537.731,-382353166.945,-382297535.484,-381296169.192,2.0,618971883856.0,0.25,0.250453720508,1.83230531396e-13,109,0.00782676631801,0.125001398296
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-445057216.213,1707140.07955,-445057216.213,-443850085.886,-446264346.539,-446143633.507,-443970798.919,2.0,2914327251210.0,0.125018050542,0.249546279492,1.83230531396e-13,65,0.00779955640487,0.250003495741
