smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-435267331.559,2074385.11273,-435736778.14,-432450252.795,-437145517.164,-437040534.341,-432836903.566,4.0,4303073595930.0,0.00391317068328,0.250007275152,115,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-437851848.259,393201.017358,-437670721.618,-437625820.612,-438440129.188,-438328145.891,-437629127.924,4.0,154607040051.0,0.0155959701145,0.250007275152,87,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-478724168.827,1511519.26599,-479217680.158,-476526682.93,-479934632.064,-479855707.275,-476901714.517,4.0,2284690491460.0,0.00391317068328,0.250007275152,120,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-481187682.684,918235.034829,-480852647.439,-480505797.607,-482539638.252,-482298313.831,-480546100.88,4.0,843155579187.0,0.0155959701145,0.250007275152,92,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-515273041.361,1593339.67967,-515047680.413,-513620558.074,-517376246.544,-517090640.629,-513770947.42,4.0,2538731334800.0,0.00391273589804,0.12498974865,104,0.250453720508,0.124990974078,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-519503067.721,1627952.66117,-519216297.317,-518009153.289,-521570522.962,-521337392.095,-518070221.913,4.0,2650229867010.0,0.00782588587727,0.249992724848,109,0.250453720508,0.124990974078,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-522538727.916,1776057.92159,-523290747.661,-519889276.364,-523684139.976,-523627539.348,-520397088.84,4.0,3154381740850.0,0.00195657498961,0.125002976198,125,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-525560198.725,794541.375682,-525832486.342,-524409553.2,-526166269.017,-526140917.633,-524598277.154,4.0,631295997671.0,0.00779794379918,0.125002976198,97,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-536835081.684,1017699.88514,-536752933.342,-535820514.114,-538013945.937,-537911908.683,-535873262.363,4.0,1035713056210.0,0.00782588587727,0.249992724848,81,0.125226860254,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-562921545.579,1987278.92233,-562432226.317,-561310042.736,-565511686.944,-565202119.128,-561326018.995,4.0,3949277515140.0,0.00782634136657,0.250007275152,114,0.250453720508,0.124990974078,3.46688419418e-13
