smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1943183916.37,4783545.00231,-1942536852.71,-1938050232.99,-1949611727.07,-1948589907.7,-1938683814.15,4.0,22882302789100.0,1.7334191682000001e-13,91,0.249981948155,0.250003306843,0.125226860254,0.00782621714084
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1960332320.27,4744662.85045,-1960484736.21,-1954464124.47,-1965895684.19,-1965237829.5,-1955213428.72,4.0,22511825564500.0,1.7334191682000001e-13,104,0.124990974078,0.124994709051,0.250453720508,0.00391289118068
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1963289367.51,4069546.89908,-1962440364.58,-1959489270.69,-1968787470.19,-1968035870.67,-1959731468.46,4.0,16561211963800.0,1.7334191682000001e-13,114,0.124990974078,0.250003306843,0.250453720508,0.00782621714084
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1965265211.34,3441962.03038,-1965077968.6,-1961708478.21,-1969196429.93,-1968866534.89,-1961926027.62,4.0,11847102618500.0,1.7334191682000001e-13,76,0.249981948155,0.124994709051,0.125226860254,0.00391289118068
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1970455226.0,6899198.80319,-1973759630.67,-1960118452.08,-1974183190.58,-1974168497.31,-1962115788.16,4.0,47598944125900.0,1.7334191682000001e-13,96,0.249981948155,0.125001984106,0.125226860254,0.00391311892231
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1995747671.87,6901746.76854,-1992847035.15,-1991268849.48,-2006027767.71,-2004112022.15,-1991444213.01,4.0,47634108457000.0,1.7334191682000001e-13,119,0.124990974078,0.250003306843,0.250453720508,0.00782621714084
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2024889171.39,5320665.47479,-2024969779.72,-2018932958.36,-2030684167.77,-2030249373.33,-2019416117.8,4.0,28309481094600.0,1.7334191682000001e-13,124,0.124990974078,0.125001984106,0.250453720508,0.00391311892231
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2073472287.51,5771226.30533,-2073365718.08,-2067834549.9,-2079323163.97,-2079046935.17,-2068046837.04,4.0,33307053067300.0,1.7334191682000001e-13,108,0.124990974078,0.249996693157,0.249546279492,0.00779765499392
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2098282315.14,3377090.51927,-2098919140.18,-2093692070.94,-2101598909.28,-2101319402.65,-2094353672.59,4.0,11404740375400.0,1.7334191682000001e-13,113,0.124990974078,0.250003306843,0.249546279492,0.00779786128164
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2102754304.03,7378743.91649,-2105609518.3,-2091922360.87,-2107875818.66,-2107733514.86,-2093777793.23,4.0,54445861785200.0,1.7334191682000001e-13,103,0.124990974078,0.124994709051,0.249546279492,0.00389871403872
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2130793324.44,6444385.96283,-2130703024.84,-2123322502.31,-2138444745.76,-2137622510.72,-2124090557.6,4.0,41530110437900.0,1.7334191682000001e-13,118,0.124990974078,0.250003306843,0.249546279492,0.00779786128164
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2175391533.77,2594618.5025,-2175681145.94,-2172226455.47,-2177977387.74,-2177826330.03,-2172551280.48,4.0,6732045173530.0,1.7334191682000001e-13,123,0.124990974078,0.125001984106,0.249546279492,0.0038989409552
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2203551711.18,4887104.59232,-2203430080.01,-2198405601.32,-2208941083.39,-2208539941.48,-2198733764.52,4.0,23883791296300.0,1.7334191682000001e-13,107,0.124990974078,0.249996693157,0.249546279492,0.00779765499392
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2234133811.33,8091350.22616,-2234306010.27,-2224135546.95,-2243787677.84,-2242554811.58,-2225471732.57,4.0,65469948482300.0,1.7334191682000001e-13,112,0.124990974078,0.250003306843,0.249546279492,0.00779786128164
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2237752495.61,5830208.72058,-2238681967.01,-2230364518.76,-2243281529.64,-2243003668.86,-2231200062.39,4.0,33991333725500.0,1.7334191682000001e-13,102,0.124990974078,0.124994709051,0.249546279492,0.00389871403872
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2276293126.41,4829265.24435,-2274860969.48,-2272567347.02,-2282883219.65,-2281990068.57,-2272601203.94,4.0,23321802800300.0,1.7334191682000001e-13,117,0.124990974078,0.250003306843,0.249546279492,0.00779786128164
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2302631169.61,1767941.2695,-2302937785.23,-2300209094.66,-2304440013.31,-2304238505.06,-2300594572.28,4.0,3125616332420.0,1.7334191682000001e-13,122,0.124990974078,0.125001984106,0.249546279492,0.0038989409552
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2338118718.35,4364496.60423,-2338988383.5,-2332094472.74,-2342403633.68,-2341996443.73,-2333023461.77,4.0,19048830608400.0,1.7334191682000001e-13,106,0.124990974078,0.249996693157,0.125226860254,0.00391300505149
