smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1585518632.35,2791656.63598,-1584734477.49,-1583098533.5,-1589507040.9,-1588857050.74,-1583278030.75,4.0,7793346773220.0,0.00779855422245,0.124994709051,1.7334191682000001e-13,0.250018051845,0.249546279492,52
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1589675837.4,3335940.6796,-1590646098.81,-1584878412.89,-1592532739.08,-1592310258.06,-1585683050.76,4.0,11128500217800.0,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249981948155,0.249546279492,92
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1590487125.81,3352194.14648,-1590103351.44,-1586804176.2,-1594937624.19,-1594235231.3,-1587276304.45,4.0,11237205595700.0,0.00391289118068,0.124994709051,1.7334191682000001e-13,0.249981948155,0.125226860254,76
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1596961130.98,2895116.11525,-1597504394.99,-1593026364.25,-1599809369.69,-1599567544.77,-1593594147.57,4.0,8381697320780.0,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.124990974078,0.125226860254,116
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1600163436.31,3037127.13278,-1601069225.39,-1595770953.08,-1602744341.39,-1602522417.31,-1596536350.61,4.0,9224141220670.0,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.250018051845,0.249546279492,57
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1648922206.6,3332357.31556,-1648903442.97,-1645098310.18,-1652783630.28,-1652407827.22,-1645462855.05,4.0,11104605278600.0,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.249981948155,0.125226860254,86
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1661663527.37,2006959.71614,-1661734276.03,-1659207873.6,-1663977683.8,-1663729156.03,-1659498850.57,4.0,4027887302210.0,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.250018051845,0.249546279492,68
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1671971127.84,4461007.72194,-1672115142.33,-1667453834.31,-1676200392.39,-1676077896.92,-1667662738.47,4.0,19900589895200.0,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249981948155,0.249546279492,97
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1678496168.95,2489515.4674,-1678309564.93,-1675782057.57,-1681583488.37,-1681227627.91,-1676025955.62,4.0,6197687262430.0,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.250018051845,0.249546279492,62
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1685861858.57,2368239.76741,-1685551137.7,-1683406973.51,-1688938185.38,-1688543491.74,-1683615234.62,4.0,5608559595940.0,0.00195655946116,0.125001984106,1.7334191682000001e-13,0.124990974078,0.125226860254,121
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1720090891.17,1944607.98123,-1719705180.36,-1718327827.78,-1722625376.16,-1722317896.28,-1718403881.18,4.0,3781500200680.0,0.00782714037597,0.249996693157,1.7334191682000001e-13,0.250018051845,0.125226860254,56
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1731094905.03,2327612.06395,-1731408118.44,-1728148122.84,-1733415260.42,-1733263796.89,-1728487514.41,4.0,5417777920250.0,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.249981948155,0.125226860254,91
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1743878557.52,2197104.05791,-1744519692.52,-1740703917.37,-1745770927.65,-1745585035.28,-1741274490.74,4.0,4827266241270.0,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.250018051845,0.249546279492,73
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1744317886.93,3543563.70718,-1744027480.69,-1741018754.13,-1748197832.21,-1747932960.2,-1741109382.4,4.0,12556843746800.0,0.00391345630072,0.124994709051,1.7334191682000001e-13,0.250018051845,0.125226860254,51
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1759447807.65,1342543.08132,-1759549652.93,-1757754291.09,-1760937633.64,-1760787428.66,-1757965603.24,4.0,1802421925210.0,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.250018051845,0.249546279492,67
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1802072957.97,1433024.84305,-1801814963.77,-1800616193.15,-1804045711.19,-1803723486.37,-1800783621.45,4.0,2053560200810.0,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.250018051845,0.125226860254,61
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1815439280.06,1082046.02764,-1815785809.91,-1813909023.49,-1816276476.92,-1816253713.5,-1814139704.82,4.0,1170823605930.0,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.250018051845,0.249546279492,32
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1816258572.96,2444389.8229,-1816432316.38,-1813203031.01,-1818966628.06,-1818702421.32,-1813571483.8,4.0,5975041606280.0,0.00391311892231,0.125001984106,1.7334191682000001e-13,0.249981948155,0.125226860254,96
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1844141608.78,2576238.76879,-1844607007.57,-1840822997.15,-1846529422.83,-1846417365.98,-1841214293.27,4.0,6637006193830.0,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.250018051845,0.249546279492,72
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1881383739.97,1642361.29574,-1881577174.57,-1879561851.29,-1882818759.46,-1882804814.82,-1879691856.69,4.0,2697350625760.0,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.250018051845,0.125226860254,66
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1895442905.65,942119.190742,-1895597883.25,-1894184997.2,-1896390858.89,-1896310707.28,-1894358135.37,4.0,887588569564.0,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.250018051845,0.249546279492,37
