npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
1280.0,-500.0,-12292.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2492430983.83,33093944.5809,2498931534.64,2523164903.58,2448695962.47,2454264675.12,2521496521.42,4.0,1095209167930000.0,0.111111111111,0.111104425499,156,8.51195973434e-14,0.111118644068,0.00137175256793
1280.0,-1000.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2489303996.87,26656164.2557,2485093176.59,2520660543.72,2466369090.59,2466608040.39,2517895101.75,4.0,710551092827000.0,0.0555555555556,0.111112900219,602,8.51195973434e-14,0.111096045198,0.000685789099152
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2488503717.23,28854958.4214,2494182166.54,2514201447.92,2451449087.92,2455737948.44,2513319656.99,4.0,832608625498000.0,0.111111111111,0.111104425499,145,8.51195973434e-14,0.111096045198,0.00137147358632
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2487698635.86,19931873.4203,2481045026.02,2516876336.85,2471828154.54,2473179351.05,2511532974.44,4.0,397279578044000.0,0.0555555555556,0.111112900219,203,8.51195973434e-14,0.111118644068,0.000685928600596
1280.0,-700.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2486674623.36,44492082.8845,2494469991.83,2529521711.15,2428236798.64,2435647833.18,2526787897.69,4.0,1979545439410000.0,0.111111111111,0.111104425499,135,8.51195973434e-14,0.111096045198,0.00137147358632
1280.0,-900.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2484079127.91,15099500.5758,2484469252.25,2499611337.6,2467766669.53,2468863595.59,2498748486.15,4.0,227994917637000.0,0.111111111111,0.111112900219,812,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-800.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2478783707.78,41391894.326,2474310770.51,2526242901.75,2440270388.36,2441458886.82,2522370640.92,4.0,1713288915900000.0,0.111111111111,0.0555483991254,24,8.51195973434e-14,0.111118644068,0.000685829198995
1280.0,-500.0,-12292.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2476581645.85,20272715.9251,2481399088.78,2493153429.83,2450374976.03,2453437178.64,2492981692.97,4.0,410983010978000.0,0.111111111111,0.0555483991254,56,8.51195973434e-14,0.111118644068,0.000685829198995
1280.0,-700.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,327778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2475716917.57,23268225.7214,2480659277.23,2495812287.39,2445736828.44,2449223508.14,2495291023.49,4.0,541410328222000.0,0.111111111111,0.111112900219,534,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-700.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2474063679.37,20214560.6184,2471860992.23,2499323380.74,2453209352.3,2454737730.21,2496473390.54,4.0,408628460993000.0,0.111111111111,0.111112900219,235,8.51195973434e-14,0.111096045198,0.0013715781983
