smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1394908673.04,347503.5772,-1394908673.04,-1394662950.91,-1395154395.18,-1395129822.96,-1394687523.12,2.0,120758736167.0,0.00389984363975,0.125003845369,0.125018050542,3.66466187075e-13,0.249546279492,120
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1413419212.88,654522.58389,-1413419212.88,-1412956395.52,-1413882030.24,-1413835748.5,-1413002677.26,2.0,428399812823.0,0.00389940739611,0.12498986221,0.125018050542,3.66466187075e-13,0.249546279492,15
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1431211773.2,887646.916533,-1431211773.2,-1430584112.04,-1431839434.35,-1431776668.23,-1430646878.16,2.0,787917048430.0,0.00779925103585,0.249993707579,0.125018050542,3.66466187075e-13,0.249546279492,40
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1471895922.04,1576361.46846,-1471895922.04,-1470781266.15,-1473010577.92,-1472899112.33,-1470892731.74,2.0,2484915479230.0,0.00779964365513,0.250006292421,0.125018050542,3.66466187075e-13,0.249546279492,65
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1512414806.11,474065.334713,-1512414806.11,-1512079591.3,-1512750020.92,-1512716499.44,-1512113112.78,2.0,224737941576.0,0.00779964365513,0.250006292421,0.125018050542,3.66466187075e-13,0.249546279492,90
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1552588301.86,252479.555362,-1552588301.86,-1552409771.85,-1552766831.87,-1552748978.86,-1552427624.85,2.0,63745925875.7,0.00389984363975,0.125003845369,0.125018050542,3.66466187075e-13,0.249546279492,115
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1573991250.7,380714.581167,-1573991250.7,-1573722044.83,-1574260456.56,-1574233535.97,-1573748965.42,2.0,144943592313.0,0.00391358705936,0.12498986221,0.125018050542,3.66466187075e-13,0.250453720508,10
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1589756178.79,422580.546743,-1589756178.79,-1589457369.22,-1590054988.36,-1590025107.41,-1589487250.18,2.0,178574318485.0,0.00782761194871,0.249993707579,0.125018050542,3.66466187075e-13,0.250453720508,35
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1630609025.44,1222455.3037,-1630609025.44,-1629744619.0,-1631473431.87,-1631386991.23,-1629831059.64,2.0,1494396969550.0,0.00782800599569,0.250006292421,0.125018050542,3.66466187075e-13,0.250453720508,60
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1669768483.32,118813.719782,-1669768483.32,-1669684469.34,-1669852497.31,-1669844095.91,-1669692870.73,2.0,14116700008.3,0.00782800599569,0.250006292421,0.125018050542,3.66466187075e-13,0.250453720508,85
