npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,849876708.896,11346479.4208,849876708.896,857899881.437,841853536.355,842655853.609,857097564.183,2.0,128742595247000.0,8.705791516489999e-14,0.00781214137989,109,0.125001466359,0.249985591609,0.25
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,824853124.671,6475926.36927,824853124.671,829432296.121,820273953.221,820731870.366,828974378.976,2.0,41937622340100.0,8.705791516489999e-14,0.00781304191492,90,0.250002932717,0.125007204196,0.25
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,786356629.363,950272.304688,786356629.363,787028573.354,785684685.373,785751879.772,786961378.955,2.0,903017453057.0,8.705791516489999e-14,0.00779001066777,79,0.250002932717,0.249985591609,0.124645892351
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,758732767.736,2156547.19706,758732767.736,760257676.883,757207858.59,757360349.504,760105185.969,2.0,4650695813150.0,8.705791516489999e-14,0.0078130252508,60,0.250002399496,0.125007204196,0.25
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,723845267.15,225308.848157,723845267.15,724004584.564,723685949.736,723701881.477,723988652.823,2.0,50764077057.7,8.705791516489999e-14,0.00390652095746,115,0.125001466359,0.125007204196,0.25
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,693127390.148,10083865.5986,693127390.148,700257759.894,685997020.403,686710057.378,699544722.919,2.0,101684345410000.0,8.705791516489999e-14,0.00194764407834,5,0.124996134146,0.125007204196,0.124645892351
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,683516799.481,14276625.9675,683516799.481,693611898.515,673421700.447,674431210.35,692602388.612,2.0,203822049017000.0,8.705791516489999e-14,0.00389500533388,104,0.125001466359,0.249985591609,0.124645892351
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,666966245.017,1757124.16427,666966245.017,668208719.429,665723770.605,665848018.047,668084471.988,2.0,3087485328680.0,8.705791516489999e-14,0.0038953629328,30,0.249997067283,0.125007204196,0.124645892351
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,641878987.279,11925259.2068,641878987.279,650311418.931,633446555.626,634289798.791,649468175.766,2.0,142211807148000.0,8.705791516489999e-14,0.00781304191492,85,0.250002932717,0.125007204196,0.25
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,572929961.527,14557856.0039,572929961.527,583223920.227,562636002.827,563665398.697,582194524.357,2.0,211931171432000.0,8.705791516489999e-14,0.00389544601739,55,0.250002399496,0.125007204196,0.124645892351
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,547171013.614,7837590.73889,547171013.614,552713027.174,541629000.055,542183201.411,552158825.818,2.0,61427828590300.0,8.705791516489999e-14,0.00390652095746,110,0.125001466359,0.125007204196,0.25
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,477161744.219,16534626.8682,477161744.219,488853491.002,465469997.436,466639172.114,487684316.323,2.0,273393885672000.0,8.705791516489999e-14,0.00389545432585,80,0.250002932717,0.125007204196,0.124645892351
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,366622769.649,2499815.15022,366622769.649,368390405.893,364855133.404,365031897.029,368213642.269,2.0,6249075785260.0,8.705791516489999e-14,0.00194772716293,105,0.125001466359,0.125007204196,0.124645892351
894.0,-718.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-209979105958000.0,638259.439922,-209979105958000.0,-209979105507000.0,-209979106409000.0,-209979106364000.0,-209979105552000.0,2.0,407375112649.0,8.705791516489999e-14,0.00390652095746,106,0.125001466359,0.125007204196,0.25
