smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-665144461.017,523488.149777,-665144461.017,-664774298.997,-665514623.038,-665477606.836,-664811315.199,2.0,274039842957.0,0.249546279492,0.0155968605555,0.25,0.250003495741,1.83230531396e-13,89
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-675978437.745,236864.801255,-675978437.745,-675810949.038,-676145926.452,-676129177.582,-675827697.909,2.0,56104934073.3,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,75
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-697759250.084,5055001.31474,-697759250.084,-694184824.375,-701333675.792,-700976233.222,-694542266.946,2.0,25553038292000.0,0.249546279492,0.00389957098961,0.125018050542,0.124995105963,1.83230531396e-13,20
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-733575368.885,318476.072625,-733575368.885,-733350172.294,-733800565.476,-733778045.816,-733372691.953,2.0,101427008834.0,0.250453720508,0.0156535764121,0.25,0.250003495741,1.83230531396e-13,59
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-744432389.482,5687571.31811,-744432389.482,-740410669.234,-748454109.729,-748051937.704,-740812841.259,2.0,32348467498600.0,0.249546279492,0.00779840846903,0.25,0.125001398296,1.83230531396e-13,114
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-744604959.204,5691787.52187,-744604959.204,-740580257.65,-748629660.758,-748227190.603,-740982727.806,2.0,32396445194100.0,0.249546279492,0.0077993382861,0.125018050542,0.249996504259,1.83230531396e-13,45
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-754188297.742,2603980.18664,-754188297.742,-752347005.693,-756029589.79,-755845460.585,-752531134.898,2.0,6780712812430.0,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,100
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-794691872.549,1504533.85315,-794691872.549,-793628006.459,-795755738.639,-795649352.03,-793734393.068,2.0,2263622115260.0,0.125226860254,0.00391318616671,0.25,0.124995105963,1.83230531396e-13,4
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-806692733.963,898262.291488,-806692733.963,-806057566.606,-807327901.321,-807264384.585,-806121083.341,2.0,806875144309.0,0.125226860254,0.00782656932572,0.25,0.249996504259,1.83230531396e-13,29
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-810801791.988,2161576.69726,-810801791.988,-809273326.448,-812330257.529,-812177410.975,-809426173.002,2.0,4672413818140.0,0.250453720508,0.0156535764121,0.25,0.250003495741,1.83230531396e-13,84
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-820044151.051,4258553.04081,-820044151.051,-817032899.318,-823055402.784,-822754277.611,-817334024.491,2.0,18135274001400.0,0.249546279492,0.00779955640487,0.125018050542,0.250003495741,1.83230531396e-13,70
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-829072650.768,6670709.96555,-829072650.768,-824355746.516,-833789555.02,-833317864.594,-824827436.941,2.0,44498371444500.0,0.125226860254,0.00195697413424,0.125018050542,0.125001398296,1.83230531396e-13,125
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-857317804.87,1016899.66264,-857317804.87,-856598748.223,-858036861.517,-857964955.853,-856670653.887,2.0,1034084923880.0,0.249546279492,0.00389957098961,0.125018050542,0.124995105963,1.83230531396e-13,15
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-884403137.031,1035470.71151,-884403137.031,-883670948.669,-885135325.393,-885062106.557,-883744167.506,2.0,1072199594390.0,0.125226860254,0.00782678820604,0.25,0.250003495741,1.83230531396e-13,54
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-888997317.769,3934561.14975,-888997317.769,-886215162.899,-891779472.639,-891501257.152,-886493378.386,2.0,15480771441100.0,0.250453720508,0.00782676631801,0.25,0.125001398296,1.83230531396e-13,109
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-896753704.055,4900199.16846,-896753704.055,-893288739.994,-900218668.116,-899872171.71,-893635236.4,2.0,24011951890600.0,0.249546279492,0.00779955640487,0.125018050542,0.250003495741,1.83230531396e-13,95
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-900573983.966,5401545.94587,-900573983.966,-896754514.199,-904393453.733,-904011506.756,-897136461.175,2.0,29176698605300.0,0.249546279492,0.0077993382861,0.125018050542,0.249996504259,1.83230531396e-13,40
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-962635058.086,1216857.70676,-962635058.086,-961774609.75,-963495506.422,-963409461.589,-961860654.583,2.0,1480742678500.0,0.125226860254,0.00782678820604,0.25,0.250003495741,1.83230531396e-13,79
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-973307557.007,1459220.53458,-973307557.007,-972275732.271,-974339381.742,-974236199.268,-972378914.745,2.0,2129324568540.0,0.249546279492,0.00779955640487,0.125018050542,0.250003495741,1.83230531396e-13,65
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-980780476.783,2628544.5571,-980780476.783,-978921815.102,-982639138.464,-982453272.296,-979107681.27,2.0,6909246488680.0,0.249546279492,0.0038997672965,0.125018050542,0.125001398296,1.83230531396e-13,120
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1017935091.41,247760.126263,-1017935091.41,-1017759898.54,-1018110284.27,-1018092764.98,-1017777417.83,2.0,61385080165.7,0.250453720508,0.00391375124775,0.125018050542,0.124995105963,1.83230531396e-13,10
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1036815988.9,1628581.35109,-1036815988.9,-1035664407.99,-1037967569.82,-1037852411.73,-1035779566.08,2.0,2652277217100.0,0.125226860254,0.003913383159,0.25,0.125001398296,1.83230531396e-13,104
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1052422788.79,5253423.43369,-1052422788.79,-1048708057.46,-1056137520.12,-1055766046.99,-1049079530.59,2.0,27598457773600.0,0.249546279492,0.00779955640487,0.125018050542,0.250003495741,1.83230531396e-13,90
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1055287243.45,2829488.96074,-1055287243.45,-1053286492.62,-1057287994.28,-1057087919.2,-1053486567.7,2.0,8006007778940.0,0.250453720508,0.00782769951624,0.125018050542,0.249996504259,1.83230531396e-13,35
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1129878321.91,1181400.41303,-1129878321.91,-1129042945.67,-1130713698.16,-1130630160.53,-1129126483.29,2.0,1395706935920.0,0.250453720508,0.00782791842816,0.125018050542,0.250003495741,1.83230531396e-13,60
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1131736878.27,3761604.95342,-1131736878.27,-1129077021.89,-1134396734.64,-1134130749.0,-1129343007.53,2.0,14149671825600.0,0.249546279492,0.0038997672965,0.125018050542,0.125001398296,1.83230531396e-13,115
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1176326002.51,2848070.96406,-1176326002.51,-1174312112.21,-1178339892.8,-1178138503.77,-1174513501.24,2.0,8111508216310.0,0.125226860254,0.00195687562387,0.125018050542,0.124995105963,1.83230531396e-13,5
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1204685545.7,2637070.28655,-1204685545.7,-1202820855.42,-1206550235.98,-1206363766.95,-1203007324.44,2.0,6954139696230.0,0.125226860254,0.00391384975812,0.125018050542,0.249996504259,1.83230531396e-13,30
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1212969359.44,2915682.49292,-1212969359.44,-1210907660.58,-1215031058.31,-1214824888.42,-1211113830.47,2.0,8501204399520.0,0.250453720508,0.00782791842816,0.125018050542,0.250003495741,1.83230531396e-13,85
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1284994238.87,3720291.74604,-1284994238.87,-1282363595.35,-1287624882.39,-1287361818.04,-1282626659.7,2.0,13840570675700.0,0.250453720508,0.00391394826849,0.125018050542,0.125001398296,1.83230531396e-13,110
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1292846636.42,2924362.04958,-1292846636.42,-1290778800.18,-1294914472.65,-1294707689.03,-1290985583.8,2.0,8551893397010.0,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,55
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1368351911.58,882745.830788,-1368351911.58,-1367727716.01,-1368976107.14,-1368913687.58,-1367790135.57,2.0,779240201774.0,0.125226860254,0.00391395921408,0.125018050542,0.250003495741,1.83230531396e-13,80
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1441288766.78,1389986.48119,-1441288766.78,-1440305897.91,-1442271635.64,-1442173348.76,-1440404184.8,2.0,1932062417890.0,0.125226860254,0.00195697413424,0.125018050542,0.125001398296,1.83230531396e-13,105
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-17143148339.6,5365.31532719,-17143148339.6,-17143144545.8,-17143152133.5,-17143151754.1,-17143144925.1,2.0,28786608.5602,0.125226860254,0.00195687562387,0.125018050542,0.124995105963,1.83230531396e-13,1
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-321056731410.0,388699.724486,-321056731410.0,-321056456558.0,-321057006262.0,-321056978777.0,-321056484043.0,2.0,151087475815.0,0.250453720508,0.00782637233343,0.25,0.124995105963,1.83230531396e-13,7
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-686427930563.0,375475.854844,-686427930563.0,-686427665062.0,-686428196065.0,-686428169515.0,-686427691612.0,2.0,140982117571.0,0.249546279492,0.00779688984465,0.249963898917,0.124995105963,1.83230531396e-13,13
