npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159936171391.0,23643023.3542,-159936171391.0,-159919453249.0,-159952889533.0,-159951217719.0,-159921125063.0,2.0,558992553327000.0,2.78193391732e-13,0.00782578511235,99,0.250420168067,0.125002473607,0.25
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160444777363.0,347.232307406,-160444777363.0,-160444777117.0,-160444777608.0,-160444777584.0,-160444777142.0,2.0,120570.275307,2.78193391732e-13,0.00195627206031,1,0.125210084034,0.124991342377,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160489055310.0,9848.06528315,-160489055310.0,-160489048346.0,-160489062274.0,-160489061577.0,-160489049043.0,2.0,96984389.8213,2.78193391732e-13,0.0039127183384,6,0.125210084034,0.249993815983,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160533323609.0,1499.72980662,-160533323609.0,-160533322549.0,-160533324670.0,-160533324564.0,-160533322655.0,2.0,2249189.49287,2.78193391732e-13,0.0039129119137,11,0.125210084034,0.250006184017,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160577601972.0,2950.43959964,-160577601972.0,-160577599886.0,-160577604059.0,-160577603850.0,-160577600095.0,2.0,8705093.83114,2.78193391732e-13,0.0039129119137,16,0.125210084034,0.250006184017,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160621879050.0,6510.25248561,-160621879050.0,-160621874446.0,-160621883653.0,-160621883193.0,-160621874907.0,2.0,42383387.4264,2.78193391732e-13,0.00195644627809,21,0.125210084034,0.125002473607,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614494385798.0,18470827.5852,-614494385798.0,-614481324950.0,-614507446645.0,-614506140560.0,-614482631035.0,2.0,341171471683000.0,2.78193391732e-13,0.00195627206031,105,0.125210084034,0.124991342377,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614555648618.0,17073441.7374,-614555648618.0,-614543575872.0,-614567721365.0,-614566514090.0,-614544783146.0,2.0,291502412761000.0,2.78193391732e-13,0.0039127183384,110,0.125210084034,0.249993815983,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614595645992.0,2832586.1826,-614595645992.0,-614593643051.0,-614597648933.0,-614597448639.0,-614593843345.0,2.0,8023544481840.0,2.78193391732e-13,0.0039129119137,115,0.125210084034,0.250006184017,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614630706956.0,18509686.2462,-614630706956.0,-614617618631.0,-614643795280.0,-614642486448.0,-614618927463.0,2.0,342608484934000.0,2.78193391732e-13,0.0039129119137,120,0.125210084034,0.250006184017,0.125
