smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1958700271.97,127801.418444,-1958758194.99,-1958509332.06,-1958775365.83,-1958774261.11,-1958545190.59,4.0,16333202556.3,0.250018051845,3.46688419418e-13,0.00779907001867,0.125002976198,0.249546279492,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1966320448.49,336352.355782,-1966213747.04,-1966051799.61,-1966802500.28,-1966725845.96,-1966064433.06,4.0,113132907240.0,0.250018051845,3.46688419418e-13,0.0078270161323,0.249992724848,0.125226860254,31
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1977883995.28,13162.5716974,-1977881826.21,-1977871292.25,-1977901036.45,-1977898966.73,-1977872060.53,4.0,173253293.688,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,0.125226860254,11
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1986374644.91,312559.75943,-1986494870.68,-1985914515.05,-1986594323.24,-1986586274.54,-1985994699.21,4.0,97693603215.0,0.249981948155,3.46688419418e-13,0.0155959701145,0.250007275152,0.249546279492,92
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1988492555.87,183816.301761,-1988541311.23,-1988243063.16,-1988644537.84,-1988640311.85,-1988276542.38,4.0,33788432793.0,0.250018051845,3.46688419418e-13,0.00779907001867,0.125002976198,0.249546279492,72
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1992796660.14,607475.926551,-1992879034.48,-1991989326.3,-1993439245.32,-1993373215.66,-1992104780.56,4.0,369027001339.0,0.124990974078,3.46688419418e-13,0.00779798505727,0.250007275152,0.249546279492,112
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2002723604.56,39563.8235079,-2002712369.61,-2002689120.33,-2002780558.71,-2002770674.08,-2002692263.99,4.0,1565296130.56,0.250018051845,3.46688419418e-13,0.00391330099566,0.12498974865,0.125226860254,51
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2005437287.72,285950.207558,-2005497525.24,-2005054696.24,-2005699404.18,-2005685195.51,-2005105047.42,4.0,81767521202.5,0.250018051845,3.46688419418e-13,0.0078270161323,0.249992724848,0.125226860254,56
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2007858310.25,127127.843362,-2007903078.21,-2007672265.06,-2007954819.53,-2007949544.15,-2007704401.21,4.0,16161488558.0,0.250018051845,3.46688419418e-13,0.00782747168739,0.250007275152,0.125226860254,36
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2019739214.43,30338.5711097,-2019740937.26,-2019703674.34,-2019771308.87,-2019769033.42,-2019706983.48,4.0,920428896.978,0.124990974078,3.46688419418e-13,0.00391317068328,0.250007275152,0.125226860254,16
