smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-290444006.088,3471480.69347,-290444006.088,-287989298.549,-292898713.627,-292653242.873,-288234769.303,2.0,12051178205100.0,0.25,0.125001398296,0.00779840846903,119,0.249546279492,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-301522076.763,7133330.66552,-301522076.763,-296478050.277,-306566103.249,-306061700.6,-296982452.925,2.0,50884406383600.0,0.125018050542,0.250003495741,0.00391395921408,100,0.125226860254,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-307681843.976,4776512.17489,-307681843.976,-304304339.827,-311059348.125,-310721597.71,-304642090.242,2.0,22815068556900.0,0.25,0.249996504259,0.0156531386514,34,0.250453720508,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-310081534.407,8269697.2866,-310081534.407,-304233975.377,-315929093.437,-315344337.534,-304818731.28,2.0,68387893212000.0,0.25,0.124995105963,0.00782637233343,9,0.250453720508,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-323496569.083,3118221.52484,-323496569.083,-321291653.498,-325701484.669,-325480993.11,-321512145.056,2.0,9723305477980.0,0.249963898917,0.250003495741,0.00782565798392,78,0.125226860254,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-329515369.044,1189848.15304,-329515369.044,-328674019.347,-330356718.742,-330272583.772,-328758154.317,2.0,1415738627290.0,0.25,0.250003495741,0.0155968605555,89,0.249546279492,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-357604713.808,3539783.10622,-357604713.808,-355101709.169,-360107718.446,-359857417.982,-355352009.633,2.0,12530064439100.0,0.125018050542,0.250003495741,0.00779955640487,70,0.249546279492,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-379492937.722,2901636.1296,-379492937.722,-377441171.138,-381544704.306,-381339527.647,-377646347.796,2.0,8419492228590.0,0.125018050542,0.125001398296,0.00195697413424,125,0.125226860254,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-387510212.196,7189166.67265,-387510212.196,-382426703.691,-392593720.702,-392085369.851,-382935054.541,2.0,51684117447100.0,0.25,0.250003495741,0.0156535764121,59,0.250453720508,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-401247506.231,39643.0804232,-401247506.231,-401219474.34,-401275538.122,-401272734.933,-401222277.529,2.0,1571573825.44,0.25,0.125001398296,0.00779840846903,114,0.249546279492,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-401961641.377,1118353.22128,-401961641.377,-401170846.23,-402752436.523,-402673357.009,-401249925.745,2.0,1250713927540.0,0.249963898917,0.125001398296,0.00391281804952,103,0.125226860254,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-413943245.347,6809553.39484,-413943245.347,-409128163.965,-418758326.729,-418276818.591,-409609672.103,2.0,46370017437100.0,0.125018050542,0.124995105963,0.00389957098961,15,0.249546279492,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-434867932.878,10502197.0606,-434867932.878,-427441758.119,-442294107.637,-441551490.161,-428184375.595,2.0,110296143100000.0,0.125018050542,0.249996504259,0.0077993382861,40,0.249546279492,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-440295737.852,7706606.16024,-440295737.852,-434846344.376,-445745131.328,-445200191.98,-435391283.724,2.0,59391778509000.0,0.125018050542,0.250003495741,0.00779955640487,95,0.249546279492,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-455298798.354,1437463.93829,-455298798.354,-454282357.856,-456315238.853,-456213594.803,-454384001.906,2.0,2066302573870.0,0.25,0.249996504259,0.00782656932572,29,0.125226860254,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-469981515.474,4377962.54878,-469981515.474,-466885828.467,-473077202.48,-472767633.779,-467195397.168,2.0,19166556078500.0,0.25,0.250003495741,0.0156535764121,84,0.250453720508,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-480047578.371,2750101.22035,-480047578.371,-478102963.149,-481992193.593,-481797732.071,-478297424.672,2.0,7563056722190.0,0.25,0.124995105963,0.00391318616671,4,0.125226860254,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-513139597.939,89521.7344541,-513139597.939,-513076296.514,-513202899.365,-513196569.222,-513082626.657,2.0,8014140939.68,0.125018050542,0.250003495741,0.00779955640487,65,0.249546279492,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-514348201.93,485028.130556,-514348201.93,-514005235.25,-514691168.61,-514656871.942,-514039531.918,2.0,235252287431.0,0.125018050542,0.125001398296,0.0038997672965,120,0.249546279492,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-532349443.812,2150893.10647,-532349443.812,-530828532.711,-533870354.913,-533718263.803,-530980623.821,2.0,4626341155440.0,0.25,0.250003495741,0.00782678820604,54,0.125226860254,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-542800010.416,3047634.7529,-542800010.416,-540645007.216,-544955013.616,-544739513.296,-540860507.536,2.0,9288077587090.0,0.25,0.125001398296,0.00782676631801,109,0.250453720508,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-576501050.221,4901070.03365,-576501050.221,-573035470.365,-579966630.077,-579620072.091,-573382028.351,2.0,24020487474800.0,0.125018050542,0.124995105963,0.00391375124775,10,0.250453720508,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-598993778.804,6616167.86427,-598993778.804,-594315441.642,-603672115.967,-603204282.25,-594783275.358,2.0,43773677208200.0,0.125018050542,0.250003495741,0.00779955640487,90,0.249546279492,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-599199754.305,6380603.03738,-599199754.305,-594687986.629,-603711521.98,-603260345.213,-595139163.396,2.0,40712095120700.0,0.125018050542,0.249996504259,0.00782769951624,35,0.250453720508,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-611010596.898,6929802.15299,-611010596.898,-606110486.803,-615910706.993,-615420695.983,-606600497.813,2.0,48022157879600.0,0.25,0.250003495741,0.00782678820604,79,0.125226860254,1.83230531396e-13
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-669789931.237,366564.054909,-669789931.237,-669530731.308,-670049131.166,-670023211.173,-669556651.301,2.0,134369206352.0,0.125018050542,0.250003495741,0.00782791842816,60,0.250453720508,1.83230531396e-13
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-675555782.176,3716316.36991,-675555782.176,-672927949.67,-678183614.682,-677920831.431,-673190732.92,2.0,13811007361300.0,0.125018050542,0.125001398296,0.0038997672965,115,0.249546279492,1.83230531396e-13
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-694538315.081,3624724.88704,-694538315.081,-691975247.534,-697101382.629,-696845075.874,-692231554.288,2.0,13138630506700.0,0.25,0.125001398296,0.003913383159,104,0.125226860254,1.83230531396e-13
