smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2427675885.63,656492.228977,-2427877954.66,-2426755996.07,-2428191637.12,-2428177972.13,-2426890902.48,4.0,430982046708.0,3.46688419418e-13,0.00779794379918,0.249546279492,0.249981948155,97,0.125002976198
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2472184762.44,739063.659688,-2472051858.2,-2471442542.17,-2473192791.19,-2473041861.01,-2471513729.81,4.0,546215093072.0,3.46688419418e-13,0.00782588587727,0.125226860254,0.249981948155,81,0.249992724848
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2479785804.57,438292.199758,-2479884710.57,-2479211447.91,-2480162349.23,-2480151638.35,-2479281502.39,4.0,192100052369.0,3.46688419418e-13,0.00391273589804,0.125226860254,0.249981948155,76,0.12498974865
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2502326051.41,446442.095274,-2502285214.68,-2501870187.55,-2502863588.72,-2502810009.1,-2501899265.14,4.0,199310544433.0,3.46688419418e-13,0.00782634136657,0.125226860254,0.249981948155,86,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2520554482.31,725848.056925,-2520231695.75,-2520114789.56,-2521639748.17,-2521431980.78,-2520128885.01,4.0,526855401741.0,3.46688419418e-13,0.00195636794902,0.125226860254,0.124990974078,105,0.12498974865
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2533464074.72,731575.207776,-2533225161.06,-2532893630.34,-2534512346.39,-2534346757.31,-2532915871.23,4.0,535202284632.0,3.46688419418e-13,0.00782634136657,0.125226860254,0.249981948155,91,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2546413013.42,498113.671719,-2546376694.83,-2545872295.3,-2547026368.72,-2546957601.15,-2545919271.72,4.0,248117229953.0,3.46688419418e-13,0.00391294293863,0.125226860254,0.124990974078,110,0.249992724848
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2565044036.59,584153.995999,-2565162614.77,-2564275662.02,-2565575254.81,-2565550556.66,-2564371507.08,4.0,341235891042.0,3.46688419418e-13,0.00391314997922,0.125226860254,0.249981948155,96,0.125002976198
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2574294958.09,832773.482637,-2574423861.68,-2573175216.81,-2575156892.18,-2575070785.21,-2573338665.94,4.0,693511673384.0,3.46688419418e-13,0.00391317068328,0.125226860254,0.124990974078,115,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2603428870.42,158652.298196,-2603395928.22,-2603286860.81,-2603636764.43,-2603611221.51,-2603292638.41,4.0,25170551722.7,3.46688419418e-13,0.00391317068328,0.125226860254,0.124990974078,120,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2632437014.57,391482.362437,-2632368813.95,-2632080105.45,-2632930324.93,-2632876048.26,-2632093461.74,4.0,153258440099.0,3.46688419418e-13,0.00195657498961,0.125226860254,0.124990974078,125,0.125002976198
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2669874535.36,432575.064238,-2669764868.29,-2669525386.58,-2670443018.27,-2670373507.75,-2669529096.86,4.0,187121186200.0,3.46688419418e-13,0.00391273589804,0.250453720508,0.124990974078,104,0.12498974865
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2684229023.98,309189.830962,-2684247793.82,-2683833061.78,-2684587446.48,-2684539568.43,-2683892201.74,4.0,95598351570.5,3.46688419418e-13,0.00782588587727,0.250453720508,0.124990974078,109,0.249992724848
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2715204000.57,114412.82795,-2715158745.4,-2715127060.17,-2715371451.32,-2715343242.93,-2715128115.45,4.0,13090295199.4,3.46688419418e-13,0.00782634136657,0.250453720508,0.124990974078,114,0.250007275152
