smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-982786799.998,345506.257871,-982786799.998,-982542490.18,-983031109.816,-983006678.834,-982566921.162,2.0,119374574228.0,9,0.25,0.00782604400407,0.250453720508,3.66466187075e-13,0.12498986221
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-990072566.389,483900.421358,-990072566.389,-989730397.12,-990414735.659,-990380518.732,-989764614.047,2.0,234159617791.0,34,0.25,0.0156529635417,0.250453720508,3.66466187075e-13,0.249993707579
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1030401139.97,316032.733208,-1030401139.97,-1030177671.08,-1030624608.86,-1030602261.97,-1030200017.97,2.0,99876688459.2,59,0.25,0.0156537515218,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1059297936.07,967313.992878,-1059297936.07,-1058613941.79,-1059981930.35,-1059913530.92,-1058682341.21,2.0,935696360817.0,25,0.125018050542,0.00195679352968,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1069749534.3,368521.754283,-1069749534.3,-1069488950.07,-1070010118.53,-1069984060.1,-1069515008.49,2.0,135808283380.0,84,0.25,0.0156537515218,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1098030879.35,614357.59074,-1098030879.35,-1097596462.93,-1098465295.77,-1098421854.13,-1097639904.57,2.0,377435249300.0,50,0.125018050542,0.00391380597435,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1110084664.89,214704.689461,-1110084664.89,-1109932845.75,-1110236484.04,-1110221302.12,-1109948027.67,2.0,46098103676.5,109,0.25,0.0078269195376,0.250453720508,3.66466187075e-13,0.125003845369
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1137709407.17,138587.297741,-1137709407.17,-1137611411.15,-1137807403.19,-1137797603.59,-1137621210.76,2.0,19206439095.3,75,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1141561368.72,455224.190095,-1141561368.72,-1141239476.61,-1141883260.84,-1141851071.63,-1141271665.82,2.0,207229063248.0,29,0.25,0.00782648177084,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1141688738.57,636317.275795,-1141688738.57,-1141238794.3,-1142138682.83,-1142093688.4,-1141283788.73,2.0,404899675475.0,4,0.25,0.00391302200204,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1177672952.77,29117.7221029,-1177672952.77,-1177652363.43,-1177693542.1,-1177691483.17,-1177654422.36,2.0,847841740.462,100,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1182195483.39,722137.597165,-1182195483.39,-1181684855.0,-1182706111.78,-1182655048.94,-1181735917.84,2.0,521482709239.0,54,0.25,0.00782687576092,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1217642209.87,230010.331687,-1217642209.87,-1217479568.01,-1217804851.74,-1217788587.55,-1217495832.19,2.0,52904752683.0,125,0.125018050542,0.00195701244467,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1221378314.1,974473.237098,-1221378314.1,-1220689257.47,-1222067370.73,-1221998465.07,-1220758163.13,2.0,949598089821.0,79,0.25,0.00782687576092,0.125226860254,3.66466187075e-13,0.250006292421
