smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1896991573.69,1100892.21537,-1896991573.69,-1896213125.34,-1897770022.04,-1897692177.21,-1896290970.18,2.0,1211963669860.0,0.142857142857,0.142903225806,0.142860670194,2.43433201164e-13,244,0.00291646437308
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1905320055.98,30093.4865217,-1905320055.98,-1905298776.67,-1905341335.29,-1905339207.36,-1905300904.6,2.0,905617931.034,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,227,0.00291481851283
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1923994416.35,491661.802706,-1923994416.35,-1923646758.96,-1924342073.75,-1924307308.01,-1923681524.7,2.0,241731328240.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,210,0.00291481851283
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1932442938.86,124268.335914,-1932442938.86,-1932355067.87,-1932530809.84,-1932522022.74,-1932363854.97,2.0,15442619310.8,0.142857142857,0.142822580645,0.142859494415,2.43433201164e-13,235,0.00291479452315
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1934440424.94,1964534.40532,-1934440424.94,-1933051289.34,-1935829560.54,-1935690646.98,-1933190202.9,2.0,3859395429670.0,0.142857142857,0.142822580645,0.071417989418,2.43433201164e-13,194,0.00145715736474
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1951180131.95,2024785.89245,-1951180131.95,-1949748392.11,-1952611871.78,-1952468697.8,-1949891566.1,2.0,4099757910270.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,218,0.00291481851283
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1961578357.35,741747.058539,-1961578357.35,-1961053862.97,-1962102851.72,-1962050402.29,-1961106312.41,2.0,550188698851.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,243,0.00291481851283
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1975239328.44,992652.369921,-1975239328.44,-1974537417.22,-1975941239.66,-1975871048.54,-1974607608.34,2.0,985358727509.0,0.142857142857,0.0714516129032,0.142848912404,2.43433201164e-13,201,0.0014581121704
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1980169616.82,201008.224745,-1980169616.82,-1980027482.54,-1980311751.09,-1980297537.67,-1980041695.97,2.0,40404306415.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,226,0.00291481851283
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2005273556.85,364283.560903,-2005273556.85,-2005015969.48,-2005531144.23,-2005505385.49,-2005041728.21,2.0,132702512744.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,209,0.00145823218654
