smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1280399661.23,655047.191033,-1280537933.25,-1279488649.62,-1281034128.8,-1280973336.65,-1279632404.98,4.0,429086822480.0,0.250007275152,0.249546279492,0.0155959701145,93,3.46688419418e-13,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1322757932.28,242383.966814,-1322727706.23,-1322515050.23,-1323061266.44,-1323027464.12,-1322530716.91,4.0,58749987368.6,0.125002976198,0.249546279492,0.00779794379918,98,3.46688419418e-13,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1333098759.48,293136.869751,-1333159092.64,-1332693039.4,-1333383813.22,-1333357332.48,-1332755720.04,4.0,85929224407.5,0.12498974865,0.249546279492,0.0077971186374,77,3.46688419418e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1337818396.58,108912.430566,-1337817533.87,-1337704844.12,-1337933674.46,-1337926537.46,-1337711463.49,4.0,11861917531.8,0.12498974865,0.125226860254,0.00195636794902,105,3.46688419418e-13,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1342332901.03,367170.356645,-1342369632.82,-1341852173.03,-1342740165.43,-1342691918.73,-1341922458.81,4.0,134814070798.0,0.249992724848,0.249546279492,0.0155950624366,82,3.46688419418e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1379191776.91,460330.059321,-1379168049.46,-1378738147.78,-1379692860.92,-1379658853.39,-1378757918.85,4.0,211903763515.0,0.249992724848,0.125226860254,0.00391294293863,110,3.46688419418e-13,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1384115586.63,553230.956837,-1384285709.83,-1383331626.52,-1384559300.34,-1384541700.76,-1383451300.02,4.0,306064491603.0,0.250007275152,0.249546279492,0.0155959701145,87,3.46688419418e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1421594139.78,443781.78372,-1421448177.62,-1421262722.75,-1422217481.14,-1422125761.2,-1421266865.39,4.0,196942271561.0,0.250007275152,0.125226860254,0.00391317068328,115,3.46688419418e-13,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1427525220.47,405779.908676,-1427632051.86,-1426960262.7,-1427876515.46,-1427857770.97,-1427043106.03,4.0,164657334285.0,0.250007275152,0.249546279492,0.0155959701145,92,3.46688419418e-13,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1463385698.43,477530.919156,-1463430572.87,-1462817628.88,-1463864019.11,-1463837036.3,-1462871536.35,4.0,228035778750.0,0.250007275152,0.125226860254,0.00391317068328,120,3.46688419418e-13,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1469218851.61,555406.94089,-1469169398.35,-1468739015.38,-1469797594.35,-1469766592.52,-1468740345.26,4.0,308476869989.0,0.125002976198,0.249546279492,0.00779794379918,97,3.46688419418e-13,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1490225540.22,195869.117902,-1490233067.9,-1490030054.36,-1490405970.72,-1490402337.16,-1490038204.54,4.0,38364711347.7,0.12498974865,0.125226860254,0.00391273589804,76,3.46688419418e-13,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1491838737.45,585161.712191,-1491856897.21,-1491106243.75,-1492534911.63,-1492440987.53,-1491211063.71,4.0,342414229414.0,0.249992724848,0.125226860254,0.00782588587727,81,3.46688419418e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1502637413.04,458867.554896,-1502564802.92,-1502162185.51,-1503257860.8,-1503164686.07,-1502211794.17,4.0,210559432936.0,0.12498974865,0.250453720508,0.00391273589804,104,3.46688419418e-13,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1505549544.5,216784.848194,-1505561483.85,-1505298680.06,-1505776530.24,-1505761456.77,-1505320917.14,4.0,46995670406.3,0.125002976198,0.125226860254,0.00195657498961,125,3.46688419418e-13,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1527943271.56,301165.945509,-1527882272.76,-1527664878.93,-1528343661.77,-1528291832.17,-1527680109.26,4.0,90700926734.1,0.249992724848,0.250453720508,0.00782588587727,109,3.46688419418e-13,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1533463556.61,450305.113313,-1533475338.16,-1532945055.87,-1533958494.26,-1533918581.59,-1532992037.47,4.0,202774695076.0,0.250007275152,0.125226860254,0.00782634136657,86,3.46688419418e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1570051186.5,206402.737589,-1570114031.97,-1569766665.13,-1570210016.95,-1570208046.43,-1569806342.93,4.0,42602090084.3,0.250007275152,0.250453720508,0.00782634136657,114,3.46688419418e-13,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1576111157.3,794072.098097,-1575903220.16,-1575452240.8,-1577185948.1,-1577042814.48,-1575470612.13,4.0,630550496976.0,0.250007275152,0.125226860254,0.00782634136657,91,3.46688419418e-13,0.249981948155
