smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,119884621.381,12775484.2543,119884621.381,128918252.93,110850989.832,111754352.987,128014889.775,2.0,163212997931000.0,0.110483870968,0.111136071887,0.00136428809678,414,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,111715841.744,191953.168085,111715841.744,111851573.13,111580110.357,111593683.495,111837999.992,2.0,36846018737.8,0.0556451612903,0.111103979461,0.000686936206245,231,0.111111596344,3.4776821570799994e-14
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,105868332.518,1957328.19482,105868332.518,107252372.558,104484292.478,104622696.482,107113968.554,2.0,3831133662240.0,0.110483870968,0.111103979461,0.000681937789602,505,0.0555541185209,3.4776821570799994e-14
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,89627268.0177,18449427.1966,89627268.0177,102672983.097,76581552.9379,77886124.4459,101368411.589,2.0,340381363884000.0,0.111290322581,0.111136071887,0.0013742671786,322,0.111111428379,3.4776821570799994e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,84298776.7941,302211.487855,84298776.7941,84512472.5865,84085081.0017,84106450.5809,84491103.0073,2.0,91331783391.6,0.0556451612903,0.0555519897304,0.000343467583909,61,0.111111428379,3.4776821570799994e-14
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,83877714.1212,759296.643121,83877714.1212,84414617.9265,83340810.3159,83394500.6964,84360927.5459,2.0,576531392255.0,0.111290322581,0.111136071887,0.000687113853483,402,0.0555541185209,3.4776821570799994e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,82517112.0295,13686107.0224,82517112.0295,92194651.1131,72839572.9459,73807326.8542,91226897.2047,2.0,187309525429000.0,0.111290322581,0.111136071887,0.00137424640405,413,0.111109748728,3.4776821570799994e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,73493064.0975,6932923.79489,73493064.0975,78395381.5264,68590746.6687,69080978.4116,77905149.7835,2.0,48065432345800.0,0.111290322581,0.111103979461,0.00137387033564,152,0.111111428379,3.4776821570799994e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,58704134.2715,7368477.02941,58704134.2715,63914434.346,53493834.197,54014864.2044,63393404.3385,2.0,54294453733000.0,0.111290322581,0.111103979461,0.00137387241249,243,0.111111596344,3.4776821570799994e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,50012973.5428,3200946.60531,50012973.5428,52276384.5937,47749562.492,47975903.5971,52050043.4886,2.0,10246059170000.0,0.111290322581,0.111103979461,0.000686915437701,607,0.0555541185209,3.4776821570799994e-14
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,45160312.0094,4361777.23111,45160312.0094,48244554.2676,42076069.7513,42384493.9771,47936130.0417,2.0,19025100613800.0,0.110483870968,0.111136071887,0.00136431078318,334,0.111111596344,3.4776821570799994e-14
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,44500448.0609,11846590.6423,44500448.0609,52877252.638,36123643.4838,36961323.9416,52039572.1803,2.0,140341709846000.0,0.111290322581,0.111103979461,0.00137384956709,516,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,35049935.6726,14543601.1741,35049935.6726,45333814.6857,24766056.6594,25794444.5608,44305426.7843,2.0,211516335112000.0,0.0556451612903,0.111136071887,0.000687133589299,321,0.111111428379,3.4776821570799994e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,26389457.4379,4246949.74206,26389457.4379,29392504.3999,23386410.476,23686715.1722,29092199.7037,2.0,18036582111500.0,0.0556451612903,0.111103979461,0.000686935167818,151,0.111111428379,3.4776821570799994e-14
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,24726034.9259,19849930.2083,24726034.9259,38762055.1823,10690014.6695,12093616.6952,37358453.1566,2.0,394019729274000.0,0.111290322581,0.111136071887,0.00137424640405,412,0.111109748728,3.4776821570799994e-14
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,21731950.0891,6309021.36161,21731950.0891,26193101.8766,17270798.3017,17716913.4804,25746986.6978,2.0,39803750541300.0,0.110483870968,0.111103979461,0.000681937789602,504,0.0555541185209,3.4776821570799994e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,17175400.8089,17470795.9824,17175400.8089,29529119.1208,4821682.49703,6057054.32822,28293747.2897,2.0,305228712260000.0,0.110483870968,0.111136071887,0.00136430872078,425,0.111111428379,3.4776821570799994e-14
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,13008339.5111,2451835.46819,13008339.5111,14742048.997,11274630.0252,11448000.9738,14568678.0485,2.0,6011497163060.0,0.111290322581,0.111103979461,0.00137387241249,242,0.111111596344,3.4776821570799994e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,12977822.0903,8425287.24045,12977822.0903,18935399.8315,7020244.34913,7616002.12325,18339642.0573,2.0,70985465084000.0,0.0556451612903,0.111136071887,0.000343556926741,401,0.0555541185209,3.4776821570799994e-14
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,8604196.8103,6768429.42736,8604196.8103,13390199.1564,3818194.46423,4296794.69884,12911598.9218,2.0,45811636913100.0,0.111290322581,0.111136071887,0.00137426925605,333,0.111111596344,3.4776821570799994e-14
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,2955258.41821,1133782.8773,2955258.41821,3756963.97914,2153552.85728,2233723.41338,3676793.42305,2.0,1285463612850.0,0.110483870968,0.111136071887,0.00136430872078,424,0.111111428379,3.4776821570799994e-14
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,305065.148957,1624725.38714,305065.148957,1453919.48777,-843789.189858,-728903.755976,1339034.05389,2.0,2639732583630.0,0.110483870968,0.111103979461,0.00136389413545,515,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-37474956.2515,6521059.19096,-37474956.2515,-32863871.0771,-42086041.426,-41624932.9085,-33324979.5945,2.0,42524212971900.0,0.0556451612903,0.111136071887,0.000687123202027,411,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-41781082.9314,9251708.35943,-41781082.9314,-35239137.2129,-48323028.6499,-47668834.0781,-35893331.7847,2.0,85594107567900.0,0.0556451612903,0.111103979461,0.000686936206245,241,0.111111596344,3.4776821570799994e-14
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-51346506.6568,17374966.186,-51346506.6568,-39060550.2438,-63632463.0698,-62403867.4285,-40289145.8851,2.0,301889449966000.0,0.111290322581,0.111136071887,0.00137426925605,332,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-52431254.1702,1324278.9607,-52431254.1702,-51494847.5369,-53367660.8035,-53274020.1402,-51588488.2003,2.0,1753714765750.0,0.111290322581,0.111136071887,0.0013742671786,423,0.111111428379,3.4776821570799994e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2315304.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-55773566.2153,2320920.92396,-55773566.2153,-54132427.2914,-57414705.1392,-57250591.2468,-54296541.1838,2.0,5386673935270.0,0.0556451612903,0.0555519897304,0.000343468103122,71,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-57144293.1132,3824314.85914,-57144293.1132,-54440094.1429,-59848492.0835,-59578072.1864,-54710514.0399,2.0,14625384141800.0,0.111290322581,0.111103979461,0.000686915437701,503,0.0555541185209,3.4776821570799994e-14
720.0,-361.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-61285953.3479,42078695.4077,-61285953.3479,-31531822.4816,-91040084.2141,-88064671.1275,-34507235.5683,2.0,1770616607210000.0,0.111290322581,0.111103979461,0.000686915437701,606,0.0555541185209,3.4776821570799994e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-70865596.2359,5367624.67642,-70865596.2359,-67070112.4283,-74661080.0434,-74281531.6627,-67449660.8091,2.0,28811394666900.0,0.111290322581,0.111103979461,0.00137387033564,162,0.111111428379,3.4776821570799994e-14
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-78512275.6595,36650808.536,-78512275.6595,-52596240.4077,-104428310.911,-101836707.386,-55187843.9329,2.0,1343281766340000.0,0.110483870968,0.111103979461,0.00136389413545,514,0.111109748728,3.4776821570799994e-14
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-82931604.7784,2333067.76424,-82931604.7784,-81281876.7413,-84581332.8154,-84416360.0117,-81446849.545,2.0,5443205192520.0,0.110483870968,0.111136071887,0.00136431078318,344,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-83307493.6323,13116981.194,-83307493.6323,-74032387.2813,-92582599.9833,-91655089.3482,-74959897.9164,2.0,172055195645000.0,0.111290322581,0.111103979461,0.00137387033564,253,0.111111428379,3.4776821570799994e-14
720.0,-223.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-92429263.0372,2469501.75681,-92429263.0372,-90683061.5989,-94175464.4756,-94000844.3318,-90857681.7427,2.0,6098438926880.0,0.111290322581,0.111103979461,0.000686915437701,708,0.0555541185209,3.4776821570799994e-14
