smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-934677354.946,726333.298747,-934677354.946,-934163759.745,-935190950.147,-935139590.627,-934215119.265,2.0,527560060869.0,9,3.66466187075e-13,0.250453720508,0.12498986221,0.25,0.00782604400407
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-942376439.192,634878.524401,-942376439.192,-941927512.283,-942825366.102,-942780473.411,-941972404.974,2.0,403070740745.0,34,3.66466187075e-13,0.250453720508,0.249993707579,0.25,0.0156529635417
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-981539489.253,408882.160129,-981539489.253,-981250365.905,-981828612.601,-981799700.266,-981279278.239,2.0,167184620871.0,59,3.66466187075e-13,0.250453720508,0.250006292421,0.25,0.0156537515218
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1022516288.86,1022254.97519,-1022516288.86,-1021793445.44,-1023239132.29,-1023166847.94,-1021865729.78,2.0,1045005234300.0,84,3.66466187075e-13,0.250453720508,0.250006292421,0.25,0.0156537515218
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1037667699.3,197798.304226,-1037667699.3,-1037527834.78,-1037807563.83,-1037793577.37,-1037541821.23,2.0,39124169154.8,25,3.66466187075e-13,0.125226860254,0.12498986221,0.125018050542,0.00195679352968
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1062101592.95,327899.50663,-1062101592.95,-1061869732.98,-1062333452.91,-1062310266.92,-1061892918.98,2.0,107518086448.0,109,3.66466187075e-13,0.250453720508,0.125003845369,0.25,0.0078269195376
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1077111271.25,221735.012565,-1077111271.25,-1076954480.92,-1077268061.58,-1077252382.54,-1076970159.95,2.0,49166415797.2,50,3.66466187075e-13,0.125226860254,0.249993707579,0.125018050542,0.00391380597435
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1093234245.92,448182.887066,-1093234245.92,-1092917332.76,-1093551159.08,-1093519467.76,-1092949024.07,2.0,200867900259.0,29,3.66466187075e-13,0.125226860254,0.249993707579,0.25,0.00782648177084
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1093913763.41,229026.809211,-1093913763.41,-1093751817.0,-1094075709.82,-1094059515.18,-1093768011.65,2.0,52453279337.6,4,3.66466187075e-13,0.125226860254,0.12498986221,0.25,0.00391302200204
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1115667415.82,86393.1130719,-1115667415.82,-1115606326.67,-1115728504.98,-1115722396.06,-1115612435.58,2.0,7463769986.26,75,3.66466187075e-13,0.125226860254,0.250006292421,0.125018050542,0.00391400299785
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1133873468.03,1105109.90208,-1133873468.03,-1133092037.32,-1134654898.73,-1134576755.66,-1133170180.39,2.0,1221267895670.0,54,3.66466187075e-13,0.125226860254,0.250006292421,0.25,0.00782687576092
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1156247758.53,1359002.99336,-1156247758.53,-1155286798.3,-1157208718.76,-1157112622.74,-1155382894.32,2.0,1846889135960.0,100,3.66466187075e-13,0.125226860254,0.250006292421,0.125018050542,0.00391400299785
