npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,389596198.758,182438.818027,389596198.758,389725202.484,389467195.033,389480095.406,389712302.111,2.0,33283922323.0,0.125026522385,0.00391764180651,0.250009196248,0.125333333333,1.0406674226900002e-12,120
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,372656384.52,719366.128063,372656384.52,373165053.187,372147715.852,372198582.719,373114186.32,2.0,517487626204.0,0.125026522385,0.00391706538603,0.124986205628,0.250666666667,1.0406674226900002e-12,104
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,362656336.97,379798.42716,362656336.97,362924895.014,362387778.927,362414634.731,362898039.209,2.0,144246845273.0,0.25,0.00779195328306,0.125004598124,0.249333333333,1.0406674226900002e-12,97
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,361138197.402,895526.739129,361138197.402,361771430.432,360504964.372,360568287.675,361708107.129,2.0,801968140496.0,0.125026522385,0.00783470719255,0.249990803752,0.250666666667,1.0406674226900002e-12,109
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,359914481.234,2613700.53926,359914481.234,361762646.609,358066315.858,358251132.396,361577830.071,2.0,6831430508930.0,0.25,0.00783304518423,0.249990803752,0.125333333333,1.0406674226900002e-12,81
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,357633779.562,778891.809088,357633779.562,358184539.242,357083019.882,357138095.85,358129463.274,2.0,606672450264.0,0.125026522385,0.00195882090326,0.125004598124,0.125333333333,1.0406674226900002e-12,125
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,347548598.768,36099.6556144,347548598.768,347574125.079,347523072.457,347525625.088,347571572.448,2.0,1303185135.48,0.25,0.00391623444301,0.124986205628,0.125333333333,1.0406674226900002e-12,76
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,332328721.687,412336.092843,332328721.687,332620287.335,332037156.04,332066312.605,332591130.77,2.0,170021053461.0,0.125026522385,0.00783528361303,0.250009196248,0.250666666667,1.0406674226900002e-12,114
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,331071166.833,6859.79021281,331071166.833,331076017.437,331066316.229,331066801.289,331075532.376,2.0,47056721.7638,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,86
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,303252355.914,1241036.41764,303252355.914,304129901.181,302374810.647,302462565.174,304042146.654,2.0,1540171389910.0,0.125026522385,0.00783528361303,0.250009196248,0.250666666667,1.0406674226900002e-12,119
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,302542581.093,1492461.43945,302542581.093,303597910.698,301487251.489,301592784.449,303492377.737,2.0,2227441148250.0,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,91
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,273731553.162,1520607.67784,273731553.162,274806785.163,272656321.162,272763844.362,274699261.963,2.0,2312247709910.0,0.125026522385,0.00391764180651,0.125004598124,0.250666666667,1.0406674226900002e-12,124
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,273249996.605,963184.543741,273249996.605,273931070.928,272568922.283,272637029.715,273862963.496,2.0,927724465301.0,0.25,0.00391681074122,0.125004598124,0.125333333333,1.0406674226900002e-12,96
