npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1029731956.39,995641.93343,1029731956.39,1030435981.55,1029027931.23,1029098333.74,1030365579.04,2.0,991302859604.0,0.0156244660483,1.74117872884e-13,0.25,59,0.250005865503,0.249985591609
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1015243321.52,18550297.2085,1015243321.52,1028360362.47,1002126280.57,1003437984.67,1027048658.38,2.0,344113526523000.0,0.00781280028334,1.74117872884e-13,0.25,40,0.249995200952,0.125007204196
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,998964001.609,1840085.31092,998964001.609,1000265138.41,997662864.807,997792978.488,1000135024.73,2.0,3385913951480.0,0.00390621683414,1.74117872884e-13,0.25,15,0.124991734973,0.125007204196
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,995691022.822,3942157.44981,995691022.822,998478549.088,992903496.557,993182249.184,998199796.461,2.0,15540605359100.0,0.00389503441102,1.74117872884e-13,0.124645892351,103,0.125002399524,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,972665721.765,8884955.41334,972665721.765,978948333.989,966383109.542,967011370.764,978320072.766,2.0,78942432697000.0,0.0156243993987,1.74117872884e-13,0.25,84,0.250004799048,0.249985591609
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,964962548.181,5057258.20991,964962548.181,968538569.755,961386526.606,961744128.764,968180967.598,2.0,25575860601700.0,0.00781313356976,1.74117872884e-13,0.25,65,0.250005865503,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,925900576.166,4604718.01021,925900576.166,929156603.497,922644548.836,922970151.569,928831000.764,2.0,21203427953500.0,0.00778976974847,1.74117872884e-13,0.124645892351,29,0.249995200952,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,924272492.591,6499505.67854,924272492.591,928868337.131,919676648.052,920136232.506,928408752.677,2.0,42243574065400.0,0.00781219969937,1.74117872884e-13,0.25,109,0.125002399524,0.249985591609
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,903355187.766,377632.147336,903355187.766,903622214.019,903088161.514,903114864.139,903595511.393,2.0,142606038701.0,0.00781310024112,1.74117872884e-13,0.25,90,0.250004799048,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,868297761.847,1162806.74944,868297761.847,869119990.385,867475533.31,867557756.164,869037767.531,2.0,1352119536530.0,0.00779010205243,1.74117872884e-13,0.124645892351,54,0.250005865503,0.249985591609
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,860288295.488,9460538.27183,860288295.488,866977906.254,853598684.722,854267645.799,866308945.177,2.0,89501784392800.0,0.00390655012056,1.74117872884e-13,0.25,115,0.125002399524,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,851720806.931,7239168.95671,851720806.931,856839672.39,846601941.471,847113828.017,856327785.844,2.0,52405567183900.0,0.00389470210706,1.74117872884e-13,0.124645892351,4,0.124991734973,0.249985591609
