npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
769.0,-620.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,198400349.958,3144656.01305,198400349.958,200623957.549,196176742.366,196399103.125,200401596.79,2.0,9888861440390.0,83,0.249982603855,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155977102672
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,189968136.122,11068942.6155,189968136.122,197795060.506,182141211.738,182923904.177,197012368.068,2.0,122521490626000.0,107,0.249982603855,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00779885513362
769.0,-620.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,180645165.147,7935812.21717,180645165.147,186256631.78,175033698.514,175594845.177,185695485.117,2.0,62977115546100.0,59,0.250017396145,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155998811385
769.0,-323.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,150521447.12,22584491.6536,150521447.12,166491094.318,134551799.922,136148764.642,164894129.598,2.0,510059263253000.0,70,0.125008698073,0.250000900828,4.2140306427499993e-14,0.250420168067,0.00782620299543
769.0,-620.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,144013224.928,19816792.2881,144013224.928,158025813.136,130000636.719,131401895.54,156624554.315,2.0,392705256592000.0,35,0.125008698073,0.249999099172,4.2140306427499993e-14,0.249579831933,0.00779988435826
769.0,-323.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,121927045.842,42092889.0789,121927045.842,151691213.15,92162878.5348,95139295.2656,148714796.419,2.0,1771811311010000.0,94,0.250017396145,0.250000900828,4.2140306427499993e-14,0.250420168067,0.0156524059909
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,78622471.5021,19797113.5086,78622471.5021,92621144.712,64623798.2923,66023665.6133,91221277.391,2.0,391925703273000.0,102,0.249982603855,0.125000450414,4.2140306427499993e-14,0.125210084034,0.00391255695256
769.0,-769.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,39495382.2436,33244042.3097,39495382.2436,63002469.9948,15988294.4924,18339003.2675,60651761.2197,2.0,1105166349090000.0,78,0.249982603855,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782511390512
769.0,-769.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,31434089.7227,29658032.8404,31434089.7227,52405485.8607,10462693.5846,12559833.1984,50308346.2469,2.0,879598911960000.0,54,0.250017396145,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782620299543
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,14359815.5425,2693169.01402,14359815.5425,16264173.6152,12455457.4698,12645893.2771,16073737.8079,2.0,7253159338080.0,113,0.249982603855,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00779885513362
769.0,-472.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,6140857.34508,23043115.7492,6140857.34508,22434800.751,-10153086.0609,-8523691.72029,20805406.4104,2.0,530985183433000.0,65,0.125008698073,0.250000900828,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-769.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1029682.90251,4490467.95647,1029682.90251,4204923.24523,-2145557.44021,-1828033.40594,3887399.21095,2.0,20164302468100.0,30,0.125008698073,0.249999099172,4.2140306427499993e-14,0.125210084034,0.00391307329758
769.0,-472.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-735212.821753,35690819.9092,-735212.821753,24502007.9621,-25972433.6056,-23448711.5273,21978285.8837,2.0,1273834625790000.0,89,0.250017396145,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155998811385
