smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-197577594.673,9363764.193,-197577594.673,-190956413.515,-204198775.832,-203536657.716,-191618531.631,2.0,87680079862000.0,34,0.25,0.250453720508,1.83230531396e-13,0.249996504259,0.0156531386514
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-201050743.799,7018780.82542,-201050743.799,-196087716.281,-206013771.316,-205517468.564,-196584019.033,2.0,49263284275300.0,20,0.125018050542,0.249546279492,1.83230531396e-13,0.124995105963,0.00389957098961
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-213984489.876,6848847.6668,-213984489.876,-209141623.247,-218827356.504,-218343069.841,-209625909.91,2.0,46906714363100.0,9,0.25,0.250453720508,1.83230531396e-13,0.124995105963,0.00782637233343
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-217324037.805,382844.080797,-217324037.805,-217053326.159,-217594749.45,-217567678.286,-217080397.324,2.0,146569590201.0,89,0.25,0.249546279492,1.83230531396e-13,0.250003495741,0.0155968605555
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-230869259.326,811799.002878,-230869259.326,-230295230.746,-231443287.906,-231385885.048,-230352633.604,2.0,659017621073.0,103,0.249963898917,0.125226860254,1.83230531396e-13,0.125001398296,0.00391281804952
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-231127557.386,3283675.01064,-231127557.386,-228805648.519,-233449466.253,-233217275.367,-229037839.406,2.0,10782521575500.0,45,0.125018050542,0.249546279492,1.83230531396e-13,0.249996504259,0.0077993382861
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-247820720.861,12799269.7864,-247820720.861,-238770270.401,-256871171.321,-255966126.275,-239675315.447,2.0,163821307065000.0,100,0.125018050542,0.125226860254,1.83230531396e-13,0.250003495741,0.00391395921408
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-275571965.84,6413298.27378,-275571965.84,-271037079.141,-280106852.539,-279653363.87,-271490567.811,2.0,41130394748500.0,59,0.25,0.250453720508,1.83230531396e-13,0.250003495741,0.0156535764121
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-291640876.725,1072187.22196,-291640876.725,-290882725.869,-292399027.58,-292323212.494,-290958540.955,2.0,1149585438940.0,114,0.25,0.249546279492,1.83230531396e-13,0.125001398296,0.00779840846903
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-308655074.347,3520076.72951,-308655074.347,-306166004.221,-311144144.473,-310895237.46,-306414911.234,2.0,12390940181600.0,70,0.125018050542,0.249546279492,1.83230531396e-13,0.250003495741,0.00779955640487
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-318678167.838,1613301.60851,-318678167.838,-317537391.331,-319818944.346,-319704866.695,-317651468.981,2.0,2602742080030.0,125,0.125018050542,0.125226860254,1.83230531396e-13,0.125001398296,0.00195697413424
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-351031474.368,827620.877647,-351031474.368,-350446258.033,-351616690.703,-351558169.069,-350504779.667,2.0,684956317118.0,29,0.25,0.125226860254,1.83230531396e-13,0.249996504259,0.00782656932572
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-360225699.325,1303826.05945,-360225699.325,-359303755.077,-361147643.573,-361055449.148,-359395949.502,2.0,1699962393290.0,84,0.25,0.250453720508,1.83230531396e-13,0.250003495741,0.0156535764121
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-360922852.085,5493228.44512,-360922852.085,-357038553.001,-364807151.169,-364418721.261,-357426982.909,2.0,30175558750300.0,15,0.125018050542,0.249546279492,1.83230531396e-13,0.124995105963,0.00389957098961
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-367060924.445,7599103.46118,-367060924.445,-361687546.857,-372434302.034,-371896964.275,-362224884.616,2.0,57746373413700.0,4,0.25,0.125226860254,1.83230531396e-13,0.124995105963,0.00391318616671
