npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,551542521.525,2530263.00753,551542521.525,553331687.655,549753355.394,549932272.007,553152771.042,2.0,6402230887290.0,0.249333333333,1.0563053673200001e-12,45,0.00778969230155,0.124972890913,0.24999086758
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,548936076.682,1081240.32498,548936076.682,549700629.048,548171524.316,548247979.552,549624173.811,2.0,1169080640350.0,0.249333333333,1.0563053673200001e-12,20,0.00389456158541,0.124972890913,0.12498630137
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,545782076.073,1147901.04733,545782076.073,546593764.687,544970387.458,545051556.319,546512595.826,2.0,1317676814470.0,0.250666666667,1.0563053673200001e-12,9,0.00783247488584,0.25,0.12498630137
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,545369648.976,483197.067187,545369648.976,545711320.898,545027977.053,545062144.245,545677153.706,2.0,233479405738.0,0.250666666667,1.0563053673200001e-12,59,0.015667238965,0.25,0.25000913242
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,534803125.555,1570006.46803,534803125.555,535913287.775,533692963.335,533803979.557,535802271.553,2.0,2464920309660.0,0.125333333333,1.0563053673200001e-12,125,0.00195798014608,0.124972890913,0.12500456621
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,522286527.83,1638587.04988,522286527.83,523445183.845,521127871.816,521243737.417,523329318.243,2.0,2684967520040.0,0.249333333333,1.0563053673200001e-12,70,0.00779026143228,0.124972890913,0.25000913242
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,516430007.832,1307567.225,516430007.832,517354597.484,515505418.18,515597877.145,517262138.518,2.0,1709732047900.0,0.250666666667,1.0563053673200001e-12,84,0.015667238965,0.25,0.25000913242
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,492935499.207,421613.545977,492935499.207,493233625.005,492637373.41,492667185.989,493203812.425,2.0,177757982151.0,0.249333333333,1.0563053673200001e-12,95,0.00779026143228,0.124972890913,0.25000913242
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,491207408.856,196641.033293,491207408.856,491346455.064,491068362.648,491082267.269,491332550.444,2.0,38667695974.5,0.125333333333,1.0563053673200001e-12,29,0.00783304718417,0.25,0.24999086758
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,486316912.187,736239.47627,486316912.187,486837512.114,485796312.261,485848372.254,486785452.121,2.0,542048566418.0,0.250666666667,1.0563053673200001e-12,109,0.0078336194825,0.25,0.12500456621
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,468428660.128,534285.976829,468428660.128,468806457.365,468050862.89,468088642.614,468768677.641,2.0,285461505036.0,0.249333333333,1.0563053673200001e-12,40,0.00778969230155,0.124972890913,0.24999086758
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,462494862.6,1610434.75912,462494862.6,463633611.939,461356113.261,461469988.195,463519737.005,2.0,2593500113390.0,0.249333333333,1.0563053673200001e-12,120,0.00389513071614,0.124972890913,0.12500456621
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460743691.775,245280.741629,460743691.775,460917131.451,460570252.1,460587596.067,460899787.484,2.0,60162642214.2,0.125333333333,1.0563053673200001e-12,54,0.0078336194825,0.25,0.25000913242
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,449661879.078,367772.710156,449661879.078,449921933.655,449401824.501,449427829.958,449895928.197,2.0,135256766335.0,0.249333333333,1.0563053673200001e-12,15,0.00389456158541,0.124972890913,0.12498630137
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,445888377.134,867178.044168,445888377.134,446501564.61,445275189.659,445336508.406,446440245.862,2.0,751997760288.0,0.125333333333,1.0563053673200001e-12,4,0.00391623744292,0.25,0.12498630137
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,436580910.917,1072746.92718,436580910.917,437339457.543,435822364.29,435898218.953,437263602.881,2.0,1150785969780.0,0.249333333333,1.0563053673200001e-12,65,0.00779026143228,0.124972890913,0.25000913242
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,430703018.548,1904442.81796,430703018.548,432049662.979,429356374.117,429491038.56,431914998.536,2.0,3626902446880.0,0.125333333333,1.0563053673200001e-12,79,0.0078336194825,0.25,0.25000913242
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,407209985.079,2333793.95057,407209985.079,408860226.607,405559743.55,405724767.703,408695202.454,2.0,5446594203730.0,0.249333333333,1.0563053673200001e-12,90,0.00779026143228,0.124972890913,0.25000913242
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,402518141.683,2344704.14299,402518141.683,404176097.882,400860185.483,401025981.103,404010302.262,2.0,5497637518150.0,0.125333333333,1.0563053673200001e-12,104,0.00391680974125,0.25,0.12500456621
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,376318743.347,15347.188273,376318743.347,376329595.448,376307891.246,376308976.457,376328510.238,2.0,235536187.886,0.250666666667,1.0563053673200001e-12,35,0.00783134841011,0.124972890913,0.24999086758
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,375954037.847,1161198.85993,375954037.847,376775129.435,375132946.258,375215055.417,376693020.276,2.0,1348382792310.0,0.249333333333,1.0563053673200001e-12,115,0.00389513071614,0.124972890913,0.12500456621
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,347906697.173,1193854.24078,347906697.173,348750879.603,347062514.744,347146932.987,348666461.36,2.0,1425287948230.0,0.250666666667,1.0563053673200001e-12,10,0.00391538811795,0.124972890913,0.12498630137
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,345821231.663,892941.975343,345821231.663,346452636.989,345189826.337,345252966.87,346389496.456,2.0,797345371329.0,0.250666666667,1.0563053673200001e-12,60,0.00783192058432,0.124972890913,0.25000913242
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,314300065.338,2989756.91269,314300065.338,316414142.725,312185987.951,312397395.69,316202734.986,2.0,8938646397000.0,0.250666666667,1.0563053673200001e-12,85,0.00783192058432,0.124972890913,0.25000913242
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,285527537.419,1487503.89348,285527537.419,286579361.509,284475713.329,284580895.738,286474179.1,2.0,2212667833120.0,0.250666666667,1.0563053673200001e-12,110,0.00391596029216,0.124972890913,0.12500456621
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,283813883.947,757315.249104,283813883.947,284349386.695,283278381.198,283331931.473,284295836.42,2.0,573526386526.0,0.125333333333,1.0563053673200001e-12,30,0.00391567420506,0.124972890913,0.24999086758
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,253335146.856,984152.599737,253335146.856,254031047.833,252639245.879,252708835.977,253961457.736,2.0,968556339569.0,0.125333333333,1.0563053673200001e-12,55,0.00391596029216,0.124972890913,0.25000913242
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,251834843.642,1039544.63793,251834843.642,252569912.705,251099774.579,251173281.486,252496405.799,2.0,1080653054240.0,0.125333333333,1.0563053673200001e-12,5,0.00195769405898,0.124972890913,0.12498630137
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,225012860.821,444682.574285,225012860.821,225327298.885,224698422.757,224729866.564,225295855.078,2.0,197742591872.0,0.125333333333,1.0563053673200001e-12,80,0.00391596029216,0.124972890913,0.25000913242
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,195965552.047,294873.800519,195965552.047,196174059.311,195757044.783,195777895.51,196153208.585,2.0,86950558232.6,0.125333333333,1.0563053673200001e-12,105,0.00195798014608,0.124972890913,0.12500456621
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110399688163000.0,391625.886896,-110399688163000.0,-110399687886000.0,-110399688440000.0,-110399688412000.0,-110399687914000.0,2.0,153370835287.0,0.250666666667,1.0563053673200001e-12,6,0.00391708676789,0.125027109087,0.12498630137
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110399717889000.0,518827.988676,-110399717889000.0,-110399717522000.0,-110399718256000.0,-110399718219000.0,-110399717559000.0,2.0,269182481834.0,0.250666666667,1.0563053673200001e-12,31,0.00783474595823,0.125027109087,0.24999086758
