smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-279485680.902,4645171.3057,-281270654.163,-272733147.16,-282668268.123,-282630800.187,-273841599.053,4.0,21577616459300.0,0.124990974078,0.124994709051,0.00391289118068,1.7334191682000001e-13,0.250453720508,104
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-283013567.855,3356675.96613,-282333235.645,-279699878.577,-287687921.551,-286907466.719,-280072134.083,4.0,11267273541600.0,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,115
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-286596891.273,2114918.32327,-287046313.08,-283780206.587,-288514732.346,-288420096.208,-284144495.809,4.0,4472879514110.0,0.250018051845,0.250003306843,0.00782734744372,1.7334191682000001e-13,0.125226860254,66
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-293977799.441,2943374.04953,-292866029.175,-291893038.001,-298286101.414,-297555970.837,-291956106.418,4.0,8663450795450.0,0.249981948155,0.249996693157,0.0155953099878,1.7334191682000001e-13,0.249546279492,82
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-306841018.762,3419767.92237,-307820976.88,-301931409.007,-309790712.28,-309558789.171,-302751306.986,4.0,11694812642900.0,0.249981948155,0.125001984106,0.00782623784463,1.7334191682000001e-13,0.250453720508,99
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-333127683.023,3669911.341,-333963158.498,-328014299.512,-336570115.584,-336285755.473,-328799944.908,4.0,13468249250800.0,0.124990974078,0.249996693157,0.00782601010299,1.7334191682000001e-13,0.250453720508,109
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-342877894.632,2037792.78823,-342296177.188,-341112235.815,-345806988.337,-345311083.168,-341259110.518,4.0,4152599447760.0,0.249981948155,0.250003306843,0.0155957225633,1.7334191682000001e-13,0.249546279492,93
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-383839080.3,2726637.55306,-384147066.758,-380399166.08,-386663021.604,-386446705.31,-380800274.249,4.0,7434552345780.0,0.250018051845,0.125001984106,0.00391368407525,1.7334191682000001e-13,0.125226860254,71
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-384982287.946,3886088.25573,-385504501.41,-379815104.76,-389105044.206,-388674305.005,-380559172.039,4.0,15101681931300.0,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-391742296.39,2204869.33847,-391271839.879,-389681719.194,-394743786.608,-394322875.105,-389820356.79,4.0,4861448799730.0,0.249981948155,0.250003306843,0.0155957225633,1.7334191682000001e-13,0.249546279492,87
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-433172453.669,4820425.59157,-432325182.318,-428619803.474,-439419646.569,-438665068.505,-428866018.726,4.0,23236502883800.0,0.124990974078,0.250003306843,0.00782621714084,1.7334191682000001e-13,0.250453720508,114
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-442616983.858,5371637.14543,-442587690.465,-437489646.162,-447802908.338,-447633411.33,-437641567.135,4.0,28854485622200.0,0.249981948155,0.125001984106,0.00779788191041,1.7334191682000001e-13,0.249546279492,98
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-452239954.236,3760192.17458,-451855608.737,-448928555.515,-456320043.957,-456054394.13,-448963598.042,4.0,14139045189800.0,0.249981948155,0.124994709051,0.00391289118068,1.7334191682000001e-13,0.125226860254,76
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-457812869.186,4250940.88522,-456186039.5,-454935357.432,-463944040.314,-462965485.778,-454937814.156,4.0,18070498409600.0,0.249981948155,0.249996693157,0.00782601010299,1.7334191682000001e-13,0.125226860254,81
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-461874048.017,4729131.60674,-460835315.545,-457393628.547,-468431932.429,-467436943.717,-457765377.776,4.0,22364685753900.0,0.124990974078,0.124994709051,0.00389871403872,1.7334191682000001e-13,0.249546279492,103
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-483464405.399,2319043.11444,-483038461.619,-481258722.08,-486521976.278,-486131808.594,-481393323.496,4.0,5377960966640.0,0.124990974078,0.125001984106,0.00195655946116,1.7334191682000001e-13,0.125226860254,125
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-495448905.644,2523065.48172,-495195692.748,-492740170.023,-498664067.056,-498264504.212,-492987805.13,4.0,6365859425030.0,0.249981948155,0.250003306843,0.0155957225633,1.7334191682000001e-13,0.249546279492,92
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-505026057.301,3150194.08482,-504899895.297,-501486568.808,-508817869.802,-508408715.022,-501820026.385,4.0,9923722772050.0,0.124990974078,0.249996693157,0.00779765499392,1.7334191682000001e-13,0.249546279492,108
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-538063182.538,2123166.3338,-538036550.395,-535566549.08,-540613080.284,-540320690.993,-535842959.084,4.0,4507835281000.0,0.124990974078,0.250003306843,0.00782621714084,1.7334191682000001e-13,0.250453720508,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-561507179.976,4900253.74999,-561340955.699,-555797386.327,-567549422.177,-566797894.68,-556449179.258,4.0,24012486814300.0,0.249981948155,0.250003306843,0.00782621714084,1.7334191682000001e-13,0.125226860254,86
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-596860346.023,4769187.12757,-595098376.832,-593430070.772,-603814559.656,-602653276.085,-593534172.829,4.0,22745145857800.0,0.249981948155,0.125001984106,0.00779788191041,1.7334191682000001e-13,0.249546279492,97
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-605548569.735,4849154.72082,-606269132.694,-599745293.541,-609910720.01,-609799198.799,-600289152.528,4.0,23514301506400.0,0.124990974078,0.250003306843,0.00779786128164,1.7334191682000001e-13,0.249546279492,113
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-635383888.381,7291852.98792,-635350580.998,-628037957.793,-642796433.733,-642434061.909,-628380345.187,4.0,53171119997400.0,0.124990974078,0.125001984106,0.00391311892231,1.7334191682000001e-13,0.250453720508,124
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-637692970.127,6027101.20171,-637368517.037,-630821722.737,-645213123.696,-644273616.724,-631566557.855,4.0,36325948895600.0,0.124990974078,0.124994709051,0.00389871403872,1.7334191682000001e-13,0.249546279492,102
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-656454280.815,3100390.58636,-657200720.926,-652288587.325,-659127094.081,-659028643.62,-652834901.853,4.0,9612421787990.0,0.249981948155,0.250003306843,0.00782621714084,1.7334191682000001e-13,0.125226860254,91
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-676657246.526,4676576.16202,-675870504.884,-672079868.542,-682808107.794,-682018189.238,-672397742.113,4.0,21870364599200.0,0.124990974078,0.249996693157,0.00779765499392,1.7334191682000001e-13,0.249546279492,107
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-707865261.646,6429261.71948,-707180318.497,-702020265.149,-715080144.44,-714539030.647,-702150413.053,4.0,41335406257500.0,0.124990974078,0.250003306843,0.00779786128164,1.7334191682000001e-13,0.249546279492,118
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-761747204.337,4346419.65674,-762183837.692,-756226808.75,-766394333.213,-765980703.772,-756902418.204,4.0,18891363832500.0,0.249981948155,0.125001984106,0.00391311892231,1.7334191682000001e-13,0.125226860254,96
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-783255895.812,3498909.3257,-783002511.592,-780067290.919,-786951269.146,-786738068.562,-780128460.971,4.0,12242366469500.0,0.124990974078,0.250003306843,0.00779786128164,1.7334191682000001e-13,0.249546279492,112
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-809400433.346,3451892.4666,-808150860.761,-806809370.736,-814490641.124,-813539771.237,-807010497.073,4.0,11915561601000.0,0.124990974078,0.125001984106,0.0038989409552,1.7334191682000001e-13,0.249546279492,123
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-819825070.613,5859767.44601,-818684080.547,-813983383.379,-827948737.979,-826615923.36,-814631603.958,4.0,34336874521300.0,0.124990974078,0.124994709051,0.00195644559034,1.7334191682000001e-13,0.125226860254,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-847624203.601,2744207.17369,-847707862.756,-844193233.139,-850887855.752,-850452620.107,-844678664.277,4.0,7530673012120.0,0.124990974078,0.249996693157,0.00391300505149,1.7334191682000001e-13,0.125226860254,106
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-878325463.798,2593478.69122,-879482242.402,-874446587.706,-879890782.681,-879837865.901,-875193571.648,4.0,6726131721790.0,0.124990974078,0.250003306843,0.00779786128164,1.7334191682000001e-13,0.249546279492,117
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-949922040.987,5967369.57355,-949837208.034,-944206060.284,-955807687.597,-955578737.283,-944384110.826,4.0,35609499627400.0,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,111
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-980390938.199,4683091.38947,-979451236.91,-975785143.843,-986876135.131,-985854673.99,-976242784.211,4.0,21931344962200.0,0.124990974078,0.125001984106,0.0038989409552,1.7334191682000001e-13,0.249546279492,122
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1052510376.0,2455003.72175,-1052234159.31,-1050182684.49,-1055390500.89,-1055134815.13,-1050272640.24,4.0,6027043273790.0,0.124990974078,0.250003306843,0.00391310857042,1.7334191682000001e-13,0.125226860254,116
