npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1114376900.05,141830540.342,-1114376900.05,-1014087563.2,-1214666236.91,-1204637303.22,-1024116496.88,2.0,2.01159021736e+16,0.25,0.124987287705,90,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1225881390.67,7518508.47359,-1225881390.67,-1220565002.35,-1231197779.0,-1230666140.17,-1221096641.18,2.0,56527969667500.0,0.125,0.124987287705,1,0.124999523304,0.00195291892277,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1250407405.26,25445153.0365,-1250407405.26,-1232414965.0,-1268399845.52,-1266600601.5,-1234214209.03,2.0,647455813051000.0,0.25,0.25,32,0.249999659503,0.0156249787189,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1280884402.89,70335581.2643,-1280884402.89,-1231149636.42,-1330619169.36,-1325645692.72,-1236123113.07,2.0,4947093991780000.0,0.25,0.124987287705,85,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1294024183.59,267851.342855,-1294024183.59,-1293834784.09,-1294213583.09,-1294194643.14,-1293853724.04,2.0,71744341869.1,0.125,0.25,27,0.249999659503,0.00781248935947,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1317800955.56,30135141.592,-1317800955.56,-1296492192.59,-1339109718.54,-1336978842.24,-1298623068.89,2.0,908126758768000.0,0.25,0.250025424591,63,0.250000340497,0.0156266103201,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1388544761.29,87572849.6406,-1388544761.29,-1326621405.46,-1450468117.12,-1444275781.53,-1332813741.04,2.0,7669003994180000.0,0.25,0.25,94,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1427697048.82,48748825.5554,-1427697048.82,-1393226423.7,-1462167673.95,-1458720611.44,-1396673486.21,2.0,2376447993030000.0,0.25,0.250025424591,58,0.250000340497,0.0156266103201,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1463440197.47,20180073.4022,-1463440197.47,-1449170730.73,-1477709664.22,-1476282717.55,-1450597677.4,2.0,407235362518000.0,0.125,0.124987287705,125,0.125000136199,0.00195292849827,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1466128170.8,17556441.0191,-1466128170.8,-1453713892.3,-1478542449.3,-1477301021.45,-1454955320.15,2.0,308228621256000.0,0.125,0.124987287705,80,0.250000340497,0.00390585806049,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1536245940.72,10729849.7899,-1536245940.72,-1528658791.17,-1543833090.26,-1543074375.31,-1529417506.12,2.0,115129676514000.0,0.25,0.25,89,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1579713208.66,34503205.3979,-1579713208.66,-1555315758.15,-1604110659.17,-1601670914.12,-1557755503.2,2.0,1190471182730000.0,0.125,0.250025424591,53,0.250000340497,0.00781330516007,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1596865421.42,77396958.3276,-1596865421.42,-1542137507.34,-1651593335.49,-1646120544.09,-1547610298.75,2.0,5990289158360000.0,0.25,0.124987287705,120,0.125000136199,0.00390585699655,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1635687031.27,3773412.47818,-1635687031.27,-1633018825.72,-1638355236.82,-1638088416.27,-1633285646.27,2.0,14238641730500.0,0.25,0.25,84,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1849377891.62,49650025.0838,-1849377891.62,-1814270022.2,-1884485761.05,-1880974974.1,-1817780809.14,2.0,2465124990820000.0,0.125,0.25,79,0.250000340497,0.00781251064053,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1900878284.85,16993310.4632,-1900878284.85,-1888862199.78,-1912894369.91,-1911692761.4,-1890063808.29,2.0,288772600498000.0,0.125,0.124987287705,26,0.249999659503,0.00390584742105,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1955855308.38,79509614.2257,-1955855308.38,-1899633520.99,-2012077095.77,-2006454917.03,-1905255699.73,2.0,6321778754310000.0,0.25,0.124987287705,115,0.125000136199,0.00390585699655,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1979974931.71,21193037.4596,-1979974931.71,-1964989191.21,-1994960672.21,-1993462098.16,-1966487765.26,2.0,449144836762000.0,0.25,0.25,57,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1994026936.03,30084016.0307,-1994026936.03,-1972754324.29,-2015299547.77,-2013172286.59,-1974881585.46,2.0,905048020535000.0,0.25,0.124987287705,110,0.125000136199,0.00390585699655,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2055598636.51,8696611.45998,-2055598636.51,-2049449203.58,-2061748069.45,-2061133126.16,-2050064146.87,2.0,75631050885900.0,0.25,0.250025424591,88,0.250000340497,0.0156266103201,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2089365099.62,570118.803817,-2089365099.62,-2088961964.74,-2089768234.49,-2089727921.0,-2089002278.23,2.0,325035450466.0,0.125,0.25,52,0.250000340497,0.00781251064053,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2106168433.69,88057872.5188,-2106168433.69,-2043902114.9,-2168434752.49,-2162208120.61,-2050128746.77,2.0,7754188912550000.0,0.25,0.25,119,0.125000136199,0.00781250851242,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2141077560.28,13248266.9545,-2141077560.28,-2131709620.88,-2150445499.68,-2149508705.74,-2132646414.82,2.0,175516577297000.0,0.25,0.250025424591,83,0.250000340497,0.0156266103201,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2234703971.44,21597187.2519,-2234703971.44,-2219432453.88,-2249975489.0,-2248448337.24,-2220959605.64,2.0,466438497192000.0,0.25,0.25,114,0.125000136199,0.00781250851242,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2326448321.79,6402974.65042,-2326448321.79,-2321920734.99,-2330975908.58,-2330523149.91,-2322373493.67,2.0,40998084373900.0,0.125,0.124987287705,105,0.125000136199,0.00195292849827,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2358776831.54,12117000.9702,-2358776831.54,-2350208817.99,-2367344845.09,-2366488043.74,-2351065619.34,2.0,146821712511000.0,0.125,0.250025424591,78,0.250000340497,0.00781330516007,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2427349644.24,37770529.701,-2427349644.24,-2400641846.56,-2454057441.92,-2451386662.15,-2403312626.32,2.0,1426612913890000.0,0.25,0.25,109,0.125000136199,0.00781250851242,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2648343458.95,11297144.1271,-2648343458.95,-2640355171.73,-2656331746.17,-2655532917.45,-2641154000.45,2.0,127625465428000.0,0.125,0.124987287705,51,0.250000340497,0.00390585806049,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2709936586.63,6055796.83027,-2709936586.63,-2705654491.63,-2714218681.63,-2713790472.13,-2706082701.13,2.0,36672675249500.0,0.25,0.25,82,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2726221820.97,128183698.259,-2726221820.97,-2635582258.7,-2816861383.25,-2807797427.02,-2644646214.92,2.0,1.64310604993e+16,0.125,0.25,104,0.125000136199,0.00390625425621,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2768697670.57,18450503.581,-2768697670.57,-2755651194.37,-2781744146.76,-2780439499.15,-2756955841.99,2.0,340421082392000.0,0.125,0.25,77,0.250000340497,0.00781251064053,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2792459978.65,94014251.9237,-2792459978.65,-2725981863.58,-2858938093.71,-2852290282.2,-2732629675.09,2.0,8838679564760000.0,0.25,0.250025424591,113,0.125000136199,0.00781330303175,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2922263247.92,27744773.9059,-2922263247.92,-2902644730.15,-2941881765.69,-2939919913.91,-2904606581.93,2.0,769772479090000.0,0.25,0.250025424591,108,0.125000136199,0.00781330303175,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-3077086459.75,37188405.2276,-3077086459.75,-3050790286.23,-3103382633.27,-3100753015.92,-3053419903.59,2.0,1382977483370000.0,0.125,0.250025424591,103,0.125000136199,0.00390665151587,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-3368870331.44,21000740.8152,-3368870331.44,-3354020565.2,-3383720097.68,-3382235121.06,-3355505541.83,2.0,441031114789000.0,0.125,0.124987287705,76,0.250000340497,0.00390585806049,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-3402944323.8,44118838.4038,-3402944323.8,-3371747593.99,-3434141053.61,-3431021380.63,-3374867266.97,2.0,1946471902100000.0,0.25,0.25,107,0.125000136199,0.00781250851242,8.656992832709999e-15
