smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-442513812.645,1008807.87912,-442490260.673,-441365534.532,-443709194.701,-443584882.45,-441475715.601,4.0,1017693336980.0,0.124990974078,0.00391289118068,0.124994709051,1.7334191682000001e-13,0.250453720508,104
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-473585064.112,4535280.58608,-474175270.539,-468241102.144,-477748613.226,-477624996.607,-468718842.62,4.0,20568769994400.0,0.124990974078,0.00782601010299,0.249996693157,1.7334191682000001e-13,0.250453720508,109
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-473711363.05,1749766.98706,-474065089.32,-471374639.91,-475340633.649,-475245349.523,-471682159.799,4.0,3061684509000.0,0.249981948155,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249546279492,82
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-473736287.904,2658100.08535,-474246686.713,-470249033.646,-476202744.544,-476074714.651,-470683302.825,4.0,7065496063720.0,0.249981948155,0.00782623784463,0.125001984106,1.7334191682000001e-13,0.250453720508,99
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-481149764.259,3650117.25268,-481512456.244,-477158477.965,-484415666.582,-484364233.26,-477427526.478,4.0,13323355958300.0,0.249981948155,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249546279492,77
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-485918565.678,2031153.38014,-486052137.219,-483589869.997,-487980118.278,-487864177.507,-483785953.692,4.0,4125584053640.0,0.250018051845,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,66
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-503046759.25,2819077.97219,-503256525.57,-499809023.34,-505864962.52,-505718532.511,-500081313.141,4.0,7947200613280.0,0.249981948155,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,93
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-510338507.224,5770495.51389,-510673302.232,-503020432.194,-516986992.238,-516186720.651,-504021580.786,4.0,33298618475800.0,0.124990974078,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-554857002.729,2079065.11777,-555268633.692,-551966951.245,-556923792.285,-556682742.318,-552454979.791,4.0,4322511763940.0,0.249981948155,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,87
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-556960773.905,3823046.47324,-557364383.018,-552259111.724,-560855217.861,-560596735.008,-552759760.045,4.0,14615684336500.0,0.124990974078,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.250453720508,114
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-563881432.0,3126565.71294,-564041172.36,-559902654.088,-567540729.192,-567040460.497,-560498767.0,4.0,9775413157310.0,0.250018051845,0.00391368407525,0.125001984106,1.7334191682000001e-13,0.125226860254,71
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-584652771.142,2647424.43561,-584424361.839,-581661399.26,-588100961.63,-587580194.839,-582045120.47,4.0,7008856142240.0,0.249981948155,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249546279492,98
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-592016141.795,3288463.79161,-592355471.525,-588252327.176,-595101296.953,-594999150.623,-588558071.344,4.0,10813994108700.0,0.124990974078,0.00195655946116,0.125001984106,1.7334191682000001e-13,0.125226860254,125
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-603579726.696,3190392.98126,-604131633.776,-599559011.885,-606496627.349,-606384956.131,-600001827.351,4.0,10178607374900.0,0.124990974078,0.00389871403872,0.124994709051,1.7334191682000001e-13,0.249546279492,103
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-612411262.005,3426886.15978,-611257900.813,-609892864.942,-617236381.452,-616521662.05,-609915567.629,4.0,11743548752100.0,0.249981948155,0.00782601010299,0.249996693157,1.7334191682000001e-13,0.125226860254,81
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-627922452.603,4288694.35481,-627727878.373,-623978053.953,-632255999.713,-632060110.611,-624057198.517,4.0,18392899269000.0,0.124990974078,0.00779765499392,0.249996693157,1.7334191682000001e-13,0.249546279492,108
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-636912781.149,4122405.83317,-637630361.867,-631419752.987,-640970647.876,-640662668.571,-632158280.724,4.0,16994229853300.0,0.249981948155,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,92
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-638422813.462,3658060.3532,-637543172.262,-635290734.294,-643314175.031,-642682383.743,-635394740.862,4.0,13381405547600.0,0.124990974078,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.250453720508,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-641354863.044,2859954.39346,-641248100.316,-638442494.642,-644480756.901,-644261280.409,-638597913.498,4.0,8179339132690.0,0.249981948155,0.00391289118068,0.124994709051,1.7334191682000001e-13,0.125226860254,76
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-697212713.102,4649007.80942,-697158887.88,-691591256.832,-702941819.816,-702142344.444,-692358437.071,4.0,21613273612000.0,0.249981948155,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.125226860254,86
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-709545009.268,3576169.44823,-708551845.602,-706394697.443,-714681648.424,-713793044.709,-706687402.958,4.0,12788987922500.0,0.124990974078,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.249546279492,113
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-721300506.882,2489193.84243,-721267760.351,-718292233.815,-724374273.012,-723939826.137,-718707032.771,4.0,6196085985190.0,0.249981948155,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249546279492,97
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-725882629.577,5143930.62326,-725930524.314,-720196436.563,-731473033.115,-731063128.452,-720635078.068,4.0,26460022257000.0,0.124990974078,0.00391311892231,0.125001984106,1.7334191682000001e-13,0.250453720508,124
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-766814031.968,3015015.7865,-765782402.435,-764625281.132,-771066041.87,-770433378.757,-764638966.524,4.0,9090320192850.0,0.124990974078,0.00389871403872,0.124994709051,1.7334191682000001e-13,0.249546279492,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-776743612.457,2519727.13169,-776368984.677,-774187848.463,-780048632.013,-779618143.176,-774393560.631,4.0,6349024818190.0,0.124990974078,0.00779765499392,0.249996693157,1.7334191682000001e-13,0.249546279492,107
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-782385553.876,4915306.48935,-783952167.989,-775279278.861,-786358600.666,-786118005.914,-776459842.08,4.0,24160237884200.0,0.249981948155,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.125226860254,91
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-788554459.019,3144666.65343,-788375970.763,-785148088.831,-792317805.721,-791934293.546,-785424508.051,4.0,9888928361180.0,0.124990974078,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.249546279492,118
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-858443339.885,3768174.4395,-858585169.741,-853930844.512,-862672175.546,-862279362.245,-854408755.726,4.0,14199138606500.0,0.124990974078,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.249546279492,112
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-864783499.763,1447533.36847,-865309130.798,-862663608.383,-865852129.073,-865803811.09,-863027304.987,4.0,2095352852830.0,0.249981948155,0.00391311892231,0.125001984106,1.7334191682000001e-13,0.125226860254,96
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-876797160.918,2303822.87132,-877627435.234,-873466668.087,-878467105.119,-878427531.225,-874004406.57,4.0,5307599822430.0,0.124990974078,0.0038989409552,0.125001984106,1.7334191682000001e-13,0.249546279492,123
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-926222885.945,7122191.49707,-927531542.526,-916842769.672,-932985689.057,-932578763.889,-918034888.788,4.0,50725611720900.0,0.124990974078,0.00195644559034,0.124994709051,1.7334191682000001e-13,0.125226860254,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-930991599.993,3839939.07436,-932638808.245,-925270069.106,-933418714.378,-933346978.552,-926330129.883,4.0,14745132094800.0,0.124990974078,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.125226860254,106
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-948758741.974,4662560.61354,-948668842.125,-943890965.122,-953806318.526,-953460345.052,-944182998.687,4.0,21739471474900.0,0.124990974078,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.249546279492,117
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1015773587.09,5465861.00501,-1015420175.43,-1010737569.16,-1021516428.34,-1021192878.16,-1010849072.35,4.0,29875636526100.0,0.124990974078,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,111
