smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1702225315.06,8875404.90541,-1701942505.86,-1692156717.36,-1712859531.15,-1711716013.5,-1693130549.49,4.0,78772812234900.0,91,0.249981948155,0.125226860254,4.95258127397e-14,0.250000944804,0.00782614319848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1748747400.52,15178311.5933,-1746056979.97,-1733348836.13,-1769526806.01,-1766301935.36,-1734959454.45,4.0,230381142824000.0,98,0.249981948155,0.249546279492,4.95258127397e-14,0.125000566882,0.00779779350107
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1761415739.41,18288310.8098,-1756359179.02,-1745370141.82,-1787574457.79,-1783236015.93,-1746674647.44,4.0,334462312274000.0,119,0.124990974078,0.250453720508,4.95258127397e-14,0.250000944804,0.00782614319848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1784408206.58,35265801.4966,-1778882951.43,-1747508441.91,-1832358481.55,-1824658023.64,-1751893746.74,4.0,1243676755200000.0,112,0.124990974078,0.249546279492,4.95258127397e-14,0.250000944804,0.00779778760718
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1873798633.1,25065301.8913,-1872968616.87,-1846072999.29,-1903184299.35,-1900333025.0,-1848426263.91,4.0,628269358902000.0,97,0.249981948155,0.249546279492,4.95258127397e-14,0.125000566882,0.00779779350107
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1904167654.87,16152748.738,-1904192571.09,-1886506627.48,-1921778849.79,-1920485340.5,-1887815086.51,4.0,260911291792000.0,118,0.124990974078,0.249546279492,4.95258127397e-14,0.250000944804,0.00779778760718
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1911424508.27,19572506.5251,-1908436463.0,-1892008127.96,-1936816979.13,-1933670402.3,-1893361877.63,4.0,383083011674000.0,111,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1925968247.31,28364416.1092,-1918199443.98,-1900783319.61,-1966690781.67,-1959475783.12,-1903337036.17,4.0,804540101214000.0,125,0.124990974078,0.125226860254,4.95258127397e-14,0.125000566882,0.00195653727845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2014435612.85,37370766.5664,-2002730173.91,-1985056180.22,-2067225923.36,-2059280534.74,-1985978305.48,4.0,1396574193760000.0,96,0.249981948155,0.125226860254,4.95258127397e-14,0.125000566882,0.0039130745569
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2042246035.96,9716519.77856,-2043676770.8,-2030506446.56,-2051124155.69,-2050845568.73,-2031643474.42,4.0,94410756607100.0,117,0.124990974078,0.249546279492,4.95258127397e-14,0.250000944804,0.00779778760718
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2061569186.29,39355524.5195,-2048443472.31,-2031060144.91,-2118329655.62,-2109143385.56,-2032370986.59,4.0,1548857310200000.0,124,0.124990974078,0.250453720508,4.95258127397e-14,0.125000566882,0.0039130745569
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2206736407.18,26072712.0634,-2202747427.15,-2182579681.98,-2238871092.42,-2235550799.9,-2183506586.48,4.0,679786314339000.0,116,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
