npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-37067550.9984,27450082.084,-24826513.995,-20496270.6758,-78120905.3275,-70224523.8617,-21048029.9396,4.0,753507006420000.0,3.9741070500699994e-14,99,0.25,0.250420168067,0.125000353365,0.00782565237452
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-46999260.4744,22984049.2176,-40266927.1912,-27278429.5926,-80184757.9224,-74408219.1933,-29015568.3519,4.0,528266518436000.0,3.9741070500699994e-14,119,0.125,0.250420168067,0.250000883412,0.00782565790513
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-53539782.0312,3206911.06677,-52878440.7627,-50429531.2976,-57972715.3019,-57294319.4412,-50711122.3973,4.0,10284278590200.0,3.9741070500699994e-14,112,0.125,0.249579831933,0.250000883412,0.00779939730813
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-96349605.5544,20832117.0746,-89192393.0602,-80672894.1963,-126340741.901,-121549731.752,-81169576.8488,4.0,433977101812000.0,3.9741070500699994e-14,71,0.25,0.125210084034,0.125000353365,0.00391282618726
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-132489252.16,5831306.93499,-133806884.638,-124325407.47,-138017831.893,-137508352.674,-125625466.176,4.0,34004140570100.0,3.9741070500699994e-14,91,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-150346971.538,13379925.8983,-144353306.338,-142319509.054,-170361764.421,-166506376.829,-142578697.526,4.0,179022417044000.0,3.9741070500699994e-14,98,0.25,0.249579831933,0.125000353365,0.00779939179609
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-190067995.473,10718062.5146,-187660864.67,-180056959.595,-204893292.957,-202691321.894,-180814652.177,4.0,114876864067000.0,3.9741070500699994e-14,118,0.125,0.249579831933,0.250000883412,0.00779939730813
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-216646582.768,11869749.4911,-216143147.857,-203944105.009,-230355930.347,-229129414.348,-204868560.062,4.0,140890952982000.0,3.9741070500699994e-14,111,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-225536223.596,31594686.2734,-232341204.724,-181821080.976,-255641403.958,-253122651.046,-188422822.565,4.0,998224200717000.0,3.9741070500699994e-14,125,0.125,0.125210084034,0.125000353365,0.00195641309363
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-293671149.649,31899589.2767,-278166579.949,-276859993.208,-341491445.491,-332162830.129,-276885866.75,4.0,1017583796020000.0,3.9741070500699994e-14,97,0.25,0.249579831933,0.125000353365,0.00779939179609
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-350592758.876,15241584.0436,-349291718.638,-335654858.741,-368132739.489,-366659668.097,-336347305.99,4.0,232305884158000.0,3.9741070500699994e-14,124,0.125,0.250420168067,0.125000353365,0.00391282618726
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-366914893.085,17954516.4426,-367527626.76,-348640451.13,-383963867.69,-383459133.911,-349512825.114,4.0,322364660686000.0,3.9741070500699994e-14,117,0.125,0.249579831933,0.250000883412,0.00779939730813
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-440298595.548,14094228.8267,-442354716.347,-424313193.496,-452171756.001,-452164990.871,-425553631.106,4.0,198647286220000.0,3.9741070500699994e-14,96,0.25,0.125210084034,0.125000353365,0.00391282618726
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-508917719.352,33846766.8745,-503314581.326,-476763516.627,-552278198.128,-547208510.08,-478471321.859,4.0,1145603627860000.0,3.9741070500699994e-14,123,0.125,0.249579831933,0.125000353365,0.00389969589804
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-527754818.611,41863954.233,-527984782.298,-486303114.24,-568746595.61,-567205597.856,-487982090.206,4.0,1752590664020000.0,3.9741070500699994e-14,116,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-668232730.167,17083262.1581,-667315108.439,-649176716.333,-689123987.459,-686766629.523,-650983501.231,4.0,291837845964000.0,3.9741070500699994e-14,122,0.125,0.249579831933,0.125000353365,0.00389969589804
