smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-817225960.819,2246307.3047,-817225960.819,-815637581.692,-818814339.947,-818655502.034,-815796419.604,2.0,5045896507170.0,109,0.25,3.66466187075e-13,0.250453720508,0.0078269195376,0.125003845369
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-822174042.535,105622.739342,-822174042.535,-822099355.98,-822248729.091,-822241260.435,-822106824.636,2.0,11156163066.1,100,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-849135600.873,1263523.25371,-849135600.873,-848242155.013,-850029046.734,-849939702.148,-848331499.599,2.0,1596491012670.0,29,0.25,3.66466187075e-13,0.125226860254,0.00782648177084,0.249993707579
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-858886927.909,1753344.10212,-858886927.909,-857647126.404,-860126729.413,-860002749.262,-857771106.555,2.0,3074215540430.0,125,0.125018050542,3.66466187075e-13,0.125226860254,0.00195701244467,0.125003845369
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-871370476.41,66856.5906717,-871370476.41,-871323201.662,-871417751.159,-871413023.684,-871327929.136,2.0,4469803716.24,4,0.25,3.66466187075e-13,0.125226860254,0.00391302200204,0.12498986221
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-874456152.265,1229466.93651,-874456152.265,-873586787.857,-875325516.673,-875238580.232,-873673724.298,2.0,1511588947980.0,20,0.125018050542,3.66466187075e-13,0.249546279492,0.00389940739611,0.12498986221
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-886045803.792,226978.332052,-886045803.792,-885885305.874,-886206301.71,-886190251.918,-885901355.666,2.0,51519163221.2,54,0.25,3.66466187075e-13,0.125226860254,0.00782687576092,0.250006292421
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-888312984.649,1003246.82235,-888312984.649,-887603582.018,-889022387.281,-888951447.017,-887674522.281,2.0,1006504186560.0,45,0.125018050542,3.66466187075e-13,0.249546279492,0.00779925103585,0.249993707579
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-927494047.853,842242.75333,-927494047.853,-926898492.291,-928089603.415,-928030047.859,-926958047.847,2.0,709372855537.0,79,0.25,3.66466187075e-13,0.125226860254,0.00782687576092,0.250006292421
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-927907248.231,1487867.57624,-927907248.231,-926855166.978,-928959329.484,-928854121.359,-926960375.104,2.0,2213749924430.0,70,0.125018050542,3.66466187075e-13,0.249546279492,0.00779964365513,0.250006292421
