smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1074154502.82,22330869.6056,-1069464434.24,-1054294305.62,-1103394837.17,-1099814939.88,-1055060161.77,4.0,498667737341000.0,4.95258127397e-14,0.249981948155,0.125226860254,91,0.250000944804,0.00782614319848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1093497887.57,16295758.9822,-1094910294.02,-1072648637.1,-1111522325.16,-1109640689.65,-1075377716.48,4.0,265551760807000.0,4.95258127397e-14,0.124990974078,0.249546279492,112,0.250000944804,0.00779778760718
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1173155235.8,12948104.3185,-1173193334.09,-1158611619.5,-1187622655.51,-1186419512.17,-1159837621.82,4.0,167653405444000.0,4.95258127397e-14,0.124990974078,0.125226860254,125,0.125000566882,0.00195653727845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1192803083.16,7560999.2005,-1193282368.53,-1183792188.77,-1200855406.8,-1200249893.18,-1184685273.61,4.0,57168708910000.0,4.95258127397e-14,0.249981948155,0.249546279492,97,0.125000566882,0.00779779350107
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1233857851.19,30615278.2574,-1223209228.42,-1210727561.02,-1278285386.89,-1270950346.43,-1211673427.82,4.0,937295262777000.0,4.95258127397e-14,0.124990974078,0.249546279492,118,0.250000944804,0.00779778760718
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1236496132.16,5484146.24803,-1234393895.84,-1232725534.48,-1244471202.51,-1243160001.99,-1232775393.19,4.0,30075860069800.0,4.95258127397e-14,0.124990974078,0.125226860254,111,0.250000944804,0.00391307159924
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1338605868.81,12010670.4305,-1334865247.66,-1328955483.94,-1355737495.96,-1353058673.48,-1329389933.73,4.0,144256204191000.0,4.95258127397e-14,0.124990974078,0.250453720508,124,0.125000566882,0.0039130745569
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1353360155.45,11844279.5071,-1350511323.83,-1342408910.57,-1370009063.55,-1367375133.45,-1343333541.71,4.0,140286957042000.0,4.95258127397e-14,0.249981948155,0.125226860254,96,0.125000566882,0.0039130745569
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1384676593.69,35936153.661,-1367282583.87,-1365578915.68,-1438562291.35,-1427960867.83,-1365743933.3,4.0,1291407139950000.0,4.95258127397e-14,0.124990974078,0.249546279492,117,0.250000944804,0.00779778760718
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1499810709.29,12986096.9054,-1497524612.7,-1487636023.79,-1516557587.97,-1514569420.75,-1488252533.07,4.0,168638712837000.0,4.95258127397e-14,0.124990974078,0.249546279492,123,0.125000566882,0.00389889675053
