npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,340331896.341,526684.281679,340331896.341,340704318.368,339959474.314,339996716.517,340667076.166,2.0,277396332568.0,0.0156660943683,1.0563053673200001e-12,34,0.24999086758,0.25,0.250666666667
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,338980500.639,37078.6218818,338980500.639,339006719.184,338954282.094,338956903.949,339004097.33,2.0,1374824200.65,0.00783247488584,1.0563053673200001e-12,9,0.12498630137,0.25,0.250666666667
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,318716814.951,331982.503765,318716814.951,318951562.03,318482067.871,318505542.579,318928087.323,2.0,110212382806.0,0.015667238965,1.0563053673200001e-12,59,0.25000913242,0.25,0.250666666667
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,296444324.329,206162.6447,296444324.329,296590103.333,296298545.325,296313123.225,296575525.433,2.0,42503036069.6,0.015667238965,1.0563053673200001e-12,84,0.25000913242,0.25,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,280794749.955,382963.895953,280794749.955,281065546.323,280523953.587,280551033.224,281038466.686,2.0,146661345604.0,0.00195769405898,1.0563053673200001e-12,25,0.12498630137,0.124972890913,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,276021394.817,430728.524217,276021394.817,276325965.878,275716823.757,275747280.863,276295508.772,2.0,185527061574.0,0.0078336194825,1.0563053673200001e-12,109,0.12500456621,0.25,0.250666666667
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,260276132.761,239441.895487,260276132.761,260445443.749,260106821.773,260123752.872,260428512.65,2.0,57332421314.2,0.00783304718417,1.0563053673200001e-12,29,0.24999086758,0.25,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,259288598.062,863709.668828,259288598.062,259899333.025,258677863.098,258738936.594,259838259.529,2.0,745994392027.0,0.00391567420506,1.0563053673200001e-12,50,0.24999086758,0.124972890913,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,254217601.2,85832.4155039,254217601.2,254278293.883,254156908.517,254162977.785,254272224.614,2.0,7367203551.24,0.00391623744292,1.0563053673200001e-12,4,0.12498630137,0.25,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,238910275.835,561468.784625,238910275.835,239307294.22,238513257.45,238552959.288,239267592.381,2.0,315247196109.0,0.00391596029216,1.0563053673200001e-12,75,0.25000913242,0.124972890913,0.125333333333
