npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1873120665.96,72574057.2692,1873120665.96,1924438274.0,1821803057.93,1826934818.73,1919306513.19,2.0,5266993788510000.0,1.21200144652e-13,0.25,0.0039056293083,0.124992849434,0.124987287705,15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1869232841.33,23438870.1222,1869232841.33,1885806625.34,1852659057.33,1854316435.73,1884149246.94,2.0,549380632603000.0,1.21200144652e-13,0.25,0.00781205308962,0.124992849434,0.25,9
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1853253087.96,4766037.44243,1853253087.96,1856623185.35,1849882990.56,1850220000.3,1856286175.61,2.0,22715112902600.0,1.21200144652e-13,0.125,0.00781344350374,0.250004767044,0.250025424591,78
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1851417113.44,42829435.3771,1851417113.44,1881702097.63,1821132129.25,1824160627.67,1878673599.21,2.0,1834360534720000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,84
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1847426743.47,47330573.5355,1847426743.47,1880894512.98,1813958973.97,1817305750.92,1877547736.03,2.0,2240183191200000.0,1.21200144652e-13,0.25,0.00781185443652,0.250004767044,0.124987287705,65
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1842545809.88,36604849.074,1842545809.88,1868429346.89,1816662272.88,1819250626.58,1865840993.19,2.0,1339914975730000.0,1.21200144652e-13,0.125,0.00390642378131,0.124992849434,0.250025424591,3
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1835861986.44,91257074.5326,1835861986.44,1900390482.67,1771333490.2,1777786339.83,1893937633.04,2.0,8327853652250000.0,1.21200144652e-13,0.25,0.00390592721826,0.125002383522,0.124987287705,115
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1814826487.32,39069753.1639,1814826487.32,1842452974.72,1787199999.92,1789962648.66,1839690325.98,2.0,1526445612290000.0,1.21200144652e-13,0.125,0.00781235102987,0.249995232956,0.25,29
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1798056240.21,38330020.5107,1798056240.21,1825159657.63,1770952822.78,1773663164.52,1822449315.89,2.0,1469190472350000.0,1.21200144652e-13,0.125,0.00390672175187,0.125002383522,0.250025424591,103
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1739830046.71,51716996.7121,1739830046.71,1776399485.79,1703260607.63,1706917551.54,1772742541.88,2.0,2674647748920000.0,1.21200144652e-13,0.125,0.00781264897013,0.250004767044,0.25,54
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1727030797.73,41564849.6365,1727030797.73,1756421584.77,1697640010.69,1700579089.4,1753482506.06,2.0,1727636725300000.0,1.21200144652e-13,0.25,0.00781185443652,0.250004767044,0.124987287705,90
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1723650432.73,37068644.391,1723650432.73,1749861922.55,1697438942.91,1700060091.9,1747240773.57,2.0,1374084396980000.0,1.21200144652e-13,0.25,0.00781185443652,0.250004767044,0.124987287705,60
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1707520370.27,69049161.0981,1707520370.27,1756345500.32,1658695240.22,1663577753.23,1751462987.31,2.0,4767786648350000.0,1.21200144652e-13,0.25,0.00781155652656,0.249995232956,0.124987287705,35
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1704633282.64,2740283.84131,1704633282.64,1706570955.93,1702695609.35,1702889376.68,1706377188.6,2.0,7509155530930.0,1.21200144652e-13,0.25,0.00781264897013,0.125002383522,0.25,109
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1646224484.25,58671258.2315,1646224484.25,1687711328.81,1604737639.7,1608886324.15,1683562644.35,2.0,3442316542460000.0,1.21200144652e-13,0.125,0.00781264897013,0.250004767044,0.25,79
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1610169274.01,68058970.9855,1610169274.01,1658294233.91,1562044314.1,1566856810.09,1653481737.92,2.0,4632023531600000.0,1.21200144652e-13,0.25,0.0039056293083,0.124992849434,0.124987287705,10
