smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-324611554.085,4670657.4877,-324682457.744,-318821817.174,-330259483.676,-329435879.957,-319687963.09,4.0,21815041367400.0,0.00391289118068,0.124990974078,1.7334191682000001e-13,104,0.124994709051,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-338505058.647,2543938.51878,-337226229.395,-336854261.494,-341434685.053,-341013839.487,-336891458.284,3.0,6471623187330.0,0.00391289118068,0.249981948155,1.7334191682000001e-13,76,0.124994709051,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-343453467.897,2864018.61633,-343005522.537,-340630428.054,-347172398.458,-346711906.177,-340822153.12,4.0,8202602634710.0,0.00782601010299,0.249981948155,1.7334191682000001e-13,81,0.249996693157,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-363200893.409,2133578.64602,-362985793.345,-361267835.228,-365564151.718,-365395858.78,-361307068.128,4.0,4552157838740.0,0.0155957225633,0.249981948155,1.7334191682000001e-13,92,0.250003306843,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-373588812.122,3932784.39501,-374207970.932,-368704030.21,-377235276.414,-377089974.234,-369220827.676,4.0,15466793097600.0,0.00782601010299,0.124990974078,1.7334191682000001e-13,109,0.249996693157,0.250453720508
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-399390397.396,3932614.60567,-399085989.56,-395598927.345,-403790683.118,-403459578.146,-395747387.616,4.0,15465457636700.0,0.00391310857042,0.124990974078,1.7334191682000001e-13,120,0.250003306843,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-427257575.258,3517998.54487,-428013324.167,-422597963.34,-430405689.36,-430268409.076,-423188692.969,4.0,12376313761700.0,0.00782621714084,0.249981948155,1.7334191682000001e-13,86,0.250003306843,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-448915577.534,1204238.29663,-448589954.992,-447840064.754,-450642335.4,-450335479.409,-447951547.219,4.0,1450189875060.0,0.00779788191041,0.249981948155,1.7334191682000001e-13,97,0.125001984106,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-461366784.033,2075166.24414,-461559633.178,-458758924.615,-463588945.16,-463396075.779,-459067503.482,4.0,4306314940820.0,0.00782621714084,0.124990974078,1.7334191682000001e-13,114,0.250003306843,0.250453720508
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-483309461.564,4154919.57949,-481908793.321,-480097991.151,-489322268.462,-488335698.589,-480244160.078,4.0,17263356712000.0,0.00195655946116,0.124990974078,1.7334191682000001e-13,125,0.125001984106,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-489521739.128,5180342.29526,-487980360.514,-485214978.363,-496911257.12,-495742746.873,-485458661.442,4.0,26835946296100.0,0.00389871403872,0.124990974078,1.7334191682000001e-13,103,0.124994709051,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-513058059.418,2105321.79326,-512075714.14,-511868515.6,-516212293.793,-515597544.304,-511893857.922,4.0,4432379853170.0,0.00782621714084,0.249981948155,1.7334191682000001e-13,91,0.250003306843,0.125226860254
