smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-147866483.395,42412405.0336,-148672944.807,-47036418.259,-199860723.788,-197089624.62,-85297381.0805,10.0,1798812100730000.0,0.12498974865,103,0.249546279492,0.0038985593187,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161756014.87,41364178.3418,-158776188.549,-75150011.3867,-233792136.91,-216750544.106,-106509553.219,10.0,1710995249890000.0,0.250007275152,113,0.249546279492,0.00779798505727,0.124990974078,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-179754247.479,15561447.7559,-176024569.601,-162800689.069,-216435926.099,-204496440.732,-164514489.47,10.0,242158656261000.0,0.250007275152,91,0.125226860254,0.00782634136657,0.249981948155,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-208383690.385,19927925.2118,-210180220.548,-172533578.198,-239836252.606,-236064631.42,-181860525.284,10.0,397122203245000.0,0.12498974865,76,0.125226860254,0.00391273589804,0.249981948155,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-228529056.244,35165138.3818,-224233041.867,-162719391.986,-294812484.714,-280221419.781,-182191229.501,10.0,1236586957410000.0,0.125002976198,96,0.125226860254,0.00391314997922,0.249981948155,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-236830107.054,35576811.2115,-237390913.003,-190157072.202,-287941579.041,-280981341.339,-192283108.893,10.0,1265709495980000.0,0.250007275152,118,0.249546279492,0.00779798505727,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-260101565.231,16140869.5366,-256054272.763,-241353575.763,-281370880.474,-280673215.932,-241456250.127,10.0,260527669398000.0,0.249992724848,107,0.249546279492,0.00779753121829,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-262304233.206,22078704.0854,-263672251.514,-218974911.008,-291706973.613,-289377887.741,-226434822.044,10.0,487469174090000.0,0.125002976198,123,0.249546279492,0.00389897189959,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-319237665.908,35605834.419,-308570274.288,-280648684.506,-374188146.008,-369459968.184,-280914704.985,10.0,1267775444680000.0,0.250007275152,112,0.249546279492,0.00779798505727,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-324849116.153,41170240.5564,-334353114.779,-224665728.053,-375163921.147,-363624190.784,-257577426.126,10.0,1694988707470000.0,0.12498974865,102,0.249546279492,0.0038985593187,0.124990974078,3.46688419418e-13
