smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1229619417.78,538080.237333,-1229619417.78,-1229238937.59,-1229999897.96,-1229961849.94,-1229276985.61,2.0,289530341809.0,5.2351036610599995e-14,0.25,102,0.125226860254,0.00391335189026,0.125000399509
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1256300493.41,3388591.60715,-1256300493.41,-1253904397.3,-1258696589.51,-1258456979.9,-1254144006.91,2.0,11482553080000.0,5.2351036610599995e-14,0.25,94,0.249546279492,0.0155967047782,0.250000998773
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1296226437.7,8088713.86327,-1296226437.7,-1290506853.27,-1301946022.12,-1301374063.68,-1291078811.72,2.0,65427291961800.0,5.2351036610599995e-14,0.249963898917,78,0.125226860254,0.00782557982334,0.250000998773
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1311447439.4,40810675.6015,-1311447439.4,-1282589933.93,-1340304944.86,-1337419194.31,-1285475684.48,2.0,1665511243050000.0,5.2351036610599995e-14,0.125018050542,70,0.249546279492,0.00779947850499,0.250000998773
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1317129762.22,11952301.7573,-1317129762.22,-1308678208.59,-1325581315.84,-1324736160.48,-1309523363.96,2.0,142857517298000.0,5.2351036610599995e-14,0.125018050542,35,0.250453720508,0.00782777769939,0.249999001227
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1362180005.05,2510119.73963,-1362180005.05,-1360405082.36,-1363954927.74,-1363777435.47,-1360582574.63,2.0,6300701107280.0,5.2351036610599995e-14,0.249963898917,113,0.249546279492,0.00779722004315,0.125000399509
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1386399055.88,7834802.22166,-1386399055.88,-1380859014.1,-1391939097.66,-1391385093.48,-1381413018.28,2.0,61384125852500.0,5.2351036610599995e-14,0.25,54,0.125226860254,0.00782671003417,0.250000998773
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1408299290.33,18678146.7239,-1408299290.33,-1395091846.12,-1421506734.54,-1420185990.12,-1396412590.54,2.0,348873165039000.0,5.2351036610599995e-14,0.25,89,0.249546279492,0.0155967047782,0.250000998773
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1463060114.19,7975335.25763,-1463060114.19,-1457420700.55,-1468699527.84,-1468135586.47,-1457984641.92,2.0,63605972471500.0,5.2351036610599995e-14,0.125018050542,30,0.125226860254,0.0039138888497,0.249999001227
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1484451367.37,12557712.5774,-1484451367.37,-1475571723.65,-1493331011.09,-1492443046.72,-1476459688.02,2.0,157696145175000.0,5.2351036610599995e-14,0.125018050542,100,0.125226860254,0.0039139201225,0.250000998773
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1485050443.84,14923022.1755,-1485050443.84,-1474498273.66,-1495602614.01,-1494547397.0,-1475553490.68,2.0,222696590852000.0,5.2351036610599995e-14,0.125018050542,65,0.249546279492,0.00779947850499,0.250000998773
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1524531068.16,7567348.96863,-1524531068.16,-1519180144.39,-1529881991.94,-1529346899.56,-1519715236.77,2.0,57264770413000.0,5.2351036610599995e-14,0.249963898917,108,0.250453720508,0.00782557357058,0.125000399509
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1556751125.86,5155706.51152,-1556751125.86,-1553105490.83,-1560396760.9,-1560032197.4,-1553470054.33,2.0,26581309633000.0,5.2351036610599995e-14,0.25,84,0.250453720508,0.0156534200683,0.250000998773
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1601607966.04,17188674.5219,-1601607966.04,-1589453737.72,-1613762194.35,-1612546771.52,-1590669160.55,2.0,295450531821000.0,5.2351036610599995e-14,0.25,119,0.249546279492,0.00779834615812,0.125000399509
