smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2401491507.71,8417115.22445,-2401491507.71,-2395539708.45,-2407443306.96,-2406848127.03,-2396134888.38,2.0,70847828701600.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,111,0.142822580645
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2409337950.46,4524897.34084,-2409337950.46,-2406138364.87,-2412537536.05,-2412217577.5,-2406458323.43,2.0,20474695945100.0,1.28667840979e-13,0.142857142857,0.14285279261,0.0014581517771,69,0.0714516129032
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2424293727.86,2913142.76476,-2424293727.86,-2422233824.86,-2426353630.87,-2426147640.56,-2422439815.16,2.0,8486400767850.0,0.0,0.0714285714286,0.14285279261,0.000729075888551,128,0.0714516129032
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2451689412.81,1609885.72434,-2451689412.81,-2450551051.7,-2452827773.92,-2452713937.81,-2450664887.81,2.0,2591732045420.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.000729040999226,5,0.0714516129032
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2459110012.86,8495860.62633,-2459110012.86,-2453102532.19,-2465117493.52,-2464516745.45,-2453703280.26,2.0,72179647782000.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,86,0.142822580645
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2474699348.2,7461613.43955,-2474699348.2,-2469423190.74,-2479975505.66,-2479447889.92,-2469950806.49,2.0,55675675121200.0,0.0,0.0714285714286,0.0714229782537,0.00072862957654,56,0.142822580645
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2481611548.7,2109479.95199,-2481611548.7,-2480119921.12,-2483103176.28,-2482954013.52,-2480269083.88,2.0,4449905667840.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,22,0.142822580645
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2498628397.7,1334810.88905,-2498628397.7,-2497684543.87,-2499572251.53,-2499477866.15,-2497778929.25,2.0,1781720109540.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145808199845,39,0.142903225806
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2502682442.57,3333493.52419,-2502682442.57,-2500325306.7,-2505039578.45,-2504803864.86,-2500561020.28,2.0,11112179075800.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291630355421,103,0.142903225806
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2518385346.59,2104511.39704,-2518385346.59,-2516897232.31,-2519873460.87,-2519724649.45,-2517046043.74,2.0,4428968220270.0,0.0,0.0714285714286,0.14285279261,0.00145732889235,120,0.142822580645
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2556553128.36,6274937.31849,-2556553128.36,-2552116077.63,-2560990179.09,-2560546474.02,-2552559782.7,2.0,39374838351000.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,78,0.142822580645
