npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,829127562.811,7922273.92745,829127562.811,834729456.428,823525669.195,824085858.556,834169267.066,2.0,62762424181600.0,0.249974138823,0.125,53,0.00781170266108,8.95747037061e-15,0.250000346367
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,749188034.695,26648766.1898,749188034.695,768031557.978,730344511.412,732228863.74,766147205.649,2.0,710156739438000.0,0.125012930589,0.25,70,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,685559521.0,33057351.3822,685559521.0,708934598.331,662184443.67,664521951.403,706597090.597,2.0,1092788480410000.0,0.25,0.25,59,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,661206877.232,130678459.833,661206877.232,753610502.336,568803252.129,578043614.639,744370139.825,2.0,1.70768598644e+16,0.125012930589,0.25,65,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,569120445.657,4467697.90984,569120445.657,572279585.145,565961306.169,566277220.118,571963671.197,2.0,19960324613600.0,0.125012930589,0.125,76,0.00390665949345,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,515195045.01,77237664.0513,515195045.01,569810321.024,460579768.997,466041296.598,564348793.423,2.0,5965656748100000.0,0.25,0.125,54,0.00781251082398,8.95747037061e-15,0.250000346367
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,491240743.863,15258033.0787,491240743.863,502029802.521,480451685.206,481530591.071,500950896.655,2.0,232807573430000.0,0.25,0.25,82,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,422571581.394,59642862.1626,422571581.394,464745453.679,380397709.11,384615096.338,460528066.45,2.0,3557271006950000.0,0.125012930589,0.25,60,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,421082032.511,42451445.545,421082032.511,451099737.527,391064327.495,394066097.997,448097967.026,2.0,1802125228860000.0,0.249974138823,0.25,88,0.0156234053222,8.95747037061e-15,0.250000346367
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,364776592.714,34641311.7052,364776592.714,389271699.13,340281486.298,342730996.94,386822188.488,2.0,1200020476660000.0,0.125012930589,0.125,100,0.00390665949345,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,332756016.617,7052918.97893,332756016.617,337743183.454,327768849.78,328267566.464,337244466.77,2.0,49743666123400.0,0.25,0.125,77,0.00781251082398,8.95747037061e-15,0.250000346367
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,256469876.269,36279160.8596,256469876.269,282123116.929,230816635.61,233381959.676,279557792.863,2.0,1316177512670000.0,0.249974138823,0.25,83,0.0156234053222,8.95747037061e-15,0.250000346367
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,242046532.236,15709480.8199,242046532.236,253154812.652,230938251.819,232049079.861,252043984.611,2.0,246787787631000.0,0.25,0.25,94,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,156561217.08,76915071.332,156561217.08,210948385.594,102174048.566,107612765.417,205509668.743,2.0,5915928198000000.0,0.125012930589,0.125,55,0.00390665949345,8.95747037061e-15,0.250000346367
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,143127220.581,29955486.5095,143127220.581,164308948.226,121945492.937,124063665.701,162190775.462,2.0,897331172024000.0,0.25,0.25,89,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,40251338.4662,81509039.274,40251338.4662,97886932.8649,-17384255.9324,-11620696.4925,92123373.425,2.0,6643723483370000.0,0.125012930589,0.25,95,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,30383042.842,48238796.4217,30383042.842,64493022.9081,-3726937.22398,-315939.217376,61082024.9015,2.0,2326981480210000.0,0.249974138823,0.125,78,0.00781170266108,8.95747037061e-15,0.250000346367
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-24524109.3236,30832051.5738,-24524109.3236,-2722556.57785,-46325662.0693,-44145506.7948,-4902711.85243,2.0,950615404250000.0,0.25,0.25,84,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-145138383.247,6629853.54269,-145138383.247,-140450368.849,-149826397.646,-149357596.206,-140919170.289,2.0,43954957997600.0,0.125012930589,0.125,101,0.00195333028798,8.95747037061e-15,0.12500020782
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-169821004.77,51610747.9004,-169821004.77,-133326694.947,-206315314.592,-202665883.61,-136976125.93,2.0,2663669298840000.0,0.125012930589,0.25,90,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-294930329.056,82729460.3343,-294930329.056,-236431766.65,-353428891.463,-347579035.222,-242281622.891,2.0,6844163607200000.0,0.25,0.25,107,0.00781251298878,8.95747037061e-15,0.12500020782
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-306857476.501,73101328.044,-306857476.501,-255167031.727,-358547921.274,-353378876.797,-260336076.205,2.0,5343804161790000.0,0.25,0.125,79,0.00781251082398,8.95747037061e-15,0.250000346367
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-312543148.284,41523441.4948,-312543148.284,-283181641.225,-341904655.343,-338968504.637,-286117791.931,2.0,1724196193570000.0,0.249974138823,0.25,113,0.00781170482565,8.95747037061e-15,0.12500020782
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-350788488.395,13622910.9641,-350788488.395,-341155635.673,-360421341.117,-359458055.845,-342118920.945,2.0,185583703137000.0,0.25,0.125,102,0.00390625649439,8.95747037061e-15,0.12500020782
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-364403008.977,80436486.3583,-364403008.977,-307525824.018,-421280193.935,-415592475.439,-313213542.514,2.0,6470028337680000.0,0.125012930589,0.25,85,0.00781331898689,8.95747037061e-15,0.250000346367
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-409890506.885,72762194.1592,-409890506.885,-358439865.981,-461341147.789,-456196083.699,-363584930.071,2.0,5294336898860000.0,0.25,0.25,119,0.00781251298878,8.95747037061e-15,0.12500020782
